names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,15,['EURGBP'],100.0,-0.2365018870018869,B
GBPUSD,10,['CADJPY'],80.0,0.9580000000000001,S
EURUSD,20,"['NZDCAD', 'GBPCAD']",100.0,0.88,S
USDCAD,10,"['NZDCHF', 'GBPAUD']",80.0,-0.6276349206349209,B
GBPCHF,10,['EURCHF'],80.0,0.37786507936507946,S
EURCHF,30,"['CHFJPY', 'USDCHF', 'CADCHF']",80.0,0.8433356414827002,S
CHFJPY,20,['AUDJPY'],80.0,-0.6988535353535351,B
CADCHF,15,['NZDJPY'],100.0,0.5492216672216675,S
AUDCHF,20,"['NZDUSD', 'EURUSD']",80.0,0.6742178932178934,S
EURGBP,15,['CADCHF'],100.0,1.0,S
GBPJPY,15,['EURGBP'],80.0,0.3618157953157953,S
GBPCAD,10,['EURCHF'],80.0,0.3205317460317459,S
EURJPY,50,"['CHFJPY', 'USDCHF', 'EURGBP', 'NZDUSD', 'GBPAUD']",80.0,-0.46535714285714286,B
EURCAD,15,"['CHFJPY', 'USDCHF', 'NZDJPY']",80.0,-0.965,B
EURAUD,15,['AUDNZD'],80.0,0.7609856254856255,S
EURNZD,10,"['NZDCHF', 'NZDJPY']",80.0,-0.6466507936507939,B
CADJPY,10,"['GBPCAD', 'GBPUSD', 'CADCHF', 'GBPJPY']",80.0,-0.2708095238095238,B
AUDJPY,50,"['EURUSD', 'EURJPY', 'CADJPY']",80.0,0.17583248141607277,S
