,names,week,needed_features,accuracy
0,USDCHF,10,"['EURUSD', 'EURAUD']",80.0
1,GBPUSD,15,['EURCAD'],100.0
2,USDJPY,20,['EURCAD'],80.0
3,USDCAD,10,['EURUSD'],100.0
4,AUDUSD,10,"['AUDJPY', 'EURJPY']",100.0
5,NZDUSD,10,"['AUDJPY', 'EURJPY']",80.0
6,GBPCHF,10,"['NZDJPY', 'EURUSD']",80.0
7,EURCHF,15,"['AUDCAD', 'NZDJPY']",100.0
8,CHFJPY,10,"['NZDJPY', 'EURUSD']",80.0
9,AUDCHF,30,"['EURGBP', 'GBPCAD', 'AUDJPY']",80.0
10,EURGBP,10,"['EURCAD', 'EURAUD', 'CADCHF']",100.0
11,GBPJPY,10,"['NZDJPY', 'EURUSD']",80.0
12,GBPCAD,10,"['EURCAD', 'EURAUD', 'CADCHF']",100.0
13,GBPAUD,10,"['EURCAD', 'GBPAUD']",80.0
14,EURJPY,50,"['EURGBP', 'CADCHF', 'EURCAD']",80.0
15,EURAUD,10,"['EURGBP', 'EURCAD']",80.0
16,EURNZD,10,"['GBPAUD', 'EURGBP', 'EURCAD']",80.0
17,CADJPY,20,"['EURUSD', 'AUDJPY']",80.0
18,NZDJPY,10,"['NZDJPY', 'AUDCAD']",80.0
19,AUDCAD,10,['EURAUD'],80.0
20,NZDCAD,10,"['AUDUSD', 'NZDUSD', 'NZDJPY', 'EURNZD', 'USDCAD', 'NZDCHF']",80.0
21,AUDNZD,30,"['USDCAD', 'AUDUSD', 'NZDUSD', 'CADJPY', 'EURUSD', 'USDCHF', 'USDJPY']",100.0
