date,USDCHF,GBPUSD,EURUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2015.10.26,-44.99999999999504,-22.0000000000109,-106.99999999999044,-12.000000000012001,-76.99999999999818,-24.000000000001798,-12.000000000000899,-28.000000000005798,-41.000000000002146,-51.99999999998539,0.0,-56.000000000011596,-51.000000000001044,-85.00000000000796,-82.99999999999841,0.0,-89.00000000000574,,-784.0000000000273
2015.10.26,-21.00000000000435,59.99999999999339,-154.99999999999403,1.999999999990898,-99.00000000000375,-24.999999999997247,50.0000000000056,-75.9999999999983,-65.99999999999939,-21.00000000000435,29.999999999996696,14.999999999987246,-75.99999999998718,-85.00000000000796,-24.00000000000091,80.00000000000229,-149.00000000001023,,-560.0000000000315
2015.10.26,-5.999999999994898,12.999999999996348,-156.99999999998494,59.99999999999339,-57.00000000000216,2.000000000002,56.0000000000005,-60.99999999999994,-89.00000000000574,80.99999999999774,168.99999999999693,-46.0000000000127,25.00000000000835,-85.99999999999852,4.9999999999954525,105.99999999999498,-160.00000000000458,,-145.0000000000178
2015.10.26,-14.999999999998348,36.999999999998145,-171.99999999999437,82.00000000000429,-117.999999999995,14.000000000002899,53.00000000000304,-60.99999999999994,-77.00000000000485,84.0000000000174,184.99999999999073,-59.000000000009045,73.00000000001194,-139.00000000001,-18.999999999991246,149.99999999999457,-164.00000000000858,,-145.99999999998838
2015.10.26,-48.99999999999905,11.00000000000545,-241.00000000000233,90.99999999999665,-287.9999999999967,-17.999999999995797,89.00000000000574,-89.00000000000574,-95.00000000000064,143.00000000000423,195.00000000001182,-53.00000000001415,55.000000000005045,-298.0000000000018,-87.0000000000033,170.99999999999892,-218.00000000000708,,-680.9999999999987
2015.10.26,-31.999999999998696,18.999999999991246,-228.99999999999034,107.99999999999699,-314.00000000000716,28.000000000005798,163.00000000000205,-102.99999999999754,-90.0000000000012,312.00000000000114,286.00000000000847,96.00000000000719,12.000000000012001,-335.00000000000796,-36.99999999999193,288.9999999999948,-250.00000000000577,,-76.99999999998087
2015.10.26,-7.0000000000014495,41.99999999998649,-207.00000000000162,53.999999999998494,-293.99999999999693,34.000000000000696,163.00000000000205,-121.00000000000443,-77.00000000000485,381.0000000000091,249.99999999999466,164.99999999999292,-91.99999999998099,-338.0000000000081,-48.00000000000182,343.9999999999999,-274.00000000000756,,-25.000000000023476
2015.10.26,46.00000000000159,104.99999999999955,-215.99999999999397,24.000000000001798,-266.9999999999959,17.000000000000348,231.99999999999886,-146.00000000000168,-80.00000000000229,665.0000000000044,202.9999999999976,370.999999999988,-157.99999999999147,-256.0000000000002,99.00000000000375,398.9999999999938,-278.00000000000045,,760.0000000000039
2015.10.26,87.99999999999919,107.99999999999699,-265.99999999998846,17.000000000000348,-135.00000000000512,73.00000000000084,175.00000000000293,-136.00000000000279,-100.00000000000009,628.0000000000285,273.9999999999965,326.9999999999884,-213.99999999998087,-266.00000000000534,137.00000000000045,441.99999999999795,-391.000000000008,,761.0000000000216
2015.10.26,175.00000000000293,194.0000000000053,-283.99999999999534,4.000000000004,-61.99999999999761,116.00000000000499,180.0000000000024,-136.99999999999824,-84.0000000000063,611.000000000006,309.0000000000037,313.00000000000773,-222.99999999999542,-239.00000000000432,141.9999999999959,424.9999999999976,-383.0,,1057.0000000000332
