date,EURUSD,NZDUSD,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.11.23,-49.99999999999449,-10.999999999994348,-36.999999999998145,-41.9999999999976,0.0,-34.99999999999659,-256.99999999999613,-70.99999999999795,-156.00000000000057,-72.0000000000054,-130.0000000000079,-64.99999999999773,-6.999999999990791,-83.9999999999952,0.0,-52.000000000007596,,-1068.9999999999807
2015.11.23,-85.00000000000173,-0.999999999995449,-53.00000000000304,-58.000000000002494,171.00000000001003,28.999999999996362,-293.0000000000099,-108.00000000000409,-208.99999999999253,-151.00000000001222,-177.00000000000495,-32.99999999998704,-24.00000000000091,13.00000000000745,268.0000000000016,26.999999999999247,,-683.9999999999997
2015.11.23,-62.000000000006494,-46.999999999997044,-53.00000000000304,-54.999999999993946,182.00000000000438,22.999999999996135,-446.9999999999974,-100.99999999999909,-224.99999999998633,-135.00000000001845,-219.00000000001364,-33.999999999991815,-77.99999999998875,29.000000000001247,266.999999999995,58.000000000002494,,-896.9999999999968
2015.11.23,-18.0000000000069,-171.99999999999437,-75.00000000000284,-41.000000000002146,60.99999999999994,175.99999999998772,-455.0000000000054,-96.00000000000364,-295.99999999998516,-144.0000000000108,-548.0000000000151,-28.999999999996362,-212.99999999999386,106.00000000000608,161.00000000000003,215.00000000000963,,-1368.0000000000132
2015.11.23,-26.999999999999247,-251.00000000000122,-93.99999999999409,-68.99999999999685,-58.99999999999794,147.99999999999613,-514.9999999999987,-139.99999999998636,-314.99999999999864,-188.00000000001037,-685.0000000000023,-48.99999999999238,-287.9999999999967,64.0000000000085,48.000000000003595,296.9999999999917,,-2122.9999999999745
2015.11.23,28.000000000005798,-310.9999999999946,-75.9999999999983,-178.99999999999582,-66.99999999999484,127.9999999999859,-764.9999999999934,-108.00000000000409,-246.99999999999721,-351.99999999999676,-812.0000000000127,-176.9999999999925,-342.9999999999893,-86.99999999999264,-21.999999999999797,304.9999999999997,,-3084.9999999999714
2015.11.23,7.0000000000014495,-282.99999999999994,-156.99999999999602,-263.0000000000021,-53.999999999998494,147.99999999999613,-966.9999999999845,-106.99999999999932,-353.0000000000033,-490.999999999997,-761.0000000000117,-243.99999999999977,-309.99999999998806,-95.00000000000064,21.999999999999797,156.00000000000057,,-3751.9999999999827
2015.11.23,34.000000000000696,-402.00000000000233,-199.00000000000472,-392.9999999999989,-119.99999999999788,104.99999999998977,-1318.9999999999814,-81.99999999999363,-424.00000000000216,-617.0000000000009,-858.0000000000032,-384.00000000000034,-384.9999999999909,-224.9999999999974,34.000000000000696,117.99999999999588,,-5116.999999999986
2015.11.23,234.00000000000088,-473.0000000000012,-192.00000000000327,-488.999999999995,-161.99999999999548,173.00000000000182,-1610.9999999999848,9.000000000014552,-314.99999999999864,-773.0000000000015,-800.0000000000007,-483.99999999999466,-416.9999999999874,-322.00000000000006,-14.999999999998348,29.999999999996696,,-5606.999999999947
2015.11.23,282.9999999999888,-536.0000000000032,-197.99999999999818,-575.0000000000033,-200.99999999999562,203.00000000000296,-1960.0000000000061,-48.00000000000182,-268.0000000000016,-1029.0000000000132,-977.0000000000057,-600.9999999999991,-450.9999999999934,-476.9999999999941,-70.0000000000034,-43.999999999999595,,-6949.000000000027
2015.11.23,218.99999999999142,-485.99999999999756,-188.9999999999947,-485.99999999999756,-167.9999999999904,280.9999999999775,-1664.000000000021,-56.000000000011596,-309.0000000000037,-833.000000000017,-901.0000000000184,-470.9999999999894,-390.99999999999113,-357.99999999999164,-36.999999999998145,21.00000000000435,,-5828.000000000048
2015.11.23,211.00000000000563,-459.99999999999375,-199.00000000000472,-465.9999999999998,-161.99999999999548,270.9999999999866,-1581.0000000000102,-54.000000000002046,-322.9999999999844,-787.0000000000043,-857.0000000000189,-448.99999999999807,-396.0000000000008,-292.9999999999988,10.999999999994348,43.999999999999595,,-5490.0000000000255
2015.11.23,219.99999999999798,-434.000000000001,-205.99999999999508,-485.0000000000021,-152.99999999999204,286.9999999999777,-1677.0000000000173,-84.00000000000318,-353.99999999998766,-865.0000000000047,-848.0000000000043,-473.99999999998954,-372.99999999999045,-313.99999999999204,39.999999999995595,-7.0000000000014495,,-5727.000000000011
2015.11.23,221.99999999998886,-446.00000000000193,-187.00000000000384,-456.9999999999963,-147.99999999999258,319.9999999999932,-1595.0000000000132,-99.99999999999432,-326.9999999999884,-784.0000000000069,-869.0000000000086,-431.99999999998795,-365.99999999999966,-286.99999999999284,21.999999999999797,28.000000000005798,,-5405.999999999999
2015.11.23,187.00000000000384,-429.99999999999704,-197.00000000000273,-426.9999999999996,-131.99999999999878,370.9999999999809,-1547.0000000000095,-122.99999999999045,-354.9999999999942,-751.9999999999972,-843.0000000000159,-382.99999999999557,-339.9999999999892,-271.9999999999945,24.999999999997247,39.999999999995595,,-5178.000000000006
2015.11.23,188.00000000001037,-434.000000000001,-224.9999999999974,-471.99999999999466,-151.9999999999966,334.99999999997954,-1625.999999999994,-144.00000000000546,-409.99999999999926,-836.0000000000146,-874.0000000000192,-423.9999999999924,-343.9999999999941,-293.99999999999426,41.000000000002146,26.999999999999247,,-5644.000000000012
2015.11.23,167.00000000000603,-443.99999999999994,-227.99999999999488,-475.0000000000032,-138.99999999998914,294.9999999999875,-1706.9999999999918,-121.99999999998568,-445.99999999999085,-875.0000000000035,-893.0000000000105,-463.99999999999864,-365.99999999999966,-293.99999999999426,53.999999999998494,11.00000000000545,,-5925.999999999965
2015.11.23,116.99999999998934,-471.99999999999466,-204.99999999999963,-498.9999999999939,-185.99999999999727,304.00000000000205,-1745.999999999981,-168.00000000000637,-438.9999999999894,-939.0000000000009,-1040.0000000000186,-462.99999999999386,-406.9999999999965,-334.9999999999964,-21.999999999999797,12.000000000012001,,-6487.999999999965
2015.11.23,112.000000000001,-546.000000000002,-302.0000000000023,-605.0,-294.9999999999897,3.9999999999906777,-1795.9999999999975,-225.9999999999991,-502.9999999999868,-1056.0000000000125,-1179.0000000000189,-545.9999999999923,-491.9999999999902,-378.999999999996,-82.00000000000429,63.000000000013046,,-7827.999999999987
2015.11.23,103.00000000000864,-536.9999999999986,-314.99999999999864,-624.9999999999977,-301.9999999999912,-12.000000000000455,-1577.9999999999905,-216.99999999998454,-507.9999999999973,-1073.0000000000127,-1201.0000000000077,-556.999999999988,-482.9999999999899,-376.99999999999403,-70.0000000000034,29.999999999996696,,-7721.99999999995
2015.11.23,11.00000000000545,-463.9999999999977,-356.00000000000074,-636.9999999999986,-303.9999999999932,33.999999999991815,-1561.0000000000123,-258.0000000000098,-587.9999999999885,-1090.0000000000132,-1140.0000000000077,-497.99999999999045,-402.9999999999916,-328.9999999999904,-2.000000000002,-90.99999999999665,,-7675.9999999999945
2015.11.23,-62.000000000006494,-475.99999999999864,-395.99999999999636,-675.9999999999989,-346.9999999999973,18.999999999977035,-1664.9999999999832,-347.99999999998477,-705.0000000000001,-1189.0000000000177,-1280.0000000000146,-529.9999999999869,-457.9999999999984,-339.99999999999585,-24.999999999997247,-95.00000000000064,,-8572.999999999998
2015.11.23,26.999999999999247,-529.9999999999972,-399.0000000000049,-644.9999999999956,-353.99999999999875,16.999999999995907,-1521.0000000000168,-248.99999999999523,-597.9999999999874,-1096.0000000000082,-1239.0000000000123,-494.99999999999034,-497.99999999999045,-306.9999999999906,-23.00000000000635,100.99999999999554,,-7809.000000000002
2015.11.23,18.0000000000069,-503.99999999999335,-449.9999999999948,-632.9999999999947,-370.9999999999991,39.99999999999204,-1460.0000000000168,-275.0000000000057,-703.9999999999935,-1035.0000000000082,-1276.0000000000105,-480.99999999999454,-464.9999999999892,-234.99999999999633,7.9999999999968985,134.00000000001188,,-7688.999999999989
2015.11.23,52.99999999999194,-598.999999999994,-404.99999999999983,-597.0000000000031,-335.99999999999187,12.999999999976808,-1422.9999999999966,-254.99999999999545,-675.0000000000034,-1011.0000000000064,-1386.0000000000205,-458.999999999989,-551.9999999999925,-217.0000000000005,-87.99999999999919,161.00000000001114,,-7776.000000000013
2015.11.23,96.00000000000719,-610.9999999999949,-410.9999999999947,-539.999999999996,-367.99999999999056,44.999999999987494,-1440.000000000019,-222.0000000000084,-790.0000000000018,-999.0000000000166,-1436.000000000015,-484.99999999999943,-563.999999999993,-226.99999999999943,-99.00000000000463,188.9999999999947,,-7862.000000000043
