,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDJPY,10,['NZDUSD'],80.0,-0.33507154761904556,S
1,1,USDCAD,10,['EURCAD'],80.0,-0.9914399999999991,S
2,2,GBPCHF,20,"['GBPUSD', 'EURUSD']",80.0,-0.14560098401598592,S
3,3,EURCHF,30,"['USDJPY', 'AUDJPY']",100.0,0.9990020854145855,B
4,4,CADCHF,10,['NZDUSD'],80.0,-0.3286921031746021,S
5,5,AUDCHF,10,"['GBPUSD', 'NZDCHF', 'NZDUSD', 'AUDJPY']",100.0,-0.7658,S
6,6,EURGBP,10,"['GBPUSD', 'NZDCHF', 'NZDUSD', 'AUDJPY']",100.0,0.7754,B
7,7,GBPCAD,15,"['CADCHF', 'AUDCAD', 'USDJPY', 'NZDCHF']",100.0,0.9969443939393942,B
8,8,EURJPY,20,['CHFJPY'],100.0,0.999935,B
9,9,EURCAD,10,['NZDUSD'],80.0,0.3277838095238091,B
10,10,EURNZD,10,['EURNZD'],100.0,-0.9985,S
11,11,NZDJPY,20,"['GBPCAD', 'EURCAD', 'GBPCHF']",80.0,0.7988368073593025,B
12,12,AUDCAD,10,"['EURUSD', 'AUDUSD', 'USDCHF', 'USDCAD', 'NZDUSD']",80.0,0.9884,B
13,13,NZDCAD,10,"['AUDUSD', 'EURUSD']",80.0,0.99869,B
