date,NZDCHF,GBPJPY,empty,sum
2017.03.06,-156.00000000000057,-4.000000000019099,,-160.00000000001967
2017.03.06,-170.99999999999892,171.99999999999704,,0.9999999999981242
2017.03.06,-152.99999999999204,207.9999999999984,,55.00000000000637
2017.03.06,-178.00000000000037,28.999999999996362,,-149.000000000004
2017.03.06,-170.99999999999892,-149.0000000000009,,-319.99999999999983
2017.03.06,-146.00000000000168,-158.00000000001546,,-304.00000000001717
2017.03.06,-95.99999999999609,-183.00000000002115,,-279.0000000000172
2017.03.06,-80.00000000000229,-126.00000000000477,,-206.00000000000705
2017.03.06,4.000000000004,-130.00000000002387,,-126.00000000001987
2017.03.06,-12.999999999996348,-122.0000000000141,,-135.00000000001046
2017.03.06,-31.999999999998696,-177.00000000002092,,-209.0000000000196
2017.03.06,-2.000000000002,-182.00000000001637,,-184.00000000001836
2017.03.06,21.00000000000435,-111.00000000001842,,-90.00000000001407
2017.03.06,21.00000000000435,-145.00000000001023,,-124.00000000000588
2017.03.06,14.999999999998348,-73.0000000000075,,-58.00000000000915
2017.03.06,24.000000000001798,-43.00000000000637,,-19.00000000000457
2017.03.06,9.00000000000345,-158.00000000001546,,-149.00000000001202
2017.03.06,-81.9999999999932,-261.0000000000241,,-343.0000000000173
2017.03.06,-85.00000000000173,-328.00000000000296,,-413.00000000000466
2017.03.06,-125.99999999999278,-359.00000000000887,,-485.00000000000165
2017.03.06,-132.99999999999423,-638.0000000000052,,-770.9999999999994
2017.03.06,-180.0000000000024,-538.0000000000109,,-718.0000000000133
2017.03.06,-231.99999999999886,-604.0000000000134,,-836.0000000000123
2017.03.06,-302.9999999999977,-646.000000000015,,-949.0000000000127
2017.03.06,-235.99999999999176,-563.0000000000166,,-799.0000000000084
2017.03.06,-178.99999999999582,-614.0000000000043,,-793.0000000000001
2017.03.06,-168.99999999999693,-462.0000000000175,,-631.0000000000144
2017.03.06,-166.99999999999494,-450.00000000001705,,-617.000000000012
2017.03.06,-161.99999999999548,-477.00000000000387,,-638.9999999999993
2017.03.06,-159.9999999999935,-459.0000000000032,,-618.9999999999967
2017.03.06,-212.00000000000108,-415.9999999999968,,-627.999999999998
2017.03.06,-173.00000000000094,-426.00000000001614,,-599.000000000017
2017.03.06,-161.99999999999548,-405.00000000000114,,-566.9999999999966
2017.03.06,-95.00000000000064,-503.0000000000143,,-598.000000000015
2017.03.06,-51.99999999999649,-481.00000000002296,,-533.0000000000194
2017.03.06,-108.99999999999244,-638.0000000000052,,-746.9999999999977
2017.03.06,-102.00000000000209,-534.0000000000202,,-636.0000000000223
2017.03.06,-83.9999999999952,-524.0000000000009,,-607.9999999999961
2017.03.06,-52.99999999999194,-531.0000000000059,,-583.9999999999978
2017.03.06,-76.99999999999375,-579.0000000000077,,-656.0000000000015
2017.03.06,-68.99999999999685,-475.9999999999991,,-544.9999999999959
2017.03.06,-78.99999999999574,-498.0000000000189,,-577.0000000000146
2017.03.06,-65.99999999999939,-517.0000000000243,,-583.0000000000238
2017.03.06,-46.00000000000159,-586.0000000000127,,-632.0000000000143
2017.03.06,-37.99999999999359,-591.0000000000082,,-629.0000000000018
2017.03.06,-31.999999999998696,-647.0000000000198,,-679.0000000000185
2017.03.06,-34.000000000000696,-645.0000000000102,,-679.0000000000109
2017.03.06,-24.000000000001798,-615.0000000000091,,-639.0000000000109
2017.03.07,-19.999999999997797,-692.0000000000073,,-712.0000000000051
2017.03.07,-14.999999999998348,-588.0000000000223,,-603.0000000000206
2017.03.07,-41.9999999999976,-507.000000000005,,-549.0000000000026
2017.03.07,-48.99999999999905,-527.0000000000152,,-576.0000000000143
2017.03.07,-86.99999999999264,-566.0000000000025,,-652.9999999999951
2017.03.07,-104.99999999999955,-503.0000000000143,,-608.0000000000139
2017.03.07,-75.9999999999983,-418.00000000000637,,-494.00000000000466
2017.03.07,-73.99999999999629,-459.0000000000032,,-532.9999999999994
2017.03.07,-92.99999999999864,-403.00000000002,,-496.00000000001864
2017.03.07,-74.99999999999174,-412.00000000000614,,-486.9999999999979
2017.03.07,-121.99999999999989,-445.0000000000216,,-567.0000000000215
2017.03.07,-102.99999999999754,-445.0000000000216,,-548.0000000000191
2017.03.07,-182.99999999999983,-493.0000000000234,,-676.0000000000232
2017.03.07,-125.99999999999278,-493.0000000000234,,-619.0000000000161
2017.03.07,-169.99999999999238,-544.0000000000111,,-714.0000000000035
2017.03.07,-181.9999999999933,-558.9999999999975,,-740.9999999999908
2017.03.07,-136.99999999999824,-558.9999999999975,,-695.9999999999957
2017.03.07,-122.99999999999534,-622.0000000000141,,-745.0000000000094
2017.03.07,-117.00000000000044,-683.0000000000211,,-800.0000000000216
2017.03.07,-112.99999999999643,-848.0000000000132,,-961.0000000000097
2017.03.07,17.000000000000348,-980.0000000000182,,-963.0000000000178
2017.03.07,25.00000000000835,-991.0000000000139,,-966.0000000000056
2017.03.07,-31.999999999998696,-871.0000000000093,,-903.0000000000081
2017.03.07,-56.0000000000005,-912.0000000000061,,-968.0000000000066
2017.03.07,-158.99999999999804,-1019.0000000000055,,-1178.0000000000034
2017.03.07,-178.00000000000037,-1021.000000000015,,-1199.0000000000155
2017.03.07,-156.00000000000057,-1080.0000000000125,,-1236.0000000000132
2017.03.07,-136.99999999999824,-1133.0000000000098,,-1270.000000000008
2017.03.07,-154.99999999999403,-1124.0000000000236,,-1279.0000000000177
2017.03.07,-164.99999999999292,-1078.000000000003,,-1242.999999999996
2017.03.07,-131.99999999999878,-967.000000000013,,-1099.0000000000118
2017.03.07,-243.99999999999977,-846.0000000000036,,-1090.0000000000034
2017.03.07,-308.9999999999926,-901.0000000000105,,-1210.0000000000032
2017.03.07,-263.99999999999756,-1198.0000000000075,,-1462.000000000005
2017.03.07,-173.9999999999964,-1084.0000000000032,,-1257.9999999999995
2017.03.07,-80.00000000000229,-941.0000000000025,,-1021.0000000000048
2017.03.07,-30.999999999992145,-975.9999999999991,,-1006.9999999999912
2017.03.07,-48.99999999999905,-889.00000000001,,-938.0000000000091
2017.03.07,9.00000000000345,-892.0000000000243,,-883.0000000000209
2017.03.07,26.999999999999247,-898.0000000000246,,-871.0000000000254
2017.03.07,35.00000000000725,-908.0000000000155,,-873.0000000000082
2017.03.07,97.9999999999981,-878.0000000000143,,-780.0000000000163
2017.03.07,136.00000000000279,-882.000000000005,,-746.0000000000023
2017.03.07,187.00000000000384,-841.0000000000082,,-654.0000000000043
2017.03.07,190.00000000000128,-807.0000000000164,,-617.0000000000151
2017.03.07,240.00000000000688,-870.0000000000045,,-629.9999999999977
