date,NZDCHF,GBPJPY,empty,sum
2017.03.06,-117.00000000000044,169.9999999999875,,52.999999999987054
2017.03.06,-100.99999999999554,264.99999999998636,,163.99999999999082
2017.03.06,-124.00000000000189,226.99999999997544,,102.99999999997355
2017.03.06,-154.99999999999403,61.9999999999834,,-93.00000000001063
2017.03.06,-104.99999999999955,-92.00000000001296,,-197.0000000000125
2017.03.06,-80.99999999999774,-82.99999999999841,,-163.99999999999613
2017.03.06,-58.000000000002494,-88.99999999999864,,-147.00000000000114
2017.03.06,28.000000000005798,-38.000000000010914,,-10.000000000005116
2017.03.06,63.00000000000195,-112.00000000002319,,-49.000000000021245
2017.03.06,-4.999999999999449,-75.00000000001705,,-80.0000000000165
2017.03.06,2.999999999997449,-169.00000000001114,,-166.0000000000137
2017.03.06,47.00000000000814,-79.00000000000773,,-31.999999999999588
2017.03.06,70.99999999999883,-84.00000000000318,,-13.000000000004349
2017.03.06,21.999999999999797,-57.00000000001637,,-35.00000000001657
2017.03.06,40.00000000000669,-13.00000000000523,,27.000000000001464
2017.03.06,41.000000000002146,-34.000000000020236,,6.99999999998191
2017.03.06,29.000000000001247,-127.00000000000955,,-98.0000000000083
2017.03.06,-49.99999999999449,-250.0,,-299.9999999999945
2017.03.06,-68.00000000000139,-328.00000000000296,,-396.0000000000043
2017.03.06,-71.99999999999429,-278.00000000002,,-350.0000000000143
2017.03.06,-112.000000000001,-453.00000000000296,,-565.000000000004
2017.03.06,-70.99999999999883,-493.9999999999998,,-564.9999999999986
2017.03.06,-173.00000000000094,-508.0000000000098,,-681.0000000000107
2017.03.06,-217.99999999999596,-552.9999999999973,,-770.9999999999932
2017.03.06,-169.99999999999238,-550.0000000000114,,-720.0000000000038
2017.03.06,-126.99999999999933,-455.0000000000125,,-582.0000000000118
2017.03.06,-151.00000000000114,-432.00000000001637,,-583.0000000000175
2017.03.06,-121.99999999999989,-368.0000000000234,,-490.0000000000233
2017.03.06,-135.99999999999167,-445.0000000000216,,-581.0000000000133
2017.03.06,-134.99999999999625,-322.00000000000273,,-456.999999999999
2017.03.06,-165.9999999999995,-411.00000000000136,,-577.0000000000009
2017.03.06,-144.99999999999514,-390.0000000000148,,-535.0000000000099
2017.03.06,-69.9999999999923,-378.0000000000143,,-448.0000000000066
2017.03.06,-39.999999999995595,-386.0000000000241,,-426.00000000001967
2017.03.06,-19.00000000000235,-353.00000000000864,,-372.00000000001097
2017.03.06,-71.99999999999429,-519.0000000000055,,-590.9999999999998
2017.03.06,-59.99999999999339,-431.0000000000116,,-491.000000000005
2017.03.06,-21.999999999999797,-463.0000000000223,,-485.00000000002206
