date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,GBPAUD,EURCAD,CADJPY,AUDJPY,AUDNZD,empty,sum
2015.02.09,-153.00000000000313,-99.99999999998899,-154.99999999999403,-7.999999999995566,-103.99999999999298,-69.9999999999923,-2.000000000002,-137.9999999999937,-119.00000000000244,-60.99999999999994,-175.99999999999838,-134.9999999999909,-118.99999999999977,-187.99999999998818,,-1527.9999999999425
2015.02.09,-170.99999999999892,-82.99999999998863,-166.99999999998383,10.99999999999568,-228.99999999999034,-98.99999999999353,-45.000000000006146,-215.99999999999397,-71.99999999999429,-85.00000000000173,-76.0000000000094,-262.00000000000045,-160.0000000000108,-339.0000000000004,,-1992.9999999999768
2015.02.09,-192.99999999999872,-236.99999999999832,-296.9999999999917,-81.00000000000307,-257.99999999998045,-147.99999999999258,17.000000000000348,-217.0000000000005,-51.000000000001044,-113.99999999999189,-110.00000000001009,-262.00000000000045,-188.0000000000024,-316.0000000000052,,-2454.9999999999754
2015.02.09,-102.00000000000209,-193.99999999998306,-263.99999999999756,-134.00000000000034,-217.99999999998488,-146.00000000000168,-28.000000000005798,-63.000000000013046,33.000000000005244,-75.99999999998718,-100.99999999999554,-189.99999999999773,-162.00000000000614,-312.9999999999855,,-1957.9999999999552
2015.02.09,-124.99999999999733,-209.9999999999991,-275.9999999999874,-182.00000000000216,-264.9999999999819,-113.99999999999189,-33.000000000005244,-39.999999999995595,56.0000000000005,21.00000000000435,-68.00000000000139,-254.99999999999545,-115.0000000000091,-245.99999999999068,,-1851.9999999999525
2015.02.09,-179.00000000000693,-208.99999999999253,-269.9999999999925,-174.99999999999716,-258.99999999998704,-79.99999999999119,-1.0000000000065512,-164.00000000000858,-17.000000000000348,153.00000000000313,-117.00000000001154,-141.9999999999959,7.999999999995566,-177.99999999998929,,-1629.9999999999811
2015.02.09,-173.00000000000094,-229.99999999999687,-297.9999999999983,-209.00000000000318,-259.9999999999936,-30.999999999992145,-8.000000000008,-151.9999999999966,-17.999999999995797,309.0000000000037,-175.00000000001404,-155.00000000000114,91.99999999999875,-164.99999999999292,,-1472.9999999999911
2015.02.09,-168.99999999999693,-273.9999999999965,-347.9999999999928,-253.0000000000001,-293.99999999999426,-157.99999999999147,-170.99999999999892,-76.99999999999375,-8.999999999992347,9.000000000014552,-161.00000000001114,-106.99999999999932,-12.000000000000455,-83.9999999999952,,-2107.9999999999486
2015.02.09,-195.00000000000074,-332.9999999999833,-394.9999999999898,-259.00000000000034,-310.9999999999946,-115.99999999999389,-204.00000000000418,-49.00000000001015,19.00000000000235,198.00000000000927,-178.00000000001148,-131.00000000000023,24.999999999991473,-45.99999999999049,,-1974.999999999976
2015.02.09,-234.00000000000088,-347.9999999999928,-442.9999999999934,-295.0000000000017,-337.99999999999386,-124.99999999999733,-134.0000000000008,-60.99999999999994,-7.0000000000014495,202.00000000001327,-236.00000000001398,-93.00000000000352,55.999999999997385,-58.000000000002494,,-2113.9999999999914
2015.02.09,-221.99999999999997,-336.9999999999873,-422.9999999999956,-289.0000000000015,-310.9999999999946,-87.99999999999919,-156.00000000000057,-79.99999999999119,9.00000000000345,255.00000000000523,-215.00000000000963,-84.99999999999375,93.99999999999409,-34.000000000000696,,-1881.9999999999711
2015.02.09,-218.00000000000708,-297.9999999999983,-434.9999999999854,-251.00000000000477,-335.9999999999808,-95.00000000000064,-172.00000000000549,-97.9999999999981,8.000000000008,226.99999999999943,-219.99999999999798,-140.99999999999113,43.99999999999693,17.000000000000348,,-1967.999999999965
2015.02.09,-211.00000000000563,-317.9999999999961,-424.99999999998647,-260.0000000000051,-310.9999999999946,-82.99999999999974,-153.99999999999858,-79.99999999999119,9.00000000000345,256.99999999999613,-209.00000000001472,-161.99999999999193,19.99999999999602,28.000000000005798,,-1898.9999999999827
