,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,50,"['USDCHF', 'NZDUSD', 'CADJPY', 'EURJPY', 'GBPJPY']",80.0,0.7444188651493622,B
1,1,USDCAD,10,['EURCAD'],80.0,0.3305624206349216,B
2,2,EURCHF,10,"['GBPAUD', 'GBPUSD']",80.0,1.0,B
3,3,AUDCHF,10,"['GBPUSD', 'NZDUSD', 'NZDJPY', 'NZDCHF']",80.0,0.9346,B
4,4,EURGBP,15,"['AUDJPY', 'GBPUSD', 'EURGBP', 'AUDCHF', 'NZDUSD']",100.0,-0.9009992568542555,S
5,5,EURJPY,20,['CHFJPY'],100.0,0.2724430962338283,B
6,6,EURNZD,10,['EURNZD'],100.0,0.9979,B
7,7,NZDJPY,20,"['GBPCAD', 'EURCAD', 'GBPCHF']",80.0,-0.9507517135642136,S
8,8,AUDCAD,10,"['EURUSD', 'AUDUSD']",80.0,-0.9999299999999999,S
9,9,NZDCAD,10,['AUDNZD'],80.0,0.4289586507936409,B
