date,USDCAD,AUDUSD,NZDUSD,EURCHF,CADCHF,AUDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.03.23,-1188.9999999999957,-914.9999999999991,-767.0000000000066,-82.99999999998863,-353.99999999999875,-800.0000000000007,-1528.0000000000182,-335.9999999999985,-2456.999999999998,-2112.0000000000027,-804.9999999999998,-768.9999999999975,-680.9999999999983,,-12796.000000000004
2020.03.23,-1387.000000000005,-970.9999999999997,-880.9999999999984,-102.00000000000209,-427.99999999999505,-856.9999999999967,-1920.0000000000107,-224.00000000000375,-2812.9999999999986,-2174.9999999999936,-786.0000000000014,-707.000000000002,-619.0000000000028,,-13870.000000000011
2020.03.23,-1388.999999999996,-951.0000000000018,-795.0000000000013,-56.99999999999594,-405.9999999999952,-844.0000000000003,-1307.999999999998,-215.99999999999397,-2696.9999999999936,-2164.9999999999945,-833.9999999999961,-665.0000000000044,-544.0,,-12870.999999999969
2020.03.23,-1231.0000000000043,-807.0000000000022,-653.0000000000035,-31.000000000003247,-462.9999999999912,-687.0000000000043,-1201.0000000000077,-465.999999999994,-2462.999999999993,-1919.000000000004,-866.9999999999973,-551.9999999999969,-358.9999999999982,,-11698.999999999998
2020.03.23,-1187.0000000000048,-624.9999999999977,-522.0000000000002,-31.000000000003247,-489.99999999999045,-622.0000000000003,-1577.9999999999905,-570.999999999998,-2130.0000000000095,-1791.0000000000093,-878.0000000000001,-301.0000000000068,-549.9999999999949,,-11276.000000000005
2020.03.23,-1158.9999999999989,-844.0000000000003,-750.0000000000063,-31.000000000003247,-401.99999999999125,-787.9999999999998,-1688.0000000000007,-602.9999999999944,-2547.9999999999945,-2227.0000000000014,-995.9999999999951,-580.9999999999982,-526.9999999999997,,-13143.999999999984
2020.03.23,-1290.0000000000134,-1021.0000000000052,-812.0000000000016,-31.000000000003247,-452.99999999999227,-997.9999999999989,-2561.9999999999977,-521.9999999999914,-3394.9999999999923,-2612.000000000014,-1109.9999999999995,-950.0000000000064,-666.9999999999953,,-16423.000000000015
2020.03.23,-1029.0000000000132,-980.0000000000031,-745.0000000000068,-31.000000000003247,-452.99999999999227,-923.0000000000072,-2207.9999999999877,-477.99999999999443,-3014.99999999999,-2221.0000000000064,-1021.9999999999984,-883.0000000000005,-596.9999999999919,,-14584.999999999995
2020.03.23,-827.0,-614.9999999999989,-457.0000000000074,14.000000000002899,-451.9999999999969,-712.0000000000015,-1747.999999999994,-468.0000000000035,-2617.0000000000027,-1944.0000000000123,-900.9999999999962,-482.00000000000466,-290.00000000000136,,-11499.000000000018
2020.03.23,-865.0000000000047,-714.0000000000035,-499.000000000005,19.00000000001345,-500.9999999999959,-875.999999999999,-2190.000000000003,-492.00000000000443,-2980.000000000005,-2299.0000000000064,-1013.9999999999958,-609.9999999999994,-343.9999999999999,,-13365.000000000011
2020.03.23,-707.9999999999975,-583.0000000000002,-499.000000000005,21.00000000000435,-458.9999999999983,-722.0000000000005,-1763.0000000000034,-447.00000000000273,-2614.000000000005,-2144.999999999997,-932.9999999999998,-540.0000000000072,-442.9999999999934,,-11835.000000000005
