date,USDCHF,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,EURAUD,EURNZD,AUDCAD,empty,sum
2018.04.30,18.999999999991246,-22.999999999995246,71.00000000000995,28.000000000005798,-1.0000000000065512,121.99999999999989,16.0000000000049,80.0000000000125,79.99999999999119,-28.000000000005798,-77.00000000001594,50.0000000000056,,336.9999999999975
2018.04.30,-19.00000000000235,-32.999999999994145,67.00000000000594,100.99999999999554,-51.000000000001044,67.00000000000728,46.999999999997044,86.00000000001273,97.9999999999981,-69.00000000000794,-68.00000000000139,26.000000000003798,,252.00000000001356
2018.04.30,-12.000000000000899,-14.999999999987246,73.00000000000084,119.00000000000244,-5.999999999994898,141.9999999999959,61.999999999995396,176.00000000001614,119.00000000000244,18.0000000000069,-12.000000000012001,53.999999999998494,,718.0000000000236
2018.04.30,-73.00000000000084,-73.99999999999629,29.000000000001247,163.00000000000205,-51.000000000001044,106.00000000000875,43.999999999999595,170.00000000001592,150.00000000000568,-32.0000000000098,-106.00000000000608,41.9999999999976,,368.0000000000168
2018.04.30,-82.99999999999974,-116.99999999998934,-8.999999999992347,147.00000000000824,-58.000000000002494,112.99999999999955,12.000000000000899,159.9999999999966,171.99999999999437,-90.99999999999665,-184.00000000000637,31.999999999998696,,94.00000000001137
2018.04.30,-62.000000000006494,-86.99999999999264,47.00000000000814,93.00000000000975,-49.00000000001015,64.99999999999773,51.99999999999649,38.000000000010914,100.99999999999554,-97.9999999999981,-83.00000000001084,17.000000000000348,,34.000000000000675
2018.04.30,-21.00000000000435,-46.999999999997044,65.99999999999939,75.00000000000284,-48.000000000003595,82.99999999999841,41.9999999999976,40.000000000020464,89.00000000000574,-48.000000000003595,-104.00000000001519,53.999999999998494,,180.99999999999915
2018.04.30,-25.00000000000835,-21.999999999988695,103.00000000000864,90.99999999999665,-65.00000000000395,88.00000000000807,80.00000000000229,70.0000000000216,66.99999999999484,-112.000000000001,-34.000000000000696,12.000000000000899,,253.00000000003035
2018.04.30,-47.00000000000814,-59.99999999999339,23.00000000000635,112.000000000001,-49.00000000001015,73.99999999999807,16.0000000000049,70.99999999999795,110.00000000001009,-12.000000000012001,-163.00000000000205,63.99999999999739,,138.99999999999002
2018.04.30,-4.000000000004,-58.99999999998684,21.999999999999797,116.00000000000499,-87.99999999999919,131.00000000000023,-14.000000000002899,145.00000000001023,188.9999999999947,-211.00000000000563,-302.0000000000023,16.0000000000049,,-58.999999999985945
2018.04.30,-33.000000000005244,-86.99999999999264,-17.999999999995797,136.00000000000279,-90.00000000001229,105.00000000000398,-38.0000000000047,133.00000000000978,207.00000000000162,-266.999999999995,-357.00000000000733,-19.00000000000235,,-327.99999999999716
2018.04.30,-73.00000000000084,-155.99999999997837,-131.99999999999878,185.99999999999727,-112.000000000001,85.00000000000796,-117.99999999999588,159.9999999999966,296.0000000000074,-421.0000000000047,-588.0000000000107,-82.00000000000429,,-954.9999999999854
