date,USDCHF,CADCHF,EURGBP,GBPJPY,AUDJPY,empty,sum
2020.09.21,-78.99999999999574,-57.00000000000705,-104.99999999999955,-48.00000000000182,-111.99999999999477,,-400.9999999999989
2020.09.21,-87.99999999999919,-74.00000000000739,-104.99999999999955,7.999999999981355,-42.00000000000159,,-301.0000000000264
2020.09.21,-95.99999999999609,-85.00000000000173,-47.00000000000814,8.99999999998613,-185.00000000000227,,-404.0000000000221
2020.09.21,-71.99999999999429,-55.000000000005045,-75.00000000000284,48.99999999997817,-134.00000000000034,,-287.00000000002433
2020.09.21,-100.99999999999554,-114.00000000000298,-78.00000000000028,48.00000000000182,-99.00000000000375,,-344.00000000000074
2020.09.21,-97.00000000000264,-119.00000000000244,-64.0000000000085,87.99999999999386,-79.9999999999983,,-272.000000000018
2020.09.21,-129.00000000000134,-175.00000000000293,-58.000000000002494,115.99999999998545,-76.99999999999818,,-323.0000000000195
2020.09.21,-82.99999999999974,-165.9999999999995,-40.00000000000669,193.9999999999884,34.000000000006025,,-61.00000000001148
2020.09.21,-31.000000000003247,-175.00000000000293,-25.00000000000835,115.99999999998545,-72.99999999999329,,-188.00000000002237
2020.09.21,-51.000000000001044,-169.00000000000804,-30.000000000007798,54.9999999999784,-84.99999999999375,,-280.00000000003223
2020.09.21,-34.99999999999615,-159.00000000000912,-39.00000000000014,54.9999999999784,-75.9999999999934,,-254.00000000002044
2020.09.21,-10.999999999994348,-161.00000000000003,-21.00000000000435,82.99999999999841,17.000000000010118,,-92.9999999999902
2020.09.21,-0.999999999995449,-146.00000000000168,-26.000000000003798,34.99999999999659,-9.000000000000341,,-147.0000000000047
2020.09.21,29.999999999996696,-138.00000000000477,-35.00000000000725,48.00000000000182,-3.9999999999906777,,-99.00000000000418
2020.09.21,33.000000000005244,-145.00000000000622,-60.99999999999994,61.9999999999834,20.000000000010232,,-91.00000000000728
2020.09.21,34.000000000000696,-145.00000000000622,-52.000000000007596,58.9999999999975,40.00000000000625,,-64.00000000000938
2020.09.21,9.999999999998899,-125.00000000000844,-58.000000000002494,61.9999999999834,39.00000000000148,,-72.00000000002717
2020.09.21,-9.999999999998899,-129.00000000000134,-69.00000000000794,26.999999999986812,-6.000000000000227,,-187.0000000000216
2020.09.21,-31.000000000003247,-131.99999999999878,-119.00000000000244,-52.00000000002092,-3.9999999999906777,,-338.00000000001603
2020.09.21,-46.00000000000159,-104.99999999999955,-48.99999999999905,24.999999999977263,-6.999999999990791,,-182.0000000000137
2020.09.21,-29.000000000001247,-104.00000000000409,-114.99999999999844,-453.00000000000296,-209.99999999999375,,-911.0000000000005
2020.09.21,-88.99999999999464,-62.000000000006494,-202.0000000000022,-731.000000000023,-439.9999999999977,,-1524.000000000024
2020.09.21,-197.99999999999818,-60.99999999999994,-424.00000000000216,-1314.9999999999977,-539.999999999992,,-2537.99999999999
2020.09.21,-368.9999999999971,-195.00000000000074,-387.000000000004,-1523.0000000000246,-625.9999999999906,,-3100.000000000017
2020.09.21,-456.00000000000085,-270.0000000000036,-335.0000000000075,-1347.0000000000084,-534.9999999999966,,-2943.0000000000164
2020.09.21,-527.9999999999951,-299.00000000000483,-253.99999999999866,-1460.000000000008,-688.999999999993,,-3229.999999999999
2020.09.21,-509.9999999999993,-251.00000000000122,-250.00000000000577,-1396.000000000015,-727.9999999999944,,-3135.000000000016
2020.09.21,-442.9999999999934,-202.0000000000022,-177.00000000000495,-1319.0000000000168,-707.9999999999984,,-2849.0000000000155
2020.09.21,-407.0000000000018,-158.0000000000026,-139.00000000000023,-1382.000000000005,-762.999999999991,,-2849.0000000000005
2020.09.21,-295.99999999999625,-68.00000000000139,-190.00000000000128,-1219.9999999999989,-733.9999999999947,,-2507.9999999999923
