date,USDCHF,empty,sum
2020.09.21,-46.00000000000159,,-46.00000000000159
2020.09.21,-33.000000000005244,,-33.000000000005244
2020.09.21,-23.00000000000635,,-23.00000000000635
2020.09.21,20.999999999993246,,20.999999999993246
2020.09.21,29.000000000001247,,29.000000000001247
2020.09.21,48.99999999999905,,48.99999999999905
2020.09.21,73.00000000000084,,73.00000000000084
2020.09.21,7.0000000000014495,,7.0000000000014495
2020.09.21,-9.999999999998899,,-9.999999999998899
2020.09.21,9.00000000000345,,9.00000000000345
2020.09.21,4.000000000004,,4.000000000004
2020.09.21,-24.000000000001798,,-24.000000000001798
2020.09.21,-36.999999999998145,,-36.999999999998145
2020.09.21,-48.99999999999905,,-48.99999999999905
2020.09.21,-63.99999999999739,,-63.99999999999739
2020.09.21,-48.99999999999905,,-48.99999999999905
2020.09.21,-62.000000000006494,,-62.000000000006494
2020.09.21,-50.0000000000056,,-50.0000000000056
2020.09.21,-31.000000000003247,,-31.000000000003247
2020.09.21,-28.000000000005798,,-28.000000000005798
2020.09.21,-148.99999999999915,,-148.99999999999915
2020.09.21,-97.00000000000264,,-97.00000000000264
2020.09.21,29.999999999996696,,29.999999999996696
2020.09.21,148.99999999999915,,148.99999999999915
2020.09.21,329.999999999997,,329.999999999997
2020.09.21,424.9999999999976,,424.9999999999976
2020.09.21,417.0000000000007,,417.0000000000007
2020.09.21,326.0000000000041,,326.0000000000041
2020.09.21,287.9999999999994,,287.9999999999994
2020.09.21,234.99999999999633,,234.99999999999633
2020.09.21,217.99999999999596,,217.99999999999596
2020.09.21,368.9999999999971,,368.9999999999971
2020.09.21,317.0000000000006,,317.0000000000006
2020.09.21,349.99999999999477,,349.99999999999477
2020.09.21,497.99999999999847,,497.99999999999847
2020.09.21,453.99999999999886,,453.99999999999886
2020.09.21,539.999999999996,,539.999999999996
2020.09.21,600.999999999996,,600.999999999996
2020.09.21,578.0000000000007,,578.0000000000007
2020.09.21,583.0000000000002,,583.0000000000002
2020.09.21,532.9999999999945,,532.9999999999945
2020.09.21,492.999999999999,,492.999999999999
2020.09.21,495.000000000001,,495.000000000001
2020.09.21,485.99999999999756,,485.99999999999756
2020.09.21,390.0000000000015,,390.0000000000015
2020.09.21,402.00000000000233,,402.00000000000233
2020.09.21,434.9999999999965,,434.9999999999965
2020.09.21,424.00000000000216,,424.00000000000216
