date,USDCHF,GBPUSD,EURUSD,USDCAD,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2015.09.21,-21.00000000000435,-34.000000000000696,0.0,0.0,-201.99999999999108,-139.00000000001,0.0,0.0,-57.00000000001637,-45.99999999999049,-120.00000000000898,-95.999999999985,-29.999999999996696,-16.000000000005343,0.0,-121.00000000000443,,-882.0000000000135
2015.09.21,-16.0000000000049,-89.00000000000574,14.999999999987246,27.999999999983594,-191.00000000000784,-131.00000000000023,71.99999999999429,37.00000000000925,-58.9999999999975,-105.99999999998388,-103.00000000000864,-113.99999999999189,-25.999999999992696,-3.0000000000001137,17.999999999995797,-209.9999999999991,,-878.0000000000224
2015.09.21,-77.00000000000485,-62.99999999999084,-4.000000000004,13.999999999980695,-207.00000000000162,-238.00000000001376,58.99999999999794,27.00000000001035,-179.00000000000205,-82.99999999996643,-79.00000000000685,-201.00000000000674,-56.000000000011596,-81.00000000000307,-31.999999999998696,-148.99999999999915,,-1349.0000000000205
2015.09.21,27.999999999994696,-32.999999999994145,4.999999999988347,-43.999999999999595,-188.9999999999947,-142.00000000001012,68.99999999999685,27.00000000001035,-266.00000000001955,-233.99999999997868,-75.00000000000284,-129.99999999998568,-56.99999999999594,-49.000000000006594,19.999999999997797,-111.00000000000554,,-1181.0000000000055
2015.09.21,24.999999999997247,-80.99999999999774,58.99999999998684,-43.00000000001525,-195.9999999999962,-175.00000000001137,70.99999999999883,115.00000000000954,-286.00000000000136,-299.999999999967,-76.99999999999375,-156.00000000000057,0.0,-51.00000000000193,-18.0000000000069,-129.9999999999968,,-1242.9999999999964
2015.09.21,-18.0000000000069,-28.000000000005798,5.999999999994898,-43.00000000001525,-212.99999999999653,-181.0000000000116,79.99999999999119,60.00000000000449,-195.0000000000216,-220.99999999998232,-53.999999999998494,-130.99999999999224,144.99999999999514,-40.00000000000625,-17.000000000000348,-258.9999999999981,,-1109.0000000000498
2015.09.21,-26.999999999999247,-25.999999999992696,17.000000000000348,-76.0000000000094,-214.99999999998744,-246.00000000000932,59.99999999999339,82.00000000000429,-320.0000000000216,-143.99999999996638,-168.99999999999693,-246.99999999999721,268.0000000000016,-134.00000000000034,10.999999999994348,-246.00000000000176,,-1411.9999999999884
2015.09.21,80.00000000000229,110.99999999999443,183.99999999998417,-49.00000000001015,-235.99999999999176,-242.00000000000443,2.999999999997449,124.00000000000189,-353.00000000000864,-35.99999999996939,-246.99999999999721,-344.99999999999534,482.999999999989,-221.00000000000364,-8.000000000008,-256.99999999999613,,-1009.0000000000155
2015.09.21,105.99999999999498,164.99999999999292,228.99999999999034,-87.99999999999919,-238.99999999998923,-214.00000000001285,-9.00000000000345,128.00000000000588,-258.0000000000098,-39.999999999995595,-290.9999999999968,-405.9999999999952,524.9999999999977,-177.0000000000067,-21.00000000000435,-236.00000000000287,,-826.0000000000342
2015.09.21,98.99999999999353,85.00000000000173,209.9999999999991,-87.00000000001484,-235.99999999999176,-203.00000000000296,-173.00000000000094,143.00000000000423,-294.00000000001114,-77.99999999997809,-286.99999999999284,-822.9999999999959,574.9999999999922,-405.00000000000114,-285.9999999999974,-361.9999999999957,,-2121.999999999992
2015.09.21,73.99999999999629,78.00000000000028,200.00000000000017,-56.000000000011596,-276.9999999999939,-259.00000000000034,-220.00000000000907,138.00000000000477,-362.99999999999955,-106.99999999999044,-303.0000000000088,-923.9999999999915,818.0000000000076,-492.00000000000443,-321.0000000000046,-426.9999999999996,,-2441.0000000000045
2015.09.21,112.99999999999643,106.99999999999044,258.0000000000027,-87.99999999999919,-258.0000000000027,-293.00000000000637,-221.00000000000452,154.0000000000097,-418.00000000000637,-95.99999999996278,-303.9999999999932,-943.000000000005,954.9999999999948,-507.000000000005,-317.0000000000006,-446.00000000000193,,-2303.9999999999936
2015.09.21,87.00000000000374,90.99999999999665,209.9999999999991,-74.0000000000185,-258.0000000000027,-301.00000000000193,-199.00000000000472,143.9999999999997,-391.00000000001955,-106.99999999999044,-256.99999999999613,-912.999999999986,967.0000000000067,-500.0,-318.00000000000716,-468.9999999999972,,-2288.0000000000186
2015.09.21,93.99999999999409,99.99999999998899,210.99999999998343,-119.00000000000244,-314.99999999999864,-270.00000000001023,-157.00000000000713,157.00000000000713,-366.00000000001387,-69.99999999997009,-317.0000000000117,-838.0000000000055,1082.9999999999895,-420.0000000000017,-268.99999999999704,-507.0000000000019,,-2003.000000000057
2015.09.21,142.99999999999312,144.99999999999514,329.00000000000153,-111.00000000001664,-309.0000000000037,-240.0000000000091,-188.00000000001037,206.00000000000617,-382.000000000005,-64.99999999998174,-347.0000000000084,-893.9999999999948,1292.0000000000043,-405.00000000000114,-265.0000000000041,-597.0000000000031,,-1688.0000000000377
2015.09.21,168.00000000000148,123.99999999999079,313.99999999999204,-119.00000000000244,-303.9999999999932,-214.00000000001285,-166.00000000001057,203.00000000000873,-362.99999999999955,-100.99999999999554,-341.99999999999784,-804.9999999999891,1370.0000000000045,-365.99999999999966,-230.000000000008,-594.0000000000057,,-1425.0000000000168
2015.09.21,124.00000000000189,90.99999999999665,227.99999999998377,-73.00000000001194,-241.00000000000233,-189.00000000000716,-202.0000000000022,164.00000000000858,-343.00000000001774,-90.99999999997443,-289.0000000000059,-866.9999999999956,1462.999999999992,-384.00000000000034,-292.00000000000335,-692.9999999999992,,-1594.0000000000373
