date,AUDUSD,GBPCHF,AUDCHF,GBPCAD,GBPAUD,EURAUD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.06.15,50.0000000000056,32.0000000000098,171.99999999999437,-252.0000000000078,-270.99999999999903,-222.99999999999542,92.00000000000318,292.9999999999988,-121.99999999999989,,-228.9999999999904
2020.06.15,-119.00000000000244,110.00000000001009,42.999999999993044,-193.00000000002092,-635.9999999999922,-611.000000000006,-129.00000000000134,97.00000000000264,-179.99999999998016,,-1617.9999999999973
2020.06.15,-85.00000000000173,5.000000000010552,83.9999999999952,-433.0000000000167,-502.9999999999868,-534.9999999999966,73.00000000000084,119.00000000000244,67.00000000001705,,-1207.9999999999757
2020.06.15,-29.000000000001247,-56.99999999999594,104.99999999999955,-380.00000000000256,-323.99999999999096,-466.00000000001086,136.00000000000279,112.000000000001,165.9999999999995,,-736.9999999999989
2020.06.15,-100.99999999999554,-185.99999999999727,29.999999999996696,-304.00000000001535,-386.9999999999818,-604.0000000000045,75.9999999999983,41.9999999999976,194.0000000000053,,-1239.9999999999968
2020.06.15,-122.99999999999534,-175.99999999999838,-28.000000000005798,-464.00000000001995,-573.9999999999857,-778.9999999999964,70.99999999999883,73.99999999999629,161.00000000001114,,-1837.9999999999957
2020.06.15,-81.9999999999932,-124.99999999999733,21.999999999999797,-420.00000000002035,-515.9999999999832,-673.9999999999968,78.00000000000028,92.00000000000318,129.00000000000134,,-1495.9999999999861
2020.06.15,-268.0000000000016,-231.99999999998778,-158.0000000000026,-407.0000000000018,-839.9999999999964,-1045.000000000007,-100.99999999999554,-43.999999999999595,91.00000000001884,,-3003.9999999999736
2020.06.15,-132.99999999999423,-195.9999999999962,-36.999999999998145,-380.00000000000256,-578.9999999999961,-768.0000000000131,19.00000000000235,-2.000000000002,169.00000000001913,,-1906.999999999981
2020.06.15,17.000000000000348,-55.000000000005045,98.99999999999353,-393.0000000000211,-387.99999999998835,-547.0000000000086,113.00000000000753,16.0000000000049,230.00000000001907,,-907.9999999999975
