date,USDCHF,EURUSD,NZDUSD,GBPCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,empty,sum
2018.05.14,7.9999999999968985,31.000000000003247,9.999999999998899,-100.0000000000112,19.999999999997797,15.999999999993797,51.99999999999649,-50.99999999998772,-86.0000000000083,28.999999999996362,130.99999999999224,401.99999999999125,-60.000000000002274,19.99999999999602,64.0000000000085,,485.99999999996203
2018.05.14,-4.999999999999449,55.000000000005045,-70.99999999999883,-82.00000000000429,-0.999999999995449,-58.000000000002494,107.00000000000153,-16.999999999995907,-198.99999999999363,43.00000000000637,294.9999999999786,333.9999999999899,-32.00000000001069,-70.99999999999795,158.0000000000026,,455.99999999998533
2018.05.14,102.00000000000209,45.000000000006146,-78.99999999999574,-282.0000000000045,88.99999999999464,-133.00000000000534,82.99999999999974,-174.99999999998295,-323.99999999999096,106.99999999999932,298.9999999999826,306.9999999999906,-94.99999999999886,-111.0000000000042,187.00000000000384,,19.999999999996504
2018.05.14,83.9999999999952,55.99999999998939,-64.99999999999284,-263.00000000001324,95.00000000000064,-106.00000000000608,89.00000000000574,-164.99999999999204,-273.9999999999965,108.00000000000409,264.9999999999819,356.00000000000074,-111.0000000000042,-96.00000000000364,178.00000000000037,,150.9999999999695
2018.05.14,62.000000000006494,59.000000000009045,-91.99999999999208,-258.0000000000027,109.99999999999899,-119.00000000000244,80.00000000000229,-177.99999999999727,-245.0000000000063,102.00000000000387,218.99999999999142,297.9999999999983,-136.0000000000099,-118.99999999999977,196.00000000000728,,-20.99999999999278
2018.05.14,43.00000000000415,107.99999999999699,-125.99999999999278,-246.99999999999721,107.00000000000153,-139.00000000000023,104.99999999999955,-143.00000000000068,-235.00000000000742,111.99999999999477,256.99999999999613,285.00000000000193,-120.00000000000455,-129.0000000000049,186.00000000000838,,63.99999999999565
2018.05.14,12.000000000000899,153.9999999999875,-149.99999999999457,-270.99999999999903,80.00000000000229,-141.00000000000225,97.00000000000264,-160.99999999997294,-329.00000000000153,116.99999999999022,320.9999999999935,293.99999999999426,-85.00000000000796,-125.0,236.00000000000287,,48.99999999999588
2018.05.14,-68.00000000000139,224.000000000002,-185.99999999999727,-262.00000000000665,65.99999999999939,-121.99999999999989,87.00000000000374,-251.99999999998113,-343.00000000000443,177.99999999999727,317.9999999999961,304.9999999999997,-130.00000000000966,-159.00000000000603,294.00000000000534,,-50.00000000000284
2018.05.14,-66.99999999999484,239.99999999999577,-178.00000000000037,-306.00000000000625,83.9999999999952,-114.00000000000298,68.99999999999685,-281.99999999998226,-367.0000000000062,175.00000000001137,302.9999999999866,347.9999999999928,-137.00000000000045,-140.00000000000057,289.0000000000059,,-83.00000000000938
2018.05.14,-51.99999999999649,215.99999999999397,-158.99999999999804,-320.00000000000915,70.0000000000034,-104.99999999999955,55.000000000005045,-258.99999999998613,-408.00000000000836,134.00000000001455,320.9999999999935,360.9999999999891,-99.00000000000375,-106.99999999999932,289.0000000000059,,-62.999999999995225
2018.05.14,-24.999999999997247,184.00000000000637,-74.99999999999174,-320.9999999999935,43.999999999999595,-41.000000000002146,53.999999999998494,-359.9999999999852,-475.0000000000032,221.00000000000364,373.99999999998545,520.0000000000093,-128.0000000000001,-91.00000000000819,247.00000000000833,,128.00000000002981
2018.05.14,-51.000000000001044,229.99999999999687,-108.99999999999244,-304.00000000001535,9.999999999998899,-56.0000000000005,77.00000000000485,-356.9999999999993,-523.9999999999911,253.99999999999068,463.9999999999977,503.000000000009,-102.00000000000387,-117.00000000000443,309.99999999999915,,227.99999999998914
