date,USDJPY,USDCAD,CADCHF,GBPCAD,EURCAD,NZDJPY,NZDCAD,empty,sum
2020.10.19,-16.999999999995907,-29.00000000001235,-51.000000000001044,-109.99999999998789,-103.99999999999298,-38.000000000010914,-44.99999999999504,,-393.99999999999613
2020.10.19,-22.999999999996135,-59.000000000009045,-14.999999999998348,-346.0000000000019,-87.99999999999919,15.000000000000568,24.000000000001798,,-492.00000000000216
2020.10.19,-49.000000000006594,0.0,-2.999999999997449,-302.9999999999866,1.0000000000065512,-40.00000000000625,-10.999999999994348,,-404.9999999999847
2020.10.19,-45.000000000001705,14.999999999987246,87.99999999999919,-286.99999999999284,89.00000000000574,-70.00000000000739,-9.999999999998899,,-220.00000000000864
2020.10.19,-73.99999999999807,9.999999999998899,98.99999999999353,-299.99999999998914,79.00000000000685,-109.00000000000887,-45.99999999999049,,-340.9999999999873
2020.10.19,-99.00000000000375,56.99999999999594,109.00000000000354,-295.0000000000008,117.99999999999588,-140.00000000000057,-50.99999999998994,,-300.99999999999966
2020.10.19,-106.99999999999932,76.99999999999375,126.0000000000039,-350.9999999999902,106.99999999999044,-252.00000000000955,-163.99999999999747,,-564.0000000000085
2020.10.19,-129.99999999999545,119.00000000000244,148.0000000000037,-363.9999999999866,116.00000000000499,-228.00000000000864,-117.00000000000044,,-455.99999999998
2020.10.19,-48.00000000000182,114.99999999999844,165.00000000000404,-383.99999999998437,136.00000000000279,-204.00000000000773,-120.99999999999334,,-340.999999999982
2020.10.19,-52.00000000000671,89.99999999999008,148.0000000000037,-364.9999999999931,146.00000000000168,-186.00000000000705,-114.99999999999844,,-334.0000000000099
2020.10.19,-63.00000000000239,95.00000000000064,153.99999999999858,-390.9999999999858,171.99999999999437,-177.99999999999727,-113.99999999999189,,-324.99999999998374
2020.10.19,-21.000000000000796,58.99999999998684,141.99999999999767,-432.9999999999945,124.99999999999733,-150.00000000000568,-137.9999999999937,,-416.0000000000128
2020.10.19,-48.00000000000182,-9.999999999998899,114.99999999999844,-417.99999999998505,93.00000000000975,-152.00000000000102,-135.99999999999167,,-555.9999999999703
2020.10.19,-64.99999999999773,-14.000000000002899,121.99999999999989,-387.000000000004,123.00000000000644,-102.00000000000387,-96.99999999999153,,-419.9999999999937
2020.10.19,-72.00000000000273,-7.0000000000014495,126.0000000000039,-425.99999999999307,141.99999999999767,-100.00000000000853,-71.99999999999429,,-408.9999999999985
2020.10.19,-69.00000000000261,-13.000000000018552,132.99999999999423,-411.99999999999017,164.00000000000858,-91.00000000000819,-69.9999999999923,,-358.000000000009
2020.10.19,-70.99999999999795,-11.00000000000545,136.99999999999824,-390.9999999999858,123.99999999999079,-103.00000000000864,-73.99999999999629,,-389.0000000000051
