date,EURUSD,EURCHF,EURNZD,CADJPY,NZDCAD,AUDNZD,empty,sum
2018.01.29,-114.99999999999844,-62.99999999999084,-112.99999999998533,-59.99999999998806,-115.00000000000954,0.0,,-465.99999999997226
2018.01.29,-129.00000000000134,-59.000000000009045,-198.99999999999363,-31.999999999996476,-233.00000000000543,6.000000000017103,,-645.9999999999889
2018.01.29,-103.00000000000864,17.000000000000348,-204.00000000000418,-51.9999999999925,-259.0000000000092,-43.999999999999595,,-645.0000000000138
2018.01.29,-51.000000000001044,69.9999999999923,-332.9999999999833,-44.999999999987494,-318.00000000000716,-81.9999999999821,,-758.9999999999688
2018.01.29,-34.000000000000696,83.00000000001084,-303.9999999999932,-45.99999999999227,-300.0000000000003,-47.99999999998139,,-648.999999999957
2018.01.29,-53.00000000001415,95.00000000000064,-153.9999999999875,-62.99999999998818,-239.0000000000003,9.000000000014552,,-404.99999999997493
2018.01.29,-302.0000000000023,83.9999999999952,-79.99999999999119,-44.999999999987494,-172.00000000000549,118.00000000001809,,-396.99999999997317
2018.01.29,-300.00000000001137,139.00000000000023,63.99999999999739,-18.999999999991246,-95.00000000000064,120.00000000000898,,-90.99999999999665
2018.01.29,-407.0000000000018,139.00000000000023,-44.99999999998394,-60.99999999999284,-129.00000000000134,34.000000000000696,,-468.9999999999791
2018.01.29,-369.0000000000193,214.00000000000307,-70.99999999999883,-74.99999999998863,-132.0000000000099,11.00000000000545,,-422.0000000000082
2018.01.29,-280.9999999999979,221.00000000000452,-15.999999999993797,-27.999999999991587,-135.00000000000733,9.000000000014552,,-229.99999999997155
2018.01.29,-221.00000000000452,164.00000000000858,58.000000000002494,-3.9999999999906777,-143.00000000000423,-24.999999999986144,,-170.99999999997448
2018.01.29,-119.00000000000244,215.99999999999397,87.00000000001484,15.000000000000568,-133.00000000000534,8.000000000008,,74.00000000000959
2018.01.29,-145.00000000001734,214.00000000000307,7.0000000000014495,12.000000000000455,-164.00000000000858,17.000000000000348,,-59.0000000000206
2018.01.29,-182.0000000000155,215.99999999999397,33.00000000001635,-10.99999999999568,-160.00000000000458,30.0000000000189,,-73.99999999998653
2018.01.29,-204.00000000000418,214.00000000000307,60.99999999999994,-5.9999999999860165,-126.99999999999933,36.999999999998145,,-24.99999999998837
2018.01.29,-160.00000000000458,231.0000000000034,121.99999999999989,-45.99999999999227,-139.00000000000023,13.000000000018552,,21.000000000024777
2018.01.29,-212.00000000001216,249.00000000001032,77.00000000001594,-35.99999999998715,-146.00000000000168,42.0000000000087,,-25.999999999966036
2018.01.29,-202.00000000001327,262.999999999991,119.00000000000244,-118.99999999999977,-178.00000000000037,36.999999999998145,,-80.0000000000218
2018.01.29,-319.0000000000026,241.00000000000233,130.0000000000079,-103.9999999999992,-118.00000000000699,52.000000000007596,,-117.99999999999099
2018.01.29,-374.0000000000077,251.00000000000122,-85.99999999998609,-68.9999999999884,-220.00000000000907,-34.000000000000696,,-531.9999999999907
