date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.08.12,-87.99999999999919,-1.999999999990898,-45.000000000001705,0.0,-5.999999999994898,-41.000000000002146,-4.000000000004,,-185.99999999999287
2019.08.12,-82.00000000000429,4.000000000004,-51.00000000000193,78.00000000000296,133.00000000000534,-50.0000000000056,21.00000000000435,,53.00000000000483
2019.08.12,-143.00000000000423,9.999999999998899,-48.99999999999238,117.00000000000443,190.00000000000128,-47.00000000000814,62.000000000006494,,140.00000000000634
2019.08.12,-175.99999999999838,69.9999999999923,-141.9999999999959,135.99999999999568,164.00000000000858,8.999999999992347,65.00000000000395,,125.99999999999858
2019.08.12,-236.00000000001398,8.000000000008,-388.9999999999958,-16.999999999995907,191.00000000000784,41.000000000002146,60.000000000015596,,-341.99999999997215
2019.08.12,-236.99999999999832,-1.999999999990898,-564.9999999999977,-161.00000000000136,286.00000000000847,46.00000000000159,9.999999999998899,,-622.9999999999793
2019.08.12,-293.0000000000099,-21.00000000000435,-453.9999999999935,-61.00000000000705,239.00000000001143,-204.99999999999963,12.000000000012001,,-782.999999999991
2019.08.12,-283.99999999999534,-22.0000000000109,-361.0000000000042,-55.999999999997385,337.0000000000095,-43.00000000000415,33.00000000001635,,-395.99999999998613
2019.08.12,-316.0000000000052,1.999999999990898,-298.0000000000018,-42.00000000000159,320.00000000000915,39.00000000000014,46.999999999997044,,-248.00000000001137
2019.08.12,-319.0000000000026,48.000000000003595,-198.99999999999807,40.99999999999682,197.00000000000273,46.00000000000159,36.999999999998145,,-148.9999999999978
2019.08.12,-316.0000000000052,42.0000000000087,-147.99999999999613,48.00000000000182,56.000000000011596,171.99999999999437,46.0000000000127,,-99.99999999997212
2019.08.12,-255.00000000000523,41.000000000002146,-147.00000000000557,28.999999999996362,83.9999999999952,152.99999999999204,66.00000000001049,,-29.000000000014552
2019.08.12,-270.99999999999903,41.000000000002146,-170.99999999999227,19.99999999999602,119.00000000000244,143.9999999999997,56.000000000011596,,-61.999999999979394
2019.08.12,-280.9999999999979,55.000000000005045,-198.99999999999807,13.999999999995794,66.00000000001049,197.00000000000273,26.0000000000149,,-121.99999999996703
2019.08.12,-246.00000000001288,52.99999999999194,-328.9999999999935,-55.999999999997385,73.00000000001194,200.00000000000017,32.0000000000098,,-272.99999999998994
2019.08.12,-239.99999999999577,31.999999999987594,-307.9999999999927,-16.000000000005343,66.99999999999484,174.99999999999181,46.0000000000127,,-244.0000000000069
2019.08.12,-238.0000000000049,65.00000000000395,-260.9999999999957,-28.999999999996362,160.00000000000458,139.00000000000023,52.000000000007596,,-111.99999999998059
2019.08.12,-219.99999999999798,73.99999999999629,-260.9999999999957,-21.000000000000796,133.00000000000534,134.99999999999625,26.999999999999247,,-132.99999999999733
2019.08.12,-307.00000000001285,72.0000000000054,-243.99999999999977,-40.99999999999682,181.9999999999933,149.99999999999457,1.0000000000065512,,-187.00000000000966
2019.08.12,-321.0000000000157,60.99999999999994,-245.00000000000455,-94.99999999999886,173.00000000000094,153.99999999999858,-7.999999999985796,,-281.0000000000054
2019.08.12,-336.00000000000296,-11.00000000000545,-194.00000000000261,-263.00000000000523,-219.99999999999798,86.99999999999264,51.000000000001044,,-886.0000000000207
2019.08.12,-338.0000000000161,-45.000000000006146,30.000000000001137,-353.9999999999992,-160.00000000000458,66.99999999999484,39.00000000001125,,-761.0000000000186
2019.08.12,-476.9999999999941,-72.0000000000054,-221.9999999999942,-637.0000000000005,-110.99999999999443,42.999999999993044,-14.999999999987246,,-1490.999999999983
2019.08.12,-483.99999999999557,-72.0000000000054,-170.99999999999227,-579.0000000000077,-25.999999999992696,51.000000000001044,-49.99999999999449,,-1330.999999999987
2019.08.12,-452.00000000000796,-100.99999999999554,-224.99999999999432,-632.000000000005,112.000000000001,-63.00000000000195,-116.99999999998934,,-1477.9999999999932
2019.08.12,-424.00000000000216,-83.9999999999952,-216.99999999999875,-600.9999999999991,313.00000000000773,-63.00000000000195,-122.99999999998423,,-1198.9999999999739
2019.08.12,-461.0000000000003,-96.99999999999153,-206.00000000000307,-552.9999999999973,327.00000000001063,-13.00000000000745,-139.9999999999846,,-1142.9999999999736
2019.08.12,-463.9999999999977,-104.99999999999955,-91.99999999999875,-457.9999999999984,443.99999999999994,0.0,-194.0000000000053,,-868.9999999999998
2019.08.12,-540.0000000000072,-146.00000000000168,-112.99999999999955,-593.9999999999941,320.00000000000915,42.999999999993044,-226.99999999999943,,-1257.0
2019.08.12,-487.99999999999955,-110.00000000001009,-109.99999999999943,-558.9999999999975,312.00000000000114,-2.999999999997449,-227.99999999998377,,-1185.9999999999868
2019.08.12,-432.0000000000102,-154.99999999999403,-108.00000000000409,-530.0000000000011,324.0000000000132,-38.0000000000047,-282.9999999999888,,-1221.9999999999898
2019.08.12,-334.00000000001205,-113.00000000000753,-57.999999999992724,-403.0000000000058,346.0000000000019,-48.99999999999905,-285.00000000000193,,-896.0000000000172
2019.08.12,-321.0000000000157,-49.00000000001015,27.000000000001023,-268.0000000000007,604.0000000000045,-70.0000000000034,-228.99999999999034,,-306.00000000001467
2019.08.12,-373.00000000000114,-32.999999999994145,45.000000000001705,-186.00000000000705,649.999999999995,-21.00000000000435,-283.99999999999534,,-202.00000000000537
2019.08.12,-377.0000000000051,-8.000000000008,134.00000000000034,-28.999999999996362,619.9999999999983,-24.999999999997247,-265.99999999998846,,49.00000000000341
