date,USDCHF,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.09.27,0.0,-45.000000000001705,-17.999999999995797,-153.00000000000313,-156.00000000000057,0.0,-45.000000000001705,-109.99999999999899,-16.0000000000049,-2.000000000002,-168.0000000000126,-283.000000000011,-120.00000000000898,-486.999999999993,-221.99999999998886,-66.0000000000025,-159.9999999999966,-236.99999999999832,-219.00000000000253,-8.999999999992347,,-2516.0000000000155
2021.09.27,18.999999999991246,-22.999999999996135,9.00000000000345,-241.99999999999778,-207.00000000000162,141.00000000001333,100.99999999999909,-113.99999999999189,41.9999999999976,18.999999999991246,-317.9999999999961,-351.0000000000124,-168.99999999999693,-320.9999999999935,-624.0000000000023,-48.00000000000182,-195.99999999999795,-319.99999999999807,-379.0000000000071,-42.999999999993044,,-3023.9999999999914
2021.09.27,24.999999999997247,-16.999999999995907,78.99999999999574,-163.00000000000205,-248.99999999998812,110.00000000001009,143.00000000000068,-115.99999999999389,81.9999999999932,17.999999999995797,-253.00000000001432,-175.99999999999838,-129.00000000000134,-195.9999999999962,-70.99999999999883,-129.0000000000049,-213.99999999999864,-253.99999999999866,-274.00000000000756,90.99999999999665,,-1693.0000000000095
2021.09.27,117.00000000000044,78.99999999999352,88.99999999999464,-148.99999999999915,-251.99999999998556,208.99999999999253,200.9999999999934,-112.000000000001,139.99999999999568,13.999999999991797,-255.00000000000523,-34.000000000000696,-110.00000000001009,-165.9999999999995,109.00000000000354,-112.99999999999955,-213.99999999999864,-271.9999999999945,-262.00000000000665,170.00000000000347,,-811.0000000000316
2021.09.27,136.99999999999824,70.99999999999795,104.00000000000409,-195.00000000000074,-255.99999999998957,238.0000000000049,204.9999999999983,-153.99999999999858,176.99999999999383,-4.999999999999449,-259.9999999999936,-131.99999999999878,-111.00000000001664,-211.00000000000563,19.00000000001345,-138.9999999999958,-262.999999999991,-297.00000000000284,-301.0000000000068,194.0000000000053,,-1178.9999999999834
2021.09.27,102.99999999999754,60.99999999999284,104.99999999999955,-214.00000000000307,-214.99999999998744,228.00000000000597,198.99999999999807,-139.00000000000023,200.00000000000017,-8.000000000008,-212.00000000001216,-144.99999999999514,-120.00000000000898,-219.00000000001364,26.999999999999247,-129.0000000000049,-259.9999999999909,-304.9999999999997,-304.00000000000426,209.9999999999991,,-1137.0000000000362
2021.09.27,97.9999999999981,-25.000000000005684,153.00000000000313,-251.99999999999667,-296.9999999999917,219.00000000001364,117.999999999995,-212.00000000000108,217.99999999999596,3.999999999992898,-202.00000000001327,-287.9999999999994,-89.00000000000574,-412.00000000001234,-95.999999999985,-201.00000000000762,-363.9999999999901,-343.9999999999999,-309.0000000000037,211.00000000000563,,-2070.0000000000077
2021.09.27,118.99999999999133,-19.000000000005457,234.99999999999633,-292.00000000000335,-310.9999999999946,229.99999999999687,115.99999999999966,-220.99999999999343,313.99999999999204,23.999999999990695,-144.0000000000108,-357.00000000000733,21.00000000000435,-493.0000000000101,-202.9999999999976,-168.00000000000637,-356.9999999999993,-361.9999999999957,-339.0000000000004,248.00000000000378,,-1959.0000000000493
2021.09.27,117.00000000000044,-9.000000000000341,261.99999999999557,-302.0000000000023,-302.9999999999866,232.00000000000998,111.99999999999477,-334.00000000000097,348.9999999999993,13.999999999991797,-66.00000000001049,-563.0000000000024,97.9999999999981,-611.000000000006,-205.99999999999508,-295.0000000000017,-402.000000000001,-378.00000000000057,-307.0000000000017,270.00000000001467,,-2322.0000000000045
2021.09.27,122.99999999999534,-49.000000000006594,321.0000000000046,-365.0000000000042,-361.9999999999957,248.00000000000378,57.999999999992724,-374.999999999992,380.999999999998,17.000000000000348,58.000000000002494,-571.9999999999948,215.99999999999397,-686.0000000000089,-305.9999999999841,-326.9999999999982,-433.9999999999975,-353.99999999999875,-270.99999999999903,289.0000000000059,,-2389.9999999999827
