date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,empty,sum
2015.08.03,-96.99999999999153,0.0,-315.0000000000097,-89.99999999999008,-124.00000000001299,-826.9999999999982,-48.99999999999905,0.0,-2.0000000000131024,-259.0000000000092,-109.99999999998789,-221.00000000000452,0.0,-75.00000000000284,-107.99999999998988,-172.00000000000549,,-2449.0000000000146
2015.08.03,-64.99999999998174,9.000000000014552,-92.00000000000318,-30.999999999992145,-97.00000000001374,120.99999999999511,-27.999999999994696,-9.000000000014552,50.99999999997884,-252.0000000000078,-102.99999999998644,-195.9999999999962,37.9999999999967,-64.99999999999773,-42.00000000000159,-100.99999999999554,,-862.0000000000002
2015.08.03,-111.99999999997878,-8.999999999992347,-102.00000000000209,-121.99999999999989,-154.0000000000097,113.00000000001376,53.999999999998494,-81.00000000001728,109.00000000000354,-295.000000000023,-62.99999999999084,-395.99999999999636,87.99999999999386,-52.99999999999727,-105.99999999999454,-153.00000000000313,,-1281.9999999999957
2015.08.03,-60.99999999999994,-15.999999999993797,-95.00000000000064,-130.99999999999224,-80.00000000001339,167.99999999999216,46.00000000000159,-104.00000000001342,21.00000000000435,-319.0000000000026,-68.99999999998573,-438.00000000000506,81.00000000000307,-43.99999999999693,-126.99999999999534,-190.99999999999673,,-1358.9999999999945
2015.08.03,-25.999999999992696,-127.99999999999478,-95.00000000000064,-151.9999999999966,-121.00000000001555,129.0000000000049,17.000000000000348,-224.00000000001796,-209.00000000003695,-383.0000000000222,-180.0000000000024,-500.9999999999959,33.999999999991815,-34.99999999999659,-143.00000000000068,-155.00000000000514,,-2172.000000000081
2015.08.03,-80.99999999999774,-395.99999999999636,-206.00000000000617,-245.99999999999068,-95.00000000000064,197.9999999999933,-117.99999999999588,-354.0000000000134,-595.0000000000343,-620.0000000000206,-363.9999999999866,-611.000000000006,-105.00000000000398,-97.99999999999898,-191.99999999999307,-112.99999999999643,,-3996.0000000000477
2015.08.03,-134.99999999999625,-453.99999999999886,-260.00000000000466,-297.9999999999983,-60.000000000015596,228.9999999999992,-173.00000000000094,-248.99999999999523,-575.0000000000366,-712.0000000000015,-415.99999999999415,-734.9999999999968,-115.0000000000091,-126.00000000000477,-221.9999999999942,-90.99999999999665,,-4392.000000000045
2015.08.03,-126.99999999998823,-356.00000000000074,-189.00000000000583,-244.99999999999523,-80.00000000001339,285.99999999998715,-169.99999999999238,-221.00000000000364,-446.9999999999974,-503.000000000009,-425.99999999999307,-723.9999999999914,-78.00000000000296,-54.000000000002046,-170.0000000000017,-75.00000000000284,,-3579.0000000000127
2015.08.03,-72.99999999998974,-317.9999999999961,-114.00000000000298,-188.9999999999947,-35.00000000000725,307.00000000000216,-195.00000000000074,-167.0000000000016,-456.00000000001194,-376.00000000002075,-458.00000000000284,-638.0000000000052,-133.00000000000978,-52.00000000000671,-179.00000000000205,-36.0000000000027,,-3112.0000000000537
2015.08.03,-115.99999999998278,-353.0000000000033,-196.00000000000728,-230.99999999999233,-22.999999999995246,254.0000000000049,-185.00000000000182,-99.00000000001796,-449.0000000000105,-482.00000000000466,-427.99999999998397,-672.0000000000059,-146.0000000000008,-137.00000000000045,-225.9999999999991,-158.0000000000026,,-3647.000000000004
2015.08.03,-125.99999999998168,-351.99999999999676,-178.00000000000037,-205.99999999999508,-18.0000000000069,267.0000000000101,-163.00000000000205,-88.99999999999864,-384.00000000002876,-442.00000000000904,-402.9999999999978,-567.9999999999907,-121.99999999999989,-81.00000000000307,-167.0000000000016,-36.999999999998145,,-3069.000000000001
2015.08.03,-111.99999999997878,-365.99999999999966,-155.00000000000514,-192.99999999999872,-17.000000000000348,278.0000000000058,-175.99999999999838,-117.00000000001864,-426.9999999999996,-418.9999999999916,-425.99999999999307,-595.9999999999966,-125.0,-75.00000000000284,-156.99999999999648,-36.999999999998145,,-3119.999999999972
