date,USDCHF,EURUSD,USDCAD,GBPCHF,EURCHF,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2021.04.05,-121.99999999999989,-31.999999999987594,-9.999999999998899,-215.99999999999397,-56.000000000011596,-56.0000000000005,-262.00000000000045,-173.00000000000094,0.0,-1.0000000000047748,-38.99999999998904,-43.999999999999595,-48.000000000003595,-109.99999999999943,-99.99999999999432,-143.00000000000423,-217.0000000000005,,-1628.9999999999895
2021.04.05,-121.99999999999989,0.0,39.00000000001125,-215.99999999999397,-56.000000000011596,-52.000000000007596,-262.00000000000045,-155.00000000001623,331.999999999999,7.000000000005002,104.00000000001519,104.99999999999955,165.9999999999995,-125.0,-102.00000000000387,-136.99999999999824,-222.99999999999542,,-696.9999999999978
2021.04.05,-124.99999999999733,-1.999999999990898,-3.999999999981796,-234.00000000000088,-123.00000000000644,-100.00000000000009,-227.00000000000387,-215.00000000000963,343.00000000000443,16.999999999995907,136.00000000000279,95.00000000000064,212.99999999999653,-178.00000000001148,-150.00000000000568,-222.99999999999542,-331.999999999999,,-1109.0000000000023
2021.04.05,-112.99999999999643,56.99999999999594,-13.999999999980695,-187.00000000000384,-103.00000000000864,-118.00000000000699,-237.99999999999955,-116.00000000000499,309.0000000000037,120.00000000000455,147.00000000000824,106.99999999999044,469.0000000000083,-221.00000000000364,-103.9999999999992,-190.00000000000128,-365.0000000000153,,-560.0000000000094
2021.04.05,-141.99999999999767,36.999999999998145,-12.999999999996348,-198.99999999999363,-114.99999999999844,-126.0000000000039,-258.99999999998613,-65.00000000000395,248.99999999998812,155.00000000000114,146.00000000000168,70.99999999999883,480.99999999999807,-240.99999999999966,-158.00000000000125,-202.9999999999976,-361.9999999999957,,-743.9999999999883
2021.04.05,-78.00000000000028,92.00000000000318,-57.99999999998029,-173.99999999998528,-82.00000000000429,-107.00000000000153,-269.9999999999818,-81.00000000001995,194.99999999998963,165.99999999999682,145.00000000001734,-8.000000000008,390.0000000000015,-237.00000000000898,-191.0000000000025,-253.99999999999866,-336.00000000000296,,-887.999999999986
2021.04.05,-95.00000000000064,72.0000000000054,-41.99999999998649,-174.99999999999181,-87.00000000001484,-104.00000000000409,-290.9999999999968,-85.00000000000173,192.99999999999872,134.9999999999909,152.0000000000188,-12.999999999996348,405.9999999999952,-239.00000000000432,-200.00000000000284,-265.0000000000041,-348.00000000001495,,-986.00000000001
2021.04.05,-93.99999999999409,89.00000000000574,-76.99999999999375,-220.99999999998232,-93.00000000000975,-118.00000000000699,-236.99999999999477,-92.00000000000318,151.9999999999966,104.99999999998977,108.00000000001918,-48.000000000003595,364.00000000000875,-216.00000000000819,-177.99999999999727,-275.99999999999847,-374.0000000000077,,-1205.99999999998
2021.04.05,-65.99999999999939,96.99999999999153,-56.99999999999594,-178.99999999999582,-78.00000000000028,-113.00000000000753,-171.99999999999704,-164.00000000000858,164.99999999999292,67.00000000000728,123.00000000000644,-51.000000000001044,426.9999999999996,-184.0000000000117,-111.99999999999477,-265.99999999999955,-392.00000000001455,,-955.0000000000283
2021.04.05,-29.999999999996696,124.00000000001299,-66.99999999999484,-217.0000000000005,-65.00000000000395,-75.00000000000284,-263.9999999999816,-196.0000000000184,246.99999999999721,67.00000000000728,177.00000000000495,-49.00000000001015,317.9999999999961,-158.00000000000125,-171.00000000000648,-295.0000000000008,-387.000000000004,,-1041.0000000000032
2021.04.05,-68.00000000000139,124.00000000001299,-62.99999999999084,-265.99999999998846,-114.0000000000141,-93.00000000000975,-257.99999999998136,-228.00000000000597,245.0000000000063,86.99999999998909,171.00000000001003,-33.00000000001635,347.0000000000084,-166.00000000001103,-167.0000000000016,-317.0000000000006,-337.0000000000095,,-1136.000000000004
2021.04.05,-80.99999999999774,113.99999999999189,-1.999999999990898,-259.9999999999936,-114.0000000000141,-89.00000000000574,-230.99999999999454,-241.00000000000233,231.99999999998778,70.99999999999795,226.99999999999943,-28.000000000005798,373.00000000000114,-125.0,-155.00000000000114,-322.9999999999955,-351.0000000000124,,-983.0000000000356
2021.04.05,-93.99999999999409,106.00000000000608,-19.999999999997797,-279.99999999999136,-126.0000000000039,-94.00000000000519,-192.99999999998363,-232.00000000000998,232.99999999999432,55.00000000000682,219.00000000001364,-29.999999999996696,399.00000000001603,-100.99999999999909,-120.99999999999511,-321.0000000000046,-365.99999999999966,,-965.9999999999442
2021.04.05,-73.99999999999629,146.00000000000168,-9.999999999998899,-271.99999999998334,-131.00000000001444,-93.00000000000975,-164.99999999999204,-242.00000000000887,238.0000000000049,63.99999999999295,234.00000000000088,-24.000000000001798,422.00000000001125,-85.00000000000796,-103.9999999999992,-324.9999999999975,-361.9999999999957,,-782.9999999999941
2021.04.05,-136.99999999999824,80.99999999999774,22.0000000000109,-290.9999999999968,-153.00000000000313,-87.00000000000374,-186.00000000000705,-289.0000000000059,262.00000000000665,67.99999999998363,275.000000000003,14.000000000002899,426.9999999999996,-85.99999999999852,-120.99999999999511,-328.0000000000061,-341.99999999999784,,-871.0000000000082
2021.04.05,-139.00000000000023,46.0000000000127,98.0000000000203,-285.99999999998624,-134.99999999999625,-80.00000000000229,-203.00000000000296,-285.00000000000193,297.9999999999983,60.000000000002274,245.0000000000063,14.000000000002899,373.00000000000114,-88.00000000000807,-126.99999999999534,-319.0000000000026,-337.99999999999386,,-865.9999999999459
2021.04.05,-149.99999999999457,42.0000000000087,96.00000000000719,-275.000000000003,-114.99999999999844,-80.00000000000229,-205.99999999998886,-264.0000000000198,309.99999999998806,58.9999999999975,238.0000000000049,22.999999999995246,356.00000000000074,-91.00000000000819,-123.99999999999523,-295.99999999999625,-327.00000000001063,,-804.0000000000149
2021.04.05,-173.9999999999964,-63.99999999999739,99.00000000000463,-255.99999999998957,-104.99999999999955,-78.00000000000028,-168.00000000000637,-330.0000000000081,307.99999999999716,-20.000000000010232,182.99999999999983,-22.0000000000109,361.0000000000113,-94.99999999999886,-114.00000000000432,-295.99999999999625,-327.99999999999494,,-1099.0000000000005
2021.04.05,-193.99999999999417,-75.99999999998718,144.0000000000108,-331.999999999999,-90.00000000001229,-82.99999999999974,-243.99999999999977,-345.0000000000175,417.99999999998505,-20.000000000010232,185.00000000001293,68.00000000000139,378.00000000001165,-77.00000000001239,-87.0000000000033,-273.000000000001,-290.00000000001245,,-918.0000000000273
2021.04.05,-207.00000000000162,-69.9999999999923,98.0000000000203,-409.99999999999926,-90.00000000001229,-132.0000000000099,-248.99999999999523,-316.0000000000052,500.9999999999959,-69.99999999999318,96.00000000000719,56.99999999999594,354.0000000000099,-100.99999999999909,-78.00000000000296,-219.00000000000253,-285.00000000000193,,-1120.9999999999864
2021.04.05,-215.99999999999397,-104.99999999999955,96.00000000000719,-397.0000000000029,-80.00000000001339,-126.0000000000039,-265.99999999999113,-358.00000000001387,506.9999999999908,-88.99999999999864,100.0000000000112,-29.00000000001235,334.9999999999964,-90.00000000000341,-64.99999999999773,-231.99999999999886,-303.0000000000088,,-1318.0000000000332
