,names,week,needed_features,accuracy
0,USDCHF,10,['USDJPY'],80.0
1,GBPUSD,10,['USDJPY'],100.0
2,EURUSD,10,['USDJPY'],100.0
3,USDCAD,50,"['EURAUD', 'AUDCHF', 'EURCHF', 'USDJPY']",80.0
4,AUDUSD,20,['EURCHF'],80.0
5,NZDUSD,10,['EURGBP'],100.0
6,GBPCHF,10,"['CHFJPY', 'EURJPY', 'USDCHF', 'EURUSD', 'GBPJPY']",80.0
7,CADCHF,15,['GBPUSD'],80.0
8,GBPJPY,10,['USDJPY'],100.0
9,EURCAD,50,"['AUDCAD', 'EURJPY', 'EURUSD', 'EURCAD', 'GBPJPY', 'AUDUSD']",80.0
10,EURAUD,50,['EURUSD'],80.0
11,EURNZD,10,"['AUDCHF', 'EURAUD', 'EURNZD']",80.0
12,AUDJPY,50,"['NZDCHF', 'AUDJPY']",80.0
13,NZDJPY,10,"['EURNZD', 'EURGBP', 'USDCAD']",80.0
14,AUDCAD,20,['EURCHF'],80.0
15,NZDCAD,20,['EURCHF'],80.0
16,AUDNZD,20,"['EURGBP', 'GBPCHF', 'GBPCAD', 'USDJPY', 'EURNZD']",80.0
