date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,AUDJPY,NZDJPY,empty,sum
2021.08.16,0.0,-63.99999999999739,-8.000000000008,0.0,-56.000000000011596,-87.99999999999919,0.0,-14.000000000002899,0.0,-176.99999999998272,-171.00000000001003,-22.999999999996135,-78.00000000000028,-79.00000000000685,0.0,-114.00000000000432,,-872.0000000000193
2021.08.16,52.000000000007596,-5.999999999994898,-5.000000000010552,49.000000000006594,-55.000000000005045,-68.00000000000139,176.00000000000193,58.99999999999794,82.00000000002206,-163.00000000000205,62.99999999999084,20.000000000010232,-86.0000000000083,38.0000000000047,61.99999999999761,-82.99999999999841,,135.00000000001884
2021.08.16,0.0,112.99999999998533,-25.00000000000835,22.00000000000557,-49.00000000001015,-114.00000000000298,218.00000000000352,88.99999999999464,108.00000000000409,-234.00000000000088,123.99999999999079,21.99999999999136,-120.00000000000898,97.9999999999981,55.999999999997385,-169.00000000001114,,138.99999999992826
2021.08.16,46.999999999997044,160.00000000000458,-22.0000000000109,112.99999999999955,-29.999999999996696,-90.99999999999665,350.9999999999991,79.99999999999119,291.00000000002524,-208.99999999999253,253.99999999999866,92.99999999998931,-48.000000000003595,129.99999999998568,164.00000000000148,-160.0000000000108,,1122.9999999999804
2021.08.16,41.000000000002146,163.9999999999864,-8.000000000008,64.99999999999773,-66.00000000001049,-100.99999999999554,308.9999999999975,98.99999999999353,211.00000000001273,-229.99999999999687,253.99999999999866,56.000000000011596,-92.00000000000318,121.99999999999989,132.000000000005,-112.00000000000898,,843.999999999982
2021.08.16,43.999999999999595,130.99999999999224,-21.00000000000435,82.00000000000784,-79.00000000000685,-68.00000000000139,329.9999999999983,110.99999999999443,210.00000000000796,-234.00000000000088,296.9999999999917,61.00000000000705,-97.00000000001374,180.99999999998673,103.9999999999992,-91.99999999999875,,959.999999999959
2021.08.16,21.999999999999797,83.9999999999952,-11.00000000000545,-64.99999999999773,-172.0000000000166,-61.999999999995396,185.00000000000227,123.99999999999079,-39.99999999999204,-288.99999999998374,323.99999999999096,-104.99999999998977,-217.0000000000005,212.99999999999653,-74.99999999998863,-57.00000000000216,,-140.99999999999648
2021.08.16,41.000000000002146,79.99999999999119,-12.000000000012001,-94.99999999999886,-231.0000000000034,22.999999999995246,140.00000000000057,153.99999999999858,-91.99999999998454,-357.99999999999164,466.00000000001086,-149.0000000000009,-287.000000000015,303.9999999999932,-115.99999999999966,42.999999999992156,,-89.00000000002211
2021.08.16,7.9999999999968985,78.99999999998464,4.000000000004,-79.9999999999983,-219.00000000001364,12.000000000000899,192.99999999999784,157.99999999999147,-45.99999999999227,-348.9999999999993,472.00000000000574,-92.00000000001296,-280.0000000000136,190.99999999998562,-107.99999999998988,3.0000000000001137,,-54.00000000005272
2021.08.16,-7.0000000000014495,133.00000000000534,29.999999999996696,-129.99999999999545,-194.0000000000053,7.0000000000014495,156.0000000000059,153.99999999999858,-83.99999999997476,-390.0000000000015,472.00000000000574,-139.00000000001,-306.00000000000625,217.0000000000005,-135.99999999999568,27.000000000001023,,-189.9999999999751
2021.08.16,-9.999999999998899,117.99999999999588,21.999999999988695,-207.9999999999984,-206.00000000001728,51.000000000001044,81.00000000000307,153.99999999999858,-173.99999999997817,-397.0000000000029,560.9999999999893,-225.9999999999991,-313.00000000000773,322.00000000000006,-250.0,97.99999999999898,,-377.0000000000269
2021.08.16,9.999999999998899,123.00000000000644,18.999999999991246,-195.99999999999795,-204.00000000000418,68.99999999999685,70.00000000000739,132.99999999999423,-146.99999999999136,-370.999999999988,648.0000000000041,-229.99999999998977,-281.0000000000201,322.00000000000006,-256.0000000000002,137.99999999999102,,-153.00000000000142
2021.08.16,31.000000000003247,52.99999999999194,-28.000000000005798,-188.99999999999295,-297.9999999999983,122.99999999999534,-25.99999999999625,141.99999999999767,-267.99999999997226,-405.9999999999952,767.0000000000066,-280.00000000000114,-337.0000000000095,428.9999999999905,-381.0000000000002,190.9999999999883,,-476.99999999999807
2021.08.16,100.00000000000009,25.999999999992696,-41.000000000002146,-168.99999999999693,-303.0000000000088,195.00000000000074,-27.999999999991587,162.99999999999093,-261.99999999997203,-407.0000000000018,821.000000000005,-264.00000000001,-327.00000000001063,516.9999999999897,-371.9999999999999,253.0000000000001,,-98.00000000001461
2021.08.16,80.99999999999774,41.99999999998649,-41.000000000002146,-159.9999999999966,-292.00000000000335,202.0000000000022,-9.000000000000341,154.99999999999403,-236.99999999999477,-393.99999999998323,861.0000000000007,-259.9999999999909,-304.00000000001535,434.000000000001,-378.9999999999907,198.99999999999807,,-101.99999999999716
