date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.01.25,-155.99999999998948,-85.00000000000173,-78.99999999998464,-6.000000000000227,0.0,-5.000000000010552,-278.00000000000045,-73.99999999999629,-30.000000000001137,-114.00000000000298,-87.99999999999919,-95.00000000000064,-15.00000000000945,-93.99999999999409,-373.00000000000114,-204.00000000000418,0.0,-104.99999999999955,-112.99999999998533,-24.00000000000091,-169.00000000000804,-163.99999999999747,-51.99999999998539,,-2322.9999999999727
2021.01.25,-145.9999999999906,-36.0000000000138,-55.99999999998939,12.999999999991019,32.999999999994145,5.999999999994898,-218.99999999999142,-88.99999999998354,143.00000000000068,-68.99999999999685,-65.99999999999939,-91.00000000000774,44.99999999999504,-87.99999999999386,-409.99999999999926,-248.00000000000378,32.0000000000098,-19.999999999997797,121.00000000001555,-23.000000000010346,-130.0000000000079,-173.00000000000094,-46.999999999997044,,-1517.9999999999827
2021.01.25,-142.99999999999312,-18.0000000000069,-62.99999999999084,6.000000000000227,-46.00000000000159,-78.00000000000028,-276.9999999999939,-82.99999999998863,150.99999999999625,-100.99999999999554,-143.9999999999997,-159.00000000000912,17.999999999995797,-139.00000000001,-349.99999999998363,-211.00000000000563,133.99999999998968,-58.000000000002494,-38.99999999998904,-85.00000000000796,-206.00000000000617,-202.9999999999976,-72.0000000000054,,-2166.0000000000055
2021.01.25,-137.9999999999937,55.99999999998939,-59.99999999999339,0.0,-53.00000000000304,-120.00000000000898,-303.9999999999932,-82.00000000000429,189.99999999999773,-95.99999999999609,-154.99999999999403,-191.00000000000784,17.999999999995797,-145.00000000001023,-360.9999999999891,-231.0000000000034,136.00000000000279,-63.99999999999739,-68.99999999998573,-117.00000000000443,-213.00000000000762,-235.99999999999176,-45.99999999999049,,-2280.999999999989
2021.01.25,-153.99999999999858,-8.000000000008,-41.99999999998649,-27.000000000001023,-79.00000000000685,-161.00000000000003,-300.99999999999574,-110.99999999999443,150.00000000000568,-121.99999999999989,-182.00000000000438,-240.00000000000688,29.999999999996696,-117.999999999995,-354.9999999999942,-221.00000000000452,143.00000000000423,-65.00000000000395,-136.99999999998712,-154.00000000001057,-226.00000000000398,-271.9999999999945,-38.0000000000047,,-2689.999999999994
2021.01.25,-134.99999999999625,43.999999999999595,-36.999999999998145,-6.000000000000227,-106.00000000000608,-217.0000000000005,-306.00000000000625,-109.00000000000354,186.00000000000705,-139.00000000000023,-192.99999999999872,-264.0000000000087,40.99999999999105,-181.0000000000116,-278.00000000000045,-76.0000000000094,89.00000000000574,-96.99999999999153,-239.99999999999577,-228.00000000000864,-224.000000000002,-312.00000000000114,32.999999999994145,,-2755.0000000000414
2021.01.25,-185.99999999999727,17.999999999984695,-85.99999999998609,19.99999999999602,-70.0000000000034,-197.00000000000273,-340.9999999999913,-102.00000000000209,183.9999999999975,-146.99999999999713,-165.9999999999995,-275.000000000003,17.999999999995797,-180.00000000000682,-286.99999999999284,-214.00000000000307,59.99999999999339,-87.99999999999919,-271.99999999998334,-217.00000000001296,-179.00000000000693,-291.99999999999227,43.00000000001525,,-2955.9999999999964
2021.01.25,-194.99999999998963,-16.000000000016,-101.99999999997988,58.9999999999975,-47.00000000000814,-203.00000000000873,-344.99999999999534,-102.99999999998644,195.99999999999795,-146.99999999999713,-180.0000000000024,-302.0000000000023,18.999999999991246,-198.0000000000075,-289.9999999999903,-209.00000000001472,102.00000000000209,-63.99999999999739,-315.99999999998295,-253.0000000000001,-181.00000000000892,-330.9999999999924,97.00000000001374,,-3008.9999999999777
2021.01.25,-164.99999999999292,24.000000000001798,-61.99999999998429,7.999999999995566,-100.00000000000009,-259.0000000000092,-357.99999999999164,-113.99999999999189,174.99999999999716,-175.99999999999838,-224.9999999999974,-351.0000000000013,13.999999999991797,-187.99999999998818,-287.9999999999994,-150.00000000000568,45.99999999999049,-157.99999999999147,-424.99999999998647,-287.00000000000614,-204.00000000000418,-357.99999999999164,104.00000000001519,,-3496.999999999948
2021.01.25,-151.9999999999966,97.9999999999981,-25.999999999992696,-28.000000000005798,-181.00000000000892,-323.0000000000066,-397.0000000000029,-114.99999999999844,173.00000000000182,-190.00000000000128,-253.0000000000032,-369.0000000000082,-30.000000000007798,-233.0000000000041,-272.99999999998994,-29.00000000001235,4.999999999988347,-245.0000000000063,-500.9999999999959,-320.0000000000074,-237.00000000000944,-392.9999999999989,114.99999999999844,,-3904.00000000007
2021.01.25,-127.99999999999478,181.9999999999933,-0.9999999999843467,-12.000000000000455,-189.00000000000583,-338.00000000000495,-400.00000000000034,-121.99999999999989,195.99999999999795,-190.00000000000128,-258.9999999999981,-375.0000000000031,-27.00000000001035,-263.00000000000523,-302.9999999999866,-14.000000000002899,1.999999999990898,-245.0000000000063,-476.9999999999941,-338.0000000000081,-241.00000000000233,-395.0000000000009,119.00000000000244,,-3818.0000000000255
2021.01.25,-114.99999999999844,197.99999999998707,31.000000000003247,-26.00000000001046,-190.00000000000128,-338.00000000000495,-422.9999999999956,-121.99999999999989,206.00000000000307,-182.00000000000438,-258.9999999999981,-379.0000000000071,-31.000000000003247,-280.00000000000114,-334.9999999999964,-46.0000000000127,41.000000000002146,-231.0000000000034,-488.9999999999839,-331.00000000000307,-249.00000000001032,-395.99999999999636,124.99999999999733,,-3821.0000000000387
2021.01.25,-100.99999999999554,200.00000000000017,45.000000000006146,-58.000000000006935,-256.0000000000007,-355.0000000000053,-384.9999999999909,-112.99999999998533,185.00000000000227,-185.99999999999727,-295.99999999999625,-375.0000000000031,-10.000000000010001,-235.00000000001364,-272.99999999998994,11.999999999989797,22.999999999995246,-322.00000000000006,-498.9999999999828,-332.00000000000784,-289.0000000000059,-396.9999999999918,79.00000000000685,,-3937.9999999999823
