date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.05.11,-2.999999999997449,-43.999999999999595,-52.99999999999194,-82.99999999999841,-4.000000000004,-273.9999999999965,-36.999999999998145,-70.99999999999883,-2.999999999997449,-287.0000000000039,-157.99999999998704,-96.00000000000364,-73.99999999999629,-34.000000000000696,-104.00000000001342,-123.00000000000466,-39.99999999999204,-117.99999999999588,-379.0000000000071,-438.00000000000506,,-2422.999999999992
2015.05.11,9.00000000000345,-56.99999999999594,-18.999999999991246,-90.99999999999397,-11.00000000000545,-297.9999999999983,-32.999999999994145,-49.00000000001015,-49.99999999999449,-309.99999999999915,-189.99999999999773,-112.99999999999955,-51.99999999998539,414.9999999999876,-106.00000000000875,-225.00000000000853,145.00000000001023,-207.00000000000162,-403.0000000000089,-470.9999999999992,,-2115.9999999999914
2015.05.11,-31.000000000003247,-45.99999999999049,-32.999999999994145,-123.99999999999523,-4.000000000004,-218.99999999999142,-29.999999999996696,-66.00000000001049,-63.00000000000195,-232.99999999999432,-223.0000000000132,-135.00000000001933,-65.99999999998829,312.00000000000114,-143.00000000000068,-256.0000000000002,76.99999999999818,-229.00000000000142,-302.0000000000023,-465.0000000000043,,-2279.0000000000123
2015.05.11,-21.999999999999797,45.99999999999049,14.000000000002899,-141.9999999999959,18.999999999991246,-391.9999999999924,21.999999999988695,-51.000000000001044,-17.999999999995797,-400.00000000000034,-161.00000000000136,-127.00000000000955,-65.99999999998829,567.0000000000064,-152.00000000000102,-187.00000000001182,192.99999999999784,-173.00000000000094,-528.0000000000063,-653.999999999999,,-2212.000000000026
2015.05.11,-38.0000000000047,86.99999999999264,26.0000000000149,-174.99999999999716,70.99999999999883,-394.9999999999898,31.000000000003247,-39.999999999995595,-19.00000000000235,-370.00000000000364,-143.00000000000068,-111.00000000001842,-68.00000000000139,661.9999999999848,-125.0,-174.0000000000066,293.99999999999693,-171.99999999999437,-463.0000000000023,-612.0000000000125,,-1734.0000000000382
2015.05.11,-40.00000000000669,113.99999999999189,32.0000000000098,-161.99999999999193,51.99999999998539,-378.999999999996,41.99999999998649,-46.999999999997044,-71.99999999999429,-349.99999999999477,-76.99999999999818,-104.00000000001342,-63.99999999999739,611.9999999999903,-133.00000000000978,-249.00000000000944,246.00000000000932,-227.99999999999488,-452.00000000000796,-689.0000000000063,,-1948.000000000045
2015.05.11,-14.999999999998348,-18.999999999991246,-17.999999999984695,-116.99999999999022,-38.0000000000047,-370.9999999999991,5.999999999994898,-36.0000000000138,-68.99999999999685,-382.00000000000455,-98.00000000001319,-76.99999999999818,-38.0000000000047,626.9999999999998,-134.00000000000034,-228.00000000000864,289.0000000000015,-221.99999999999997,-474.00000000000773,-711.0000000000172,,-2125.0000000000373
2015.05.11,-112.000000000001,59.000000000009045,-8.999999999992347,-91.99999999999875,-8.000000000008,-512.9999999999968,41.000000000002146,-39.00000000001125,-78.00000000000028,-446.9999999999974,-43.00000000000637,-70.0000000000216,-25.999999999992696,614.0000000000034,-118.00000000000921,-250.0,353.00000000000864,-247.99999999999267,-577.0000000000052,-805.0000000000113,,-2368.0000000000214
2015.05.11,-243.99999999999977,204.00000000000418,310.0000000000103,-163.99999999998727,106.99999999999044,-512.9999999999968,-174.00000000000747,68.99999999998573,-88.99999999999464,-387.000000000004,48.00000000000182,300.9999999999877,224.000000000002,387.000000000004,-81.00000000000307,-58.000000000006935,406.0000000000059,-118.99999999999133,-583.0000000000002,-701.0000000000183,,-1057.0000000000177
2015.05.11,-262.00000000000665,164.99999999999292,335.00000000001864,-177.99999999999727,103.99999999999298,-524.9999999999977,-198.00000000000927,73.99999999999629,-54.999999999993946,-376.99999999999403,7.000000000005002,280.9999999999775,255.00000000000523,478.999999999985,-79.00000000000773,-56.000000000011596,423.0000000000018,-95.00000000000064,-590.0000000000016,-626.9999999999998,,-919.0000000000448
