date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.05.24,-126.99999999999933,-187.00000000000384,-35.00000000000725,-94.00000000001629,-51.000000000001044,-147.00000000000824,-250.99999999999056,-235.00000000000742,-283.99999999999534,-259.00000000001455,-60.000000000002274,-97.00000000001374,0.0,-103.9999999999992,-75.00000000000284,-186.00000000000705,,-2192.000000000068
2021.05.24,-22.999999999995246,-170.00000000000347,-21.00000000000435,-85.00000000000173,-46.999999999997044,-105.00000000001064,-265.00000000000057,-226.00000000000398,-224.000000000002,-235.00000000001364,-40.99999999999682,-128.000000000017,422.9999999999956,-93.99999999999409,-69.00000000000261,-112.99999999999955,,-1423.0000000000468
2021.05.24,-36.0000000000027,-130.0000000000079,-38.0000000000047,-78.00000000000028,-31.999999999998696,-60.00000000000449,-349.9999999999943,-207.00000000000162,-204.99999999999963,-195.99999999999795,-85.00000000000796,-87.99999999999919,624.9999999999867,-118.99999999999977,-114.00000000000432,-132.000000000005,,-1245.0000000000418
2021.05.24,5.999999999994898,-39.00000000001125,-42.0000000000087,59.99999999999339,-67.00000000000594,-177.00000000000495,-367.999999999995,-170.00000000000347,-299.00000000000483,-205.0000000000125,-118.99999999999977,92.00000000000318,531.9999999999991,-102.99999999999443,-136.0000000000099,-254.0000000000049,,-1289.000000000065
2021.05.24,-22.999999999995246,-56.000000000011596,-66.99999999999484,5.999999999994898,-73.00000000000084,-153.00000000000313,-375.99999999999056,-181.00000000000892,-255.00000000000523,-158.99999999999181,-115.99999999998545,63.99999999999739,646.9999999999976,-112.99999999999955,-125.0,-203.00000000000296,,-1183.0
2021.05.24,-46.999999999997044,-38.0000000000047,-66.99999999999484,0.0,-68.99999999999685,-134.0000000000008,-397.99999999999613,-174.00000000000747,-233.00000000000543,-139.00000000001,-120.00000000000455,76.99999999999375,670.9999999999993,-117.999999999995,-125.0,-192.00000000000728,,-1106.000000000027
2021.05.24,-45.000000000006146,-110.00000000001009,-97.00000000001374,-62.000000000006494,-121.99999999999989,-158.0000000000026,-402.9999999999916,-204.99999999999963,-260.00000000000466,-217.00000000001296,-158.99999999999181,42.999999999993044,645.0000000000067,-165.99999999999682,-183.00000000000693,-237.99999999999955,,-1737.0000000000427
2021.05.24,-19.999999999997797,-73.99999999999629,-66.00000000001049,-15.00000000000945,-85.99999999999719,-102.00000000000209,-414.0000000000015,-191.00000000000784,-216.0000000000051,-223.0000000000132,-165.99999999999682,73.99999999999629,770.000000000004,-141.00000000000534,-151.00000000001046,-169.00000000001114,,-1190.0000000000643
2021.05.24,-12.000000000000899,-63.99999999999739,-58.000000000002494,3.999999999981796,-53.00000000000304,-82.00000000000429,-414.99999999999204,-182.00000000000438,-207.99999999999707,-222.0000000000084,-171.99999999999704,89.99999999999008,804.9999999999891,-144.00000000000546,-132.000000000005,-164.00000000000148,,-1009.0000000000581
2021.05.24,-19.999999999997797,-32.0000000000098,-70.99999999999883,-6.000000000017103,-9.999999999998899,-86.0000000000083,-375.99999999999056,-189.00000000000583,-202.9999999999976,-140.99999999999113,-127.9999999999859,79.99999999999119,801.9999999999916,-121.99999999999989,-55.00000000000682,-140.00000000000057,,-697.0000000000264
2021.05.24,-24.000000000001798,-31.000000000003247,-79.00000000000685,-7.0000000000014495,-24.000000000001798,-87.00000000000374,-371.9999999999999,-182.99999999999983,-197.99999999999818,-128.00000000001432,-129.99999999999545,92.00000000000318,817.9999999999854,-118.99999999999977,-69.00000000000261,-138.00000000000523,,-679.0000000000456
2021.05.24,4.999999999999449,-39.999999999995595,-48.000000000003595,24.999999999986144,-9.999999999998899,-60.00000000000449,-339.9999999999892,-187.9999999999993,-204.00000000000418,-150.00000000000568,-109.00000000000887,102.99999999998644,812.999999999997,-102.00000000000387,-62.00000000001182,-115.0000000000091,,-482.00000000006537
2021.05.24,7.0000000000014495,-55.000000000005045,-29.00000000001235,24.000000000001798,-19.999999999997797,-58.000000000002494,-277.000000000001,-195.00000000000074,-204.99999999999963,-87.99999999999386,-26.999999999986812,49.99999999999449,797.0000000000033,-51.9999999999925,-34.000000000006025,-78.00000000000296,,-240.0000000000001
2021.05.24,4.000000000004,-62.000000000006494,-48.000000000003595,7.999999999985796,-34.000000000000696,-52.000000000007596,-268.99999999999125,-206.00000000000617,-194.0000000000053,-81.99999999999363,-24.00000000000091,53.999999999998494,841.9999999999872,-64.99999999999773,-36.000000000001364,-58.000000000006935,,-222.00000000004604
2021.05.24,-12.000000000000899,-93.00000000000975,-59.000000000009045,7.0000000000014495,-46.999999999997044,-80.00000000000229,-268.0000000000007,-189.00000000000583,-202.0000000000022,-91.00000000000819,-25.000000000005684,85.99999999998609,809.9999999999997,-51.00000000000193,-33.00000000000125,-72.00000000000273,,-319.00000000006014
2021.05.24,5.999999999994898,-83.9999999999952,-39.00000000001125,24.000000000001798,-51.99999999999649,-74.00000000000739,-232.99999999998988,-206.00000000000617,-219.00000000000253,-69.99999999999318,12.000000000000455,80.99999999999774,787.9999999999887,-19.000000000005457,-34.000000000006025,-61.00000000000705,,-180.00000000003695
2021.05.24,-12.000000000000899,-158.99999999999804,-102.00000000000209,-31.000000000003247,-156.00000000000057,-142.00000000000878,-247.99999999999045,-211.00000000000563,-261.0000000000001,-134.9999999999909,-43.00000000000637,78.00000000000028,712.9999999999859,-60.000000000002274,-141.00000000000534,-130.00000000000966,,-1040.0000000000384
2021.05.24,-21.00000000000435,-175.99999999999838,-126.0000000000039,-36.0000000000138,-151.9999999999966,-138.00000000000477,-247.99999999999045,-213.00000000000762,-253.0000000000032,-127.00000000000955,-38.99999999998727,95.999999999985,741.9999999999982,-60.000000000002274,-139.00000000001,-125.0,,-1015.0000000000491
2021.05.24,-51.99999999999649,-209.9999999999991,-148.99999999999915,-21.00000000000435,-172.00000000000549,-162.0000000000066,-217.9999999999893,-186.00000000000838,-253.99999999999866,-90.00000000000341,-16.999999999995907,139.00000000000023,734.9999999999968,-1.9999999999953388,-93.00000000000352,-84.00000000000318,,-836.0000000000118
2021.05.24,-51.99999999999649,-168.99999999999693,-178.00000000001148,-51.000000000001044,-190.00000000000128,-153.00000000000313,-223.99999999998954,-204.00000000000418,-251.00000000000122,-33.00000000001546,-22.999999999996135,119.00000000000244,733.9999999999902,-1.0000000000047748,-109.00000000000887,-87.0000000000033,,-872.0000000000408
2021.05.24,-75.00000000000284,-229.99999999999687,-200.00000000000017,-86.0000000000083,-173.00000000000094,-221.00000000000452,-225.9999999999991,-241.00000000000233,-321.0000000000046,-76.99999999999818,-31.999999999982265,139.9999999999846,665.9999999999889,-7.000000000005002,-67.00000000000728,-133.00000000000978,,-1283.0000000000487
