date,USDCHF,GBPUSD,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,AUDNZD,empty,sum
2021.06.28,0.0,-253.99999999999866,-48.99999999998794,-182.99999999999983,0.0,-195.99999999999795,-3.0000000000085514,0.0,-110.99999999999,-625.0000000000089,-114.99999999999844,,-1535.9999999999902
2021.06.28,-7.0000000000014495,-216.00000000001617,49.00000000001015,-357.00000000000733,26.999999999999247,-267.0000000000101,171.99999999999437,126.0000000000039,-86.00000000001273,-577.0000000000052,96.00000000000719,,-1040.0000000000382
2021.06.28,-24.000000000001798,-192.99999999999872,49.00000000001015,-234.00000000000088,0.0,-326.0000000000076,222.99999999999542,173.00000000000094,-86.00000000001273,-636.0000000000143,175.99999999999838,,-878.0000000000312
2021.06.28,-2.999999999997449,-204.00000000000418,92.00000000000318,-218.00000000000708,35.00000000000725,-332.9999999999984,202.0000000000022,223.00000000000654,-99.99999999999432,-705.0000000000001,224.000000000002,,-786.9999999999804
2021.06.28,-12.000000000000899,-268.0000000000016,63.99999999999739,-140.99999999999113,39.999999999995595,-334.0000000000032,247.99999999999267,200.00000000000017,-164.99999999999204,-703.0000000000092,263.00000000001324,,-807.9999999999991
2021.06.28,-17.000000000000348,-268.0000000000016,32.0000000000098,-154.0000000000097,48.000000000003595,-385.0000000000051,258.9999999999981,209.00000000000364,-217.00000000001296,-675.0000000000034,258.0000000000027,,-910.0000000000152
2021.06.28,-15.999999999993797,-266.0000000000107,46.999999999997044,-154.0000000000097,39.00000000001125,-365.0000000000091,278.00000000000045,204.00000000000418,-194.99999999999318,-665.0000000000044,205.00000000001074,,-887.9999999999973
2021.06.28,28.000000000005798,-273.0000000000121,19.00000000001345,-112.000000000001,63.99999999999739,-234.99999999999943,309.99999999999915,162.0000000000066,-63.99999999999295,-653.0000000000147,163.00000000000205,,-590.9999999999957
2021.06.28,38.0000000000047,-240.00000000001796,49.99999999999449,-93.00000000000975,76.99999999999375,-164.00000000000148,307.99999999999716,165.9999999999995,-9.000000000014552,-731.9999999999993,161.99999999999548,,-437.000000000058
2021.06.28,124.00000000000189,-170.00000000000347,170.00000000000347,-62.99999999999084,73.00000000001194,-84.00000000000318,317.0000000000006,167.00000000000603,93.99999999999409,-765.0000000000157,170.00000000000347,,33.000000000008356
2021.06.28,168.00000000000148,-131.99999999999878,204.00000000000418,-1.999999999990898,110.99999999999443,15.000000000000568,305.99999999999517,165.00000000000404,126.00000000000477,-773.0000000000015,144.0000000000108,,332.00000000002433
2021.06.28,156.99999999999602,-165.9999999999995,170.00000000000347,-2.999999999997449,102.00000000000209,-26.00000000001046,352.9999999999922,153.99999999999858,61.00000000000705,-743.0000000000048,177.00000000000495,,235.9999999999922
2021.06.28,167.00000000000603,-163.00000000000205,198.00000000000927,4.999999999988347,97.9999999999981,-8.000000000009777,357.99999999999164,148.0000000000037,73.99999999998386,-798.0000000000098,175.99999999999838,,254.99999999995768
2021.06.28,143.9999999999997,-191.00000000000784,195.9999999999962,4.000000000004,89.00000000000574,-2.0000000000095497,356.9999999999962,138.00000000000477,73.0000000000075,-807.0000000000022,165.9999999999995,,166.99999999999403
2021.06.28,141.00000000000225,-221.00000000000452,190.00000000000128,36.999999999998145,92.00000000000318,22.999999999996135,358.9999999999982,126.0000000000039,93.99999999999409,-825.0000000000091,185.00000000001293,,200.99999999999645
2021.06.28,145.00000000000622,-231.0000000000034,198.00000000000927,36.999999999998145,80.99999999999774,24.999999999991473,369.99999999999255,103.00000000000864,75.9999999999934,-868.000000000002,234.00000000000088,,169.99999999999292
2021.06.28,145.00000000000622,-290.00000000001245,154.0000000000097,95.00000000000064,97.9999999999981,37.9999999999967,407.0000000000018,82.99999999999974,20.000000000010232,-864.0000000000203,219.00000000001364,,105.00000000000398
2021.06.28,129.00000000000134,-309.0000000000037,139.00000000000023,97.9999999999981,99.00000000000463,6.999999999990791,414.9999999999987,85.00000000000173,-3.0000000000143245,-866.0000000000113,229.00000000001253,,22.99999999997877
2021.06.28,121.99999999999989,-360.0000000000048,117.99999999999588,93.99999999999409,110.99999999999443,-40.00000000000625,379.9999999999915,79.00000000000685,-126.00000000000477,-912.0000000000017,208.00000000000819,,-326.0000000000267
2021.06.28,104.99999999999955,-561.0000000000115,78.00000000000028,150.99999999999002,103.99999999999298,-72.00000000000273,371.99999999999454,-39.00000000000014,-355.99999999999454,-1114.9999999999993,192.99999999999872,,-1140.0000000000323
