names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,20,"['GBPJPY', 'NZDCAD', 'USDCAD', 'NZDJPY', 'NZDUSD', 'EURUSD', 'AUDCAD', 'GBPUSD', 'USDCHF', 'EURNZD']",100.0,0.9,B
USDJPY,10,['EURNZD'],80.0,1.0,B
AUDUSD,15,"['CHFJPY', 'GBPCHF', 'NZDCHF']",80.0,0.4953809523809525,B
NZDUSD,15,['EURGBP'],80.0,0.6981176046176045,B
GBPCHF,10,['EURGBP'],80.0,1.0,B
EURCHF,10,"['AUDNZD', 'CADCHF']",100.0,-0.9669047619047619,S
CHFJPY,10,"['GBPJPY', 'EURJPY']",100.0,-1.0,S
CADCHF,10,['USDJPY'],100.0,1.0,B
AUDCHF,10,"['EURGBP', 'EURCHF']",80.0,1.0,B
NZDCHF,15,"['AUDNZD', 'NZDCAD', 'CADCHF', 'EURNZD']",100.0,-1.0,S
EURGBP,50,"['GBPCHF', 'NZDCHF', 'NZDCAD', 'AUDCAD', 'CADJPY', 'EURCHF', 'EURJPY']",100.0,-0.7354285714285714,S
GBPCAD,10,"['EURUSD', 'GBPUSD', 'AUDNZD', 'USDJPY']",80.0,-0.44083333333333335,S
EURAUD,15,"['NZDCAD', 'GBPCHF', 'AUDCAD', 'NZDCHF', 'CHFJPY']",80.0,-0.975,S
EURNZD,10,['CHFJPY'],80.0,-0.5602380952380952,S
AUDJPY,30,"['NZDCAD', 'GBPCHF', 'AUDCAD', 'NZDCHF', 'CHFJPY']",80.0,0.047666666666666656,B
AUDCAD,10,"['CHFJPY', 'EURJPY']",80.0,1.0,B
NZDCAD,10,"['AUDNZD', 'EURNZD']",80.0,-0.9786666666666668,S
