date,USDCHF,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,AUDNZD,empty,sum
2015.06.15,56.99999999999594,12.999999999996348,120.99999999999334,-65.00000000000395,3.999999999981796,-200.00000000001705,-12.000000000000899,-92.99999999999864,24.999999999997247,46.00000000000159,219.0000000000225,-51.00000000002325,-186.9999999999834,-12.999999999996348,83.9999999999952,-84.00000000000318,24.000000000001798,163.00000000000205,,50.99999999996106
2015.06.15,26.000000000003798,1.999999999990898,34.99999999999615,-34.000000000000696,78.99999999998464,-123.99999999999523,31.999999999998696,-47.9999999999925,-51.99999999999649,-22.999999999995246,188.0000000000166,207.99999999998596,4.000000000019099,-49.00000000001015,72.99999999998974,-31.999999999996476,-68.99999999999685,97.9999999999981,,314.00000000000006
2015.06.15,7.9999999999968985,-31.000000000003247,-51.000000000001044,-7.0000000000014495,107.99999999999699,-247.0000000000141,48.99999999999905,34.000000000000696,-26.000000000003798,8.000000000008,326.0000000000218,477.0000000000163,-165.99999999999682,-313.99999999999204,251.00000000000122,-122.99999999999045,-166.99999999999494,36.999999999998145,,166.0000000000413
2015.06.15,44.99999999999504,9.999999999998899,-75.9999999999983,-14.000000000002899,86.99999999999264,-293.00000000000637,46.999999999997044,75.9999999999983,-7.9999999999968985,31.999999999998696,385.0000000000193,612.0000000000125,-256.0000000000002,-459.99999999999375,351.99999999999676,-149.0000000000009,-230.99999999999233,5.999999999994898,,165.00000000001234
2015.06.15,-0.999999999995449,-41.000000000002146,-79.00000000000685,3.999999999992898,121.99999999999989,-235.00000000001364,63.00000000000195,41.000000000002146,-29.999999999996696,11.00000000000545,347.0000000000084,565.9999999999776,-187.99999999998818,-368.9999999999971,295.0000000000008,-123.99999999999523,-190.00000000000128,24.000000000001798,,215.99999999999443
2015.06.15,17.999999999995797,2.999999999997449,-94.00000000000519,-31.000000000003247,146.99999999998602,-241.00000000001387,73.00000000000084,70.99999999999883,-51.99999999999649,17.000000000000348,375.0,680.9999999999761,-219.99999999999886,-468.00000000000176,278.9999999999848,-146.0000000000008,-246.99999999999721,-48.000000000003595,,116.99999999991915
2015.06.15,-305.99999999999517,-75.00000000000284,-184.00000000000637,51.99999999999649,509.99999999998823,61.9999999999834,286.99999999999284,-93.99999999999409,-195.9999999999962,38.0000000000047,433.9999999999975,720.0000000000095,-293.9999999999827,-546.000000000002,368.9999999999971,-200.9999999999934,-290.9999999999968,-46.0000000000127,,238.99999999998752
2015.06.15,-165.9999999999995,-76.99999999999375,-219.99999999999798,73.00000000000084,306.9999999999906,-176.9999999999925,175.99999999999838,51.000000000001044,-83.9999999999952,70.99999999999883,502.00000000000955,857.999999999981,-402.9999999999916,-687.9999999999998,529.999999999986,-231.99999999999932,-339.99999999999585,-59.000000000009045,,121.99999999999181
2015.06.15,-243.99999999999977,-148.99999999999915,-209.9999999999991,148.99999999999915,306.9999999999906,-126.00000000000477,191.99999999999218,-20.999999999993246,-63.00000000000195,77.00000000000485,427.99999999999727,640.9999999999804,-359.9999999999852,-558.9999999999984,565.9999999999999,-210.99999999999852,-268.0000000000016,75.99999999998718,,224.9999999999699
2015.06.15,-378.999999999996,-161.00000000001114,-169.00000000000804,122.99999999999534,585.9999999999976,120.00000000000455,295.99999999999625,-163.00000000000205,-187.9999999999993,-7.9999999999968985,444.0000000000168,621.9999999999892,-203.00000000000296,-388.9999999999949,398.9999999999938,-167.99999999999216,-212.00000000000108,93.99999999999409,,643.9999999999832
