date,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2021.08.02,-100.99999999999554,-212.00000000000108,-547.999999999993,-113.99999999999189,-144.99999999999514,-2864.9999999999955,-224.9999999999974,-296.9999999999917,-171.99999999999437,-185.00000000000227,-121.99999999999989,-134.99999999999625,-158.00000000000125,-147.00000000000557,-260.9999999999957,-187.9999999999993,-200.00000000000017,,-6074.999999999955
2021.08.02,-136.99999999999824,-278.9999999999959,-124.00000000001299,-81.9999999999821,-202.9999999999976,-305.99999999999517,-219.99999999999798,-76.99999999999375,-188.9999999999947,-137.00000000000045,-159.00000000002024,-470.9999999999992,-174.99999999999716,-152.00000000000102,-265.99999999999113,-179.99999999999127,-218.00000000000708,,-3374.999999999976
2021.08.02,-126.99999999999933,-211.00000000000563,-143.00000000000423,-99.99999999998899,-222.99999999999542,-275.99999999999847,-248.99999999999923,-32.999999999994145,-53.00000000001415,-182.99999999999272,-65.00000000000395,-8.000000000008,-245.9999999999951,-218.00000000000352,-268.0000000000007,-196.99999999999162,-290.00000000001245,,-2890.0000000000077
2021.08.02,-153.99999999999858,-206.00000000000617,-160.00000000000458,-106.99999999999044,-239.0000000000003,-283.99999999999534,-244.99999999999523,-45.000000000006146,-65.00000000000395,-182.99999999999272,-94.00000000001629,150.00000000000568,-290.00000000000625,-243.0000000000092,-281.9999999999965,-181.9999999999933,-251.00000000000122,,-2880.0000000000105
2021.08.02,-134.0000000000008,-202.0000000000022,-171.99999999999437,-97.9999999999981,-225.99999999999287,-285.00000000000193,-230.99999999999233,-18.0000000000069,-29.999999999996696,-197.00000000000273,-81.00000000001995,112.000000000001,-302.0000000000067,-243.0000000000092,-302.99999999999727,-197.99999999999818,-255.00000000000523,,-2863.0000000000246
2021.08.02,-132.99999999999423,-200.00000000000017,-150.00000000000568,-97.9999999999981,-226.99999999999943,-288.9999999999948,-246.99999999999721,-62.000000000006494,-32.0000000000098,-174.0000000000066,-76.0000000000094,104.99999999999955,-278.99999999999636,-233.0000000000041,-292.0000000000016,-190.00000000000128,-208.99999999999253,,-2786.0000000000186
2021.08.02,-161.99999999999548,-207.99999999999707,-168.99999999999693,-116.99999999998934,-243.99999999999977,-295.99999999999625,-256.0000000000007,-58.000000000002494,-66.99999999999484,-151.9999999999868,-59.000000000009045,130.0000000000079,-266.9999999999959,-207.9999999999984,-277.9999999999916,-205.99999999999508,-293.99999999999426,,-2910.9999999999363
2021.08.02,-192.00000000000327,-229.99999999999687,-188.9999999999947,-121.99999999999989,-275.99999999999847,-307.99999999999716,-248.99999999999923,79.99999999999119,-141.99999999999767,-122.99999999999045,-134.00000000001188,136.00000000000279,-174.99999999999716,-227.00000000000387,-251.99999999999534,-256.0000000000007,-280.0000000000136,,-2939.0000000000073
2021.08.02,-183.99999999999528,-202.9999999999976,-192.00000000001438,-120.99999999999334,-264.999999999993,-282.99999999999994,-241.99999999999778,104.99999999999955,-97.00000000001374,-137.00000000000045,-103.00000000000864,214.00000000000307,-180.99999999999739,-200.00000000000284,-208.99999999998897,-246.00000000000176,-292.00000000000335,,-2636.0000000000055
2021.08.02,-124.00000000000189,-138.00000000000477,-198.00000000000927,-119.99999999998678,-239.0000000000003,-249.99999999999466,-251.99999999999667,58.000000000002494,-9.000000000014552,-165.99999999999682,-49.00000000001015,293.99999999999426,-227.00000000000387,-204.00000000000773,-208.99999999998897,-165.9999999999995,-297.9999999999983,,-2297.0000000000173
2021.08.02,-68.99999999999685,-90.99999999999665,-146.00000000000168,-106.99999999999044,-187.9999999999993,-204.99999999999963,-273.9999999999965,89.00000000000574,80.99999999999774,-126.99999999998113,58.99999999998684,394.9999999999898,-150.99999999999625,-138.00000000000523,-146.99999999999136,-149.99999999999457,-347.9999999999928,,-1516.9999999999623
2021.08.02,-122.99999999999534,-141.99999999999767,-93.00000000000975,-91.99999999998099,-184.99999999999073,-200.99999999999562,-278.9999999999959,59.000000000009045,0.9999999999843467,-186.00000000000705,42.999999999993044,384.00000000000654,-180.00000000000682,-180.00000000000682,-188.0000000000024,-176.99999999999383,-324.0000000000132,,-1863.0000000000034
2021.08.02,-132.99999999999423,-156.00000000000057,-83.9999999999952,-99.99999999998899,-191.99999999999218,-214.99999999999852,-291.99999999999227,63.99999999999739,-45.000000000006146,-195.99999999999795,21.999999999988695,347.0000000000084,-182.00000000000216,-193.00000000001205,-201.99999999999818,-195.9999999999962,-299.00000000000483,,-2051.999999999985
2021.08.02,-136.99999999999824,-138.00000000000477,-114.99999999999844,-106.99999999999044,-195.9999999999962,-197.99999999999818,-288.9999999999948,62.99999999999084,-28.000000000005798,-180.00000000000682,34.000000000000696,402.9999999999978,-189.99999999999773,-180.00000000000682,-173.00000000000182,-148.99999999999915,-314.00000000001427,,-1894.000000000024
2021.08.02,-146.99999999999713,-131.99999999999878,-131.99999999999878,-109.99999999998789,-203.99999999999307,-192.00000000000327,-268.99999999999704,82.00000000000429,-7.0000000000014495,-205.99999999998886,27.999999999983594,425.99999999999307,-209.99999999999375,-206.00000000000307,-173.99999999999238,-131.99999999999878,-336.00000000000296,,-1920.999999999976
2021.08.02,-131.00000000000333,-112.000000000001,-151.00000000001222,-122.99999999998423,-200.99999999999562,-190.99999999999673,-257.9999999999916,76.99999999999375,39.999999999995595,-218.9999999999941,48.99999999998794,463.9999999999977,-233.99999999999466,-195.0000000000074,-173.00000000000182,-110.99999999999443,-334.9999999999964,,-1803.9999999999982
2021.08.02,-131.99999999999878,-128.00000000000588,-184.00000000000637,-136.99999999998712,-219.99999999999798,-217.0000000000005,-261.0000000000001,102.00000000000209,43.999999999999595,-189.99999999999773,27.999999999983594,415.99999999999415,-192.00000000000728,-180.00000000000682,-162.9999999999967,-130.99999999999224,-313.00000000000773,,-1858.000000000026
2021.08.02,-197.99999999999818,-168.99999999999693,-215.99999999999397,-137.9999999999937,-252.99999999999213,-229.00000000000142,-242.99999999999324,110.99999999999443,-8.000000000008,-186.00000000000705,-62.000000000006494,367.0000000000062,-213.99999999999864,-237.00000000000898,-194.99999999999318,-152.99999999999204,-351.99999999999676,,-2374.99999999998
2021.08.02,-192.00000000000327,-173.00000000000094,-224.000000000002,-125.99999999998168,-236.99999999999832,-219.99999999999798,-229.00000000000142,137.00000000000932,-9.999999999998899,-201.99999999999818,-60.000000000015596,357.00000000000733,-227.00000000000387,-222.0000000000084,-189.99999999999773,-146.99999999999713,-357.00000000000733,,-2321.999999999996
2021.08.02,-229.99999999999687,-200.99999999999562,-303.9999999999932,-184.99999999999073,-307.99999999999716,-278.00000000000045,-254.99999999999412,79.00000000000685,-58.000000000002494,-296.99999999999704,-181.00000000000892,256.99999999999613,-228.9999999999992,-274.0000000000009,-225.9999999999991,-165.9999999999995,-354.0000000000099,,-3209.9999999999827
2021.08.02,-256.99999999999613,-234.00000000000088,-397.0000000000029,-217.99999999998488,-317.0000000000006,-292.9999999999988,-249.99999999999466,178.99999999999582,-14.000000000002899,-387.00000000000045,-83.00000000001084,329.00000000000153,-302.0000000000067,-365.99999999999966,-322.9999999999933,-212.99999999999653,-351.99999999999676,,-3497.999999999988
2021.08.02,-275.000000000003,-290.00000000000136,-354.0000000000099,-204.99999999998852,-314.99999999999864,-317.9999999999961,-239.0000000000003,160.00000000000458,1.999999999990898,-381.0000000000002,-102.00000000000209,246.99999999999721,-337.99999999999386,-362.99999999999955,-346.9999999999942,-243.99999999999977,-336.00000000000296,,-3697.999999999998
2021.08.02,-290.00000000000136,-321.0000000000046,-380.00000000000256,-236.99999999999832,-331.999999999999,-365.99999999999966,-241.99999999999778,191.00000000000784,-35.00000000000725,-342.9999999999893,-121.99999999999989,150.99999999999002,-293.99999999999693,-340.0000000000034,-372.99999999999045,-281.99999999999335,-297.0000000000139,,-3911.9999999999995
2021.08.02,-292.9999999999988,-322.9999999999955,-388.0000000000106,-236.99999999999832,-323.99999999999096,-363.0000000000022,-282.99999999999994,157.99999999999147,-117.99999999999588,-342.9999999999893,-98.0000000000203,175.99999999999838,-271.0000000000008,-341.0000000000082,-375.99999999999056,-305.99999999999517,-339.0000000000004,,-4069.0000000000073
2021.08.02,-290.9999999999968,-273.000000000001,-303.9999999999932,-220.99999999998232,-314.99999999999864,-307.99999999999716,-246.99999999999721,214.00000000000307,-70.99999999999883,-316.0000000000025,-123.00000000000644,248.99999999998812,-260.9999999999957,-341.0000000000082,-308.9999999999975,-242.99999999999324,-324.0000000000132,,-3483.99999999999
2021.08.02,-304.9999999999997,-297.9999999999983,-290.00000000001245,-224.000000000002,-317.0000000000006,-312.00000000000114,-312.00000000000114,72.0000000000054,-197.00000000000273,-304.00000000000205,-129.00000000000134,228.99999999999034,-272.99999999999613,-329.00000000000773,-320.99999999999795,-252.99999999999213,-327.00000000001063,,-3890.00000000003
2021.08.02,-324.9999999999975,-289.0000000000059,-222.99999999999542,-236.99999999999832,-319.99999999999807,-287.0000000000039,-349.99999999999477,-19.999999999997797,-302.0000000000023,-299.0000000000066,-83.00000000001084,363.0000000000022,-239.00000000000432,-302.0000000000067,-259.00000000000034,-217.99999999999596,-409.99999999999926,,-3800.000000000016
2021.08.02,-327.99999999999494,-219.99999999999798,-129.00000000000134,-190.99999999998562,-319.99999999999807,-232.99999999999432,-409.99999999999926,-22.999999999995246,-428.00000000000614,-237.99999999999955,-147.00000000000824,448.000000000004,-171.00000000000648,-294.00000000001114,-167.0000000000016,-173.9999999999964,-461.0000000000003,,-3485.999999999993
2021.08.02,-312.00000000000114,-202.9999999999976,-123.00000000000644,-237.99999999998266,-335.99999999999187,-244.99999999999523,-397.99999999999835,-63.99999999999739,-422.9999999999956,-245.9999999999809,-118.00000000001809,476.9999999999941,-171.99999999999704,-285.0000000000108,-164.00000000000148,-175.99999999999838,-465.0000000000043,,-3490.9999999999827
2021.08.02,-329.999999999997,-222.99999999999542,-161.99999999999548,-259.9999999999936,-351.0000000000013,-261.0000000000001,-403.99999999999324,-62.000000000006494,-490.999999999997,-206.99999999999363,-155.00000000001623,459.0000000000094,-176.00000000000193,-278.0000000000058,-165.99999999999682,-173.00000000000094,-461.0000000000003,,-3700.9999999999854
2021.08.02,-376.99999999999403,-236.00000000000287,-92.00000000000318,-258.0000000000027,-429.0000000000016,-297.9999999999983,-434.9999999999965,-181.9999999999933,-709.0000000000041,-174.99999999998295,-309.0000000000037,344.99999999999534,-170.0000000000017,-338.99999999999864,-171.99999999999704,-182.99999999999983,-510.00000000001046,,-4528.9999999999945
