date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,NZDCHF,EURGBP,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.03.06,-133.00000000000534,-93.99999999999409,-38.99999999998904,-202.99999999998875,0.0,0.0,-78.99999999998464,-134.99999999999625,0.0,-19.00000000000235,-201.99999999999108,-116.99999999998934,-183.00000000000693,0.0,-234.99999999999943,0.0,-4.000000000004,,-1442.9999999999513
2017.03.06,-69.00000000000794,-121.99999999999989,14.000000000002899,-253.0000000000001,12.999999999996348,76.0000000000094,-25.999999999992696,-139.00000000000023,58.99999999999794,16.999999999989246,-248.00000000000378,-202.9999999999976,-198.0000000000075,152.00000000000102,-275.0000000000057,133.00000000000534,2.999999999997449,,-1066.0000000000157
2017.03.06,-58.000000000002494,-197.00000000000273,60.99999999999994,-228.9999999999992,-9.999999999998899,51.000000000001044,-72.99999999998974,-178.99999999999582,58.000000000002494,40.99999999999105,-378.999999999996,-246.99999999999721,-189.00000000000716,129.99999999999545,-284.9999999999966,158.0000000000026,-12.999999999996348,,-1359.99999999999
2017.03.06,-32.0000000000098,-214.00000000000307,119.00000000000244,-102.99999999999443,70.99999999999883,131.00000000000333,-56.99999999999594,-167.00000000000603,114.99999999999844,58.99999999999794,-371.99999999999454,-156.99999999998494,-76.00000000000762,51.00000000000193,-200.00000000000284,272.00000000000557,21.999999999988695,,-538.0000000000019
2017.03.06,-77.00000000001594,-207.00000000000162,32.999999999994145,-9.999999999990905,-64.0000000000085,48.000000000003595,-36.999999999998145,-157.99999999999147,90.0000000000012,45.99999999999049,-364.00000000000875,-293.99999999999426,21.000000000000796,-149.0000000000009,-150.99999999999625,268.99999999999704,-65.00000000000395,,-1069.0000000000236
2017.03.06,-90.99999999999665,-147.99999999999258,9.999999999998899,9.000000000000341,-136.99999999999824,12.000000000000899,-34.99999999998504,-136.00000000000279,35.999999999991594,46.999999999997044,-398.9999999999938,-400.00000000000034,78.00000000000296,-192.99999999999784,-67.00000000000728,187.00000000000384,-90.99999999999665,,-1317.999999999976
2017.03.06,-65.00000000000395,-165.9999999999995,34.000000000000696,70.99999999999795,-63.00000000000195,15.00000000000945,-32.999999999994145,-123.00000000000644,36.999999999998145,35.999999999991594,-377.9999999999894,-315.99999999998295,94.99999999999886,-165.00000000000625,24.999999999991473,185.99999999999727,-5.000000000010552,,-815.0000000000097
2017.03.06,-55.000000000005045,-121.99999999999989,19.999999999997797,14.000000000010004,-101.00000000000664,-56.0000000000005,-2.999999999997449,-99.00000000000463,-46.00000000000159,46.999999999997044,-324.9999999999975,-330.9999999999924,45.99999999999227,-149.0000000000009,-27.000000000001023,92.00000000000318,1.0000000000065512,,-1094.0000000000007
2017.03.06,-38.0000000000047,-119.00000000000244,34.000000000000696,34.000000000006025,-116.00000000000499,-86.99999999999264,17.000000000000348,-93.99999999999409,-94.00000000000519,50.99999999998994,-381.99999999999346,-398.9999999999938,73.99999999999807,-194.00000000000261,78.99999999999352,67.00000000000594,58.000000000002494,,-1108.999999999997
2017.03.06,-59.000000000009045,-85.00000000000173,22.0000000000109,19.000000000005457,-119.99999999999788,-110.99999999999443,10.000000000021103,-89.00000000000574,-95.00000000000064,49.99999999999449,-344.99999999999534,-370.00000000000364,76.99999999999818,-179.9999999999926,78.00000000000296,31.999999999998696,15.999999999993797,,-1149.9999999999754
