date,EURUSD,USDCAD,EURGBP,EURCAD,NZDJPY,empty,sum
2016.05.16,9.999999999998899,65.99999999998829,7.0000000000014495,55.99999999998939,-69.00000000000261,,69.99999999997542
2016.05.16,-76.0000000000094,63.99999999999739,-56.0000000000005,-36.0000000000138,-105.00000000000398,,-209.0000000000303
2016.05.16,-42.0000000000087,157.99999999999147,-32.999999999994145,104.99999999999955,46.999999999997044,,234.99999999998522
2016.05.16,51.000000000001044,154.99999999999403,55.000000000005045,228.00000000000597,33.00000000000125,,522.0000000000073
2016.05.16,86.99999999999264,110.99999999999443,55.000000000005045,226.99999999999943,-90.00000000000341,,389.9999999999881
2016.05.16,70.99999999999883,162.99999999997982,80.00000000000229,268.0000000000016,-73.99999999999807,,507.9999999999844
2016.05.16,-23.00000000001745,167.9999999999904,4.000000000004,153.9999999999875,-146.0000000000008,,156.99999999996362
2016.05.16,-67.00000000001705,189.99999999997908,-7.0000000000014495,116.99999999998934,-108.00000000000409,,124.99999999994583
2016.05.16,-11.00000000000545,210.99999999998343,-17.000000000000348,212.99999999999653,-78.00000000000296,,317.99999999997124
2016.05.16,4.999999999988347,129.99999999998568,-19.00000000000235,141.99999999999767,-39.99999999999204,,217.99999999997732
2016.05.16,10.999999999983245,-39.00000000001125,-60.99999999999994,-43.999999999999595,-146.0000000000008,,-279.0000000000283
2016.05.16,-35.00000000000725,-39.00000000001125,-82.99999999999974,-103.00000000000864,-301.00000000000193,,-561.0000000000289
2016.05.16,-31.000000000003247,-67.00000000001705,-90.0000000000012,-124.00000000001299,-292.0000000000016,,-604.000000000036
2016.05.16,-32.0000000000098,-104.00000000001519,-85.99999999999719,-168.0000000000126,-379.0000000000049,,-769.0000000000397
2016.05.16,-32.0000000000098,-85.00000000000173,-88.99999999999464,-150.00000000000568,-352.99999999999443,,-709.0000000000064
2016.05.16,-2.0000000000131024,-102.00000000000209,-46.00000000000159,-129.00000000000134,-230.00000000000398,,-509.00000000002206
2016.05.16,7.0000000000014495,-24.000000000001798,-22.999999999995246,-24.000000000001798,-179.00000000000205,,-242.99999999999943
