,names,week,needed_features,accuracy
0,USDCHF,10,"['EURUSD', 'EURAUD']",80.0
1,USDJPY,20,"['EURCAD', 'USDCAD']",80.0
2,USDCAD,10,['EURUSD'],100.0
3,AUDUSD,30,"['AUDJPY', 'EURJPY', 'GBPAUD', 'AUDCAD', 'NZDJPY']",80.0
4,EURCHF,20,"['AUDCAD', 'NZDJPY']",100.0
5,CHFJPY,20,"['EURUSD', 'AUDCAD']",80.0
6,AUDCHF,15,"['EURGBP', 'GBPCAD', 'GBPAUD']",80.0
7,NZDCHF,15,"['GBPAUD', 'EURCAD', 'USDCAD', 'EURGBP']",80.0
8,EURGBP,10,"['EURCAD', 'EURAUD']",100.0
9,GBPJPY,10,['EURUSD'],80.0
10,GBPCAD,10,"['EURCAD', 'EURAUD', 'CADCHF', 'CADJPY']",100.0
11,GBPAUD,15,['GBPAUD'],80.0
12,EURAUD,10,['EURCAD'],80.0
13,EURNZD,15,"['GBPAUD', 'EURCAD', 'USDCAD', 'EURGBP']",80.0
14,NZDJPY,10,"['AUDCAD', 'EURGBP', 'GBPAUD']",100.0
15,AUDCAD,10,"['EURGBP', 'GBPAUD']",100.0
16,NZDCAD,10,"['AUDUSD', 'EURGBP', 'GBPAUD']",100.0
17,AUDNZD,20,"['USDCAD', 'AUDUSD', 'NZDCHF', 'NZDUSD', 'EURNZD', 'USDJPY', 'EURUSD', 'USDCHF']",80.0
