names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['AUDNZD', 'EURJPY']",80.0,-0.86,S
GBPUSD,10,"['EURCHF', 'NZDCAD', 'AUDCAD', 'AUDCHF', 'NZDCHF']",80.0,-0.5016666666666666,S
EURUSD,10,"['AUDNZD', 'EURJPY']",80.0,0.82,B
USDJPY,30,"['AUDCHF', 'AUDCAD', 'AUDUSD', 'EURUSD', 'NZDCHF', 'NZDCAD', 'NZDUSD', 'EURAUD', 'GBPUSD', 'GBPAUD', 'USDCHF']",80.0,-0.8,S
USDCAD,15,['EURGBP'],100.0,-1.0,S
AUDUSD,50,['USDCAD'],80.0,0.6594320384923941,B
NZDUSD,10,['GBPUSD'],80.0,1.0,B
GBPCHF,20,"['USDCHF', 'EURUSD', 'NZDCAD', 'NZDCHF', 'USDCAD']",100.0,-0.01733333333333334,S
EURCHF,10,['USDJPY'],100.0,-0.5762857142857145,S
CHFJPY,15,['EURNZD'],80.0,-0.3845476190476191,S
CADCHF,10,"['GBPJPY', 'GBPUSD']",80.0,1.0,B
NZDCHF,30,"['GBPAUD', 'EURJPY', 'CADJPY']",80.0,0.6823790653790653,B
EURGBP,10,"['USDCAD', 'EURCHF']",80.0,-0.02,S
GBPJPY,15,"['NZDCAD', 'AUDCAD', 'AUDCHF', 'NZDCHF', 'EURNZD', 'EURAUD', 'GBPCHF']",100.0,-0.18,S
GBPCAD,10,"['USDCHF', 'EURUSD']",80.0,1.0,B
GBPAUD,15,['EURGBP'],100.0,-0.660809523809524,S
EURJPY,15,"['EURNZD', 'EURJPY']",80.0,-0.38,S
EURCAD,10,['USDJPY'],80.0,-1.0,S
EURAUD,10,['GBPJPY'],80.0,-0.7865079365079363,S
EURNZD,10,"['GBPCHF', 'GBPUSD', 'GBPAUD', 'GBPCAD']",100.0,-1.0,S
AUDJPY,10,['AUDUSD'],80.0,-0.534,S
NZDJPY,50,"['GBPUSD', 'GBPJPY', 'GBPCHF', 'USDCAD']",100.0,0.5965634920634924,B
AUDCAD,30,['AUDUSD'],80.0,0.9940000000000001,B
