date,GBPCHF,EURCHF,GBPCAD,empty,sum
2019.06.24,-173.00000000000094,-127.00000000001043,-49.00000000001015,,-349.0000000000215
2019.06.24,-83.9999999999952,-78.00000000000028,-59.000000000009045,,-221.00000000000452
2019.06.24,-138.0000000000159,-84.0000000000174,-147.00000000000824,,-369.0000000000415
2019.06.24,-199.00000000001583,-134.00000000001188,-106.00000000000608,,-439.0000000000338
2019.06.24,-205.00000000001074,-148.00000000001478,-144.0000000000108,,-497.0000000000363
2019.06.24,-205.00000000001074,-179.00000000001802,-94.00000000001629,,-478.000000000045
2019.06.24,-181.00000000000892,-177.00000000000495,9.999999999998899,,-348.00000000001495
2019.06.24,-246.00000000001288,-233.00000000001654,30.999999999981043,,-448.00000000004843
2019.06.24,-275.000000000003,-245.0000000000063,-42.0000000000087,,-562.000000000018
2019.06.24,-239.00000000001143,-198.00000000000927,47.99999999998139,,-389.0000000000393
2019.06.24,-263.00000000001324,-216.00000000001617,64.99999999998174,,-414.0000000000477
2019.06.24,-365.99999999999966,-291.00000000001904,-8.000000000008,,-665.0000000000266
2019.06.24,-341.99999999999784,-289.0000000000059,20.999999999982144,,-610.0000000000216
2019.06.24,-392.9999999999989,-319.0000000000026,20.999999999982144,,-691.0000000000194
2019.06.24,-378.00000000001165,-303.0000000000088,27.999999999983594,,-653.0000000000368
2019.06.24,-412.00000000001234,-279.00000000000705,21.999999999988695,,-669.0000000000306
2019.06.24,-429.00000000001273,-326.0000000000041,47.99999999998139,,-707.0000000000355
2019.06.24,-449.0000000000105,-350.00000000000585,66.99999999999484,,-732.0000000000215
2019.06.24,-527.0000000000108,-391.000000000008,-69.00000000000794,,-987.0000000000268
2019.06.24,-412.00000000001234,-322.00000000000006,68.00000000000139,,-666.000000000011
2019.06.24,-309.0000000000037,-384.00000000000654,278.00000000000045,,-415.0000000000098
2019.06.24,-204.00000000000418,-301.0000000000179,261.0000000000001,,-244.00000000002194
2019.06.24,-124.99999999999733,-301.0000000000179,238.99999999998923,,-187.000000000026
2019.06.24,-85.00000000000173,-279.00000000000705,356.00000000000074,,-8.000000000008015
2019.06.24,-130.0000000000079,-249.00000000001032,200.00000000000017,,-179.00000000001802
