date,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,EURCHF,NZDJPY,AUDCAD,NZDCAD,empty,sum
2015.06.29,135.00000000001845,248.00000000000378,-212.99999999999386,-79.99999999999119,-48.000000000003595,41.000000000002146,108.00000000000409,253.0000000000032,-21.999999999999797,,422.00000000004326
2015.06.29,94.00000000001629,168.99999999999693,-34.99999999999659,96.99999999999153,39.00000000000014,17.000000000000348,102.00000000000387,-4.999999999999449,-22.999999999995246,,455.00000000001785
2015.06.29,-56.99999999999594,31.000000000003247,-388.9999999999958,76.0000000000094,-29.999999999996696,69.00000000000794,251.00000000000477,-239.0000000000003,-107.00000000000153,,-394.9999999999649
2015.06.29,-120.99999999999334,147.00000000000824,-180.99999999999739,146.00000000000168,44.99999999999504,78.00000000000028,197.00000000000273,-60.00000000000449,-56.99999999999594,,194.0000000000168
2015.06.29,-78.00000000000028,143.00000000000423,-162.00000000000614,133.99999999998968,-4.000000000004,48.000000000003595,115.0000000000091,-107.99999999999699,-119.99999999999788,,-31.99999999999868
2015.06.29,82.00000000000429,307.99999999999716,-153.99999999999636,177.99999999998929,2.999999999997449,78.00000000000028,115.99999999999966,-105.99999999999498,-143.9999999999997,,360.99999999999716
2015.06.29,-117.99999999999588,-197.00000000000273,218.00000000000352,32.0000000000098,-109.00000000000354,-116.99999999998934,-277.000000000001,-51.99999999999649,-182.99999999999983,,-802.9999999999754
2015.06.29,-78.00000000000028,-120.99999999999334,209.00000000000318,69.00000000000794,-104.99999999999955,-27.999999999983594,-265.00000000000057,-193.99999999999417,-200.99999999999562,,-713.9999999999561
2015.06.29,-103.99999999999298,-32.999999999994145,394.999999999996,69.00000000000794,-109.99999999999899,-35.999999999991594,-399.0000000000009,-266.999999999995,-207.00000000000162,,-691.9999999999712
2015.06.29,-84.99999999997954,-4.000000000004,445.0000000000074,109.00000000000354,-112.000000000001,-87.99999999999919,-435.99999999999284,-343.00000000000443,-237.99999999999378,,-751.9999999999638
2015.06.29,-159.99999999998238,-41.99999999998649,388.9999999999958,89.99999999999008,-292.9999999999988,-116.99999999998934,-620.9999999999951,-697.0000000000032,-444.9999999999954,,-1895.999999999965
2015.06.29,-164.99999999999292,-63.99999999999739,370.9999999999951,62.99999999999084,-311.00000000000574,-125.99999999998168,-628.9999999999907,-517.9999999999962,-452.99999999999227,,-1831.999999999971
2015.06.29,-183.99999999998417,-120.99999999999334,177.0000000000067,2.999999999997449,-192.00000000000327,-122.99999999998423,-354.99999999998977,-434.9999999999965,-268.0000000000016,,-1497.9999999999486
2015.06.29,-201.99999999999108,-95.999999999985,141.00000000000534,-42.999999999993044,-185.00000000000182,-95.00000000000064,-317.99999999999784,-407.99999999999727,-227.99999999999488,,-1433.9999999999563
