date,USDCAD,NZDUSD,GBPCHF,AUDCHF,EURGBP,EURJPY,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.10.14,-17.000000000000348,-69.9999999999923,-11.00000000000545,-36.0000000000027,-101.00000000000664,-128.99999999999068,-27.999999999983594,-58.99999999999794,-47.9999999999925,-29.999999999996696,,-528.9999999999688
2019.10.14,-22.0000000000109,-80.99999999999774,-76.99999999999375,-34.99999999999615,-82.99999999999974,-116.99999999999022,-8.999999999992347,-151.9999999999966,-74.99999999999174,26.0000000000149,,-624.9999999999543
2019.10.14,-92.00000000000318,-81.9999999999932,25.00000000000835,60.00000000000449,-75.00000000000284,-215.99999999999397,55.000000000005045,-112.99999999999643,-54.999999999993946,130.0000000000079,,-362.99999999995777
2019.10.14,-74.0000000000185,-73.99999999999629,188.9999999999947,109.99999999999899,-53.999999999998494,-207.9999999999984,70.0000000000145,-80.00000000000229,-17.999999999995797,131.99999999999878,,-7.000000000002814
2019.10.14,-78.00000000000028,-48.99999999999905,171.99999999999437,131.99999999999878,-100.00000000000009,-194.00000000000261,93.00000000000975,-70.0000000000034,2.000000000002,164.00000000000858,,72.00000000000804
2019.10.14,-20.000000000020002,-32.999999999994145,51.000000000001044,163.99999999999747,-165.9999999999995,-162.9999999999967,93.00000000000975,-146.00000000000168,6.0000000000060005,177.00000000000495,,-36.99999999999281
2019.10.14,-7.0000000000014495,-68.99999999999685,-146.00000000000168,70.99999999999883,-278.00000000000045,-137.00000000000045,73.00000000001194,-178.99999999999582,-50.99999999998994,192.00000000001438,,-530.9999999999616
2019.10.14,75.99999999998718,72.0000000000054,-140.99999999999113,4.000000000004,-262.00000000000665,19.000000000005457,388.0000000000106,-31.999999999998696,77.00000000000485,214.00000000000307,,415.00000000002404
2019.10.14,76.99999999999375,80.00000000000229,-269.9999999999925,-92.00000000000318,-307.99999999999716,19.000000000005457,438.00000000000506,2.000000000002,82.00000000000429,182.0000000000155,,210.00000000003547
2019.10.14,63.99999999999739,159.00000000000912,-317.0000000000117,-92.99999999999864,-322.00000000000006,75.00000000000284,653.999999999999,2.999999999997449,182.00000000000438,290.00000000001245,,695.0000000000123
2019.10.14,45.99999999999049,143.00000000000423,-374.0000000000077,-69.9999999999923,-334.00000000000097,38.000000000010914,597.0000000000031,4.000000000004,175.00000000000293,282.0000000000045,,507.00000000001916
2019.10.14,71.99999999998319,167.00000000000603,-422.9999999999956,-110.99999999999443,-341.0000000000024,31.00000000000591,678.0000000000008,-41.9999999999976,209.9999999999991,343.00000000000443,,584.0000000000094
2019.10.14,75.99999999998718,163.00000000000205,-449.9999999999948,-58.99999999999794,-331.0000000000035,40.00000000000625,680.0000000000139,-78.99999999999574,207.00000000000162,456.00000000001194,,703.0000000000309
2019.10.14,67.9999999999792,145.00000000000622,-429.99999999999704,-75.00000000000284,-321.0000000000046,3.0000000000001137,655.0000000000056,-75.9999999999983,182.00000000000438,389.0000000000171,,540.0000000000098
2019.10.14,32.999999999994145,104.99999999999955,-351.99999999999676,-53.00000000000304,-290.00000000000136,-66.0000000000025,586.0000000000198,-82.00000000000429,147.00000000000824,365.0000000000153,,393.000000000029
2019.10.14,41.99999999998649,110.00000000001009,-306.9999999999906,-56.0000000000005,-252.0000000000078,-70.99999999999795,567.0000000000064,-82.00000000000429,145.00000000000622,343.00000000000443,,439.0000000000125
2019.10.14,68.99999999998573,126.0000000000039,-312.00000000000114,-78.00000000000028,-246.99999999999721,-0.999999999990564,605.0000000000111,-63.00000000000195,157.00000000000713,323.0000000000066,,579.0000000000234
2019.10.14,88.99999999998354,128.00000000000588,-469.99999999999267,-82.99999999999974,-378.00000000000057,7.000000000005002,612.0000000000125,-41.9999999999976,133.00000000000534,302.0000000000023,,298.000000000024
2019.10.14,46.999999999997044,112.000000000001,-689.9999999999907,-147.99999999999258,-522.0000000000002,41.00000000001103,560.0000000000049,-44.99999999999504,143.9999999999997,258.0000000000027,,-242.9999999999623
2019.10.14,78.00000000000028,165.9999999999995,-797.0000000000033,-185.00000000000182,-600.0000000000006,90.00000000000341,555.0000000000166,46.999999999997044,182.00000000000438,229.00000000001253,,-234.99999999997195
2019.10.14,59.99999999999339,126.99999999999933,-669.9999999999928,-202.9999999999976,-452.00000000000796,120.00000000000455,502.00000000000244,43.00000000000415,146.00000000000168,207.00000000000162,,-119.99999999999122
2019.10.14,112.99999999998533,194.0000000000053,-573.0000000000013,-186.99999999999272,-490.00000000000153,222.99999999999898,562.0000000000181,124.99999999999733,223.00000000000654,208.00000000000819,,398.0000000000242
2019.10.14,78.00000000000028,260.00000000000466,-639.0000000000118,-229.99999999999687,-483.0000000000001,156.0000000000059,765.0000000000157,192.99999999999872,298.0000000000094,232.00000000000998,,630.0000000000358
2019.10.14,47.99999999998139,263.0000000000021,-668.0000000000019,-246.00000000000176,-548.9999999999995,44.00000000001114,911.0000000000174,236.00000000000287,324.00000000000205,226.99999999999943,,590.0000000000131
2019.10.14,17.999999999984695,254.00000000000978,-939.0000000000009,-443.99999999999994,-616.0000000000055,23.000000000010346,1017.0000000000013,234.00000000000088,292.00000000000335,150.00000000000568,,-10.999999999990166
2019.10.14,151.9999999999966,281.00000000000904,-977.0000000000057,-439.99999999999596,-702.0000000000026,96.00000000000364,1112.0000000000018,239.0000000000003,296.0000000000074,170.00000000000347,,227.000000000018
2019.10.14,158.99999999999804,290.00000000000136,-930.0000000000086,-441.99999999999795,-684.0000000000068,73.0000000000075,1214.0000000000039,255.00000000000523,287.0000000000039,155.00000000001623,,377.0000000000226
