,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,"['EURJPY', 'EURAUD']",80.0,-0.9609982936507934,S
1,1,GBPUSD,20,['EURUSD'],80.0,1.0,B
2,2,EURUSD,15,"['EURJPY', 'EURAUD', 'CHFJPY']",80.0,0.9973356782106785,B
3,3,USDJPY,10,['EURJPY'],100.0,-0.953870000000003,S
4,4,USDCAD,15,['EURGBP'],80.0,-0.7128992424242253,S
5,5,NZDUSD,50,"['GBPUSD', 'GBPCHF', 'USDCAD']",100.0,0.23057173327538644,B
6,6,GBPCHF,10,"['USDCHF', 'EURUSD', 'USDCAD']",100.0,0.797,B
7,7,EURCHF,15,"['USDJPY', 'GBPCHF']",80.0,0.5143012121212248,B
8,8,CADCHF,20,"['EURJPY', 'NZDUSD', 'GBPJPY', 'NZDCAD', 'NZDCHF']",100.0,0.9160054068235686,B
9,9,NZDCHF,30,"['GBPCHF', 'GBPAUD', 'GBPCAD', 'EURJPY']",100.0,0.7075046886446957,B
10,10,EURGBP,10,['EURCHF'],100.0,-0.667601825396827,S
11,11,GBPJPY,10,"['NZDCAD', 'NZDCHF']",80.0,1.0,B
12,12,GBPCAD,10,"['USDCHF', 'EURUSD', 'USDCAD']",100.0,0.7905,B
13,13,GBPAUD,15,['EURGBP'],80.0,-0.4287840367965315,S
14,14,EURCAD,20,"['USDJPY', 'NZDJPY', 'NZDUSD', 'EURJPY']",80.0,-0.6903702380952336,S
15,15,CADJPY,10,['GBPUSD'],100.0,0.7523089285713755,B
16,16,NZDJPY,15,"['GBPUSD', 'GBPJPY', 'GBPCHF']",100.0,1.0,B
17,17,NZDCAD,15,"['GBPCHF', 'GBPAUD', 'GBPCAD']",80.0,0.8702855158730137,B
