date,EURCHF,AUDCAD,empty,sum
2019.10.28,62.99999999999084,9.00000000000345,,71.99999999999429
2019.10.28,52.000000000007596,1.0000000000065512,,53.00000000001415
2019.10.28,53.999999999998494,31.000000000003247,,85.00000000000173
2019.10.28,60.99999999999994,45.000000000006146,,106.00000000000608
2019.10.28,69.9999999999923,-12.999999999996348,,56.99999999999595
2019.10.28,76.0000000000094,80.00000000000229,,156.00000000001168
2019.10.28,96.99999999999153,16.0000000000049,,112.99999999999643
2019.10.28,103.99999999999298,20.0000000000089,,124.00000000000188
2019.10.28,156.00000000000057,17.000000000000348,,173.0000000000009
2019.10.28,165.9999999999995,29.000000000001247,,195.00000000000074
2019.10.28,168.99999999999693,11.00000000000545,,180.0000000000024
2019.10.28,178.00000000001148,-7.9999999999968985,,170.00000000001458
2019.10.28,198.99999999999363,4.999999999999449,,203.9999999999931
2019.10.28,222.00000000001108,-1.999999999990898,,220.00000000002018
2019.10.28,198.99999999999363,14.000000000002899,,212.99999999999653
2019.10.28,232.00000000000998,46.00000000000159,,278.0000000000116
2019.10.28,217.0000000000005,10.000000000010001,,227.00000000001052
2019.10.28,207.00000000000162,43.999999999999595,,251.00000000000122
2019.10.28,178.00000000001148,35.00000000000725,,213.00000000001873
2019.10.28,168.99999999999693,82.00000000000429,,251.00000000000122
2019.10.28,204.00000000000418,119.00000000000244,,323.0000000000066
2019.10.28,198.00000000000927,121.00000000000443,,319.0000000000137
2019.10.28,222.00000000001108,145.00000000000622,,367.0000000000173
2019.10.28,258.0000000000027,94.00000000000519,,352.00000000000784
2019.10.28,229.99999999999687,96.00000000000719,,326.0000000000041
2019.10.28,251.00000000000122,95.00000000000064,,346.0000000000019
2019.10.28,296.9999999999917,65.99999999999939,,362.9999999999911
2019.10.28,312.00000000000114,84.0000000000063,,396.00000000000745
2019.10.28,303.9999999999932,109.00000000000354,,412.9999999999967
2019.10.28,344.99999999999534,84.0000000000063,,429.00000000000165
2019.10.28,327.99999999999494,71.00000000000995,,399.0000000000049
2019.10.28,394.00000000000546,12.000000000000899,,406.00000000000637
2019.10.28,299.00000000000483,89.00000000000574,,388.0000000000106
2019.10.28,282.0000000000045,76.0000000000094,,358.00000000001387
2019.10.28,225.00000000000853,111.00000000000554,,336.0000000000141
2019.10.28,331.999999999999,254.00000000000978,,586.0000000000088
2019.10.28,296.0000000000074,211.00000000000563,,507.000000000013
2019.10.28,299.00000000000483,195.00000000000074,,494.00000000000557
2019.10.28,310.9999999999946,255.00000000000523,,565.9999999999998
2019.10.28,292.00000000000335,261.0000000000001,,553.0000000000034
2019.10.28,269.00000000000813,223.00000000000654,,492.00000000001467
2019.10.28,242.99999999999324,187.00000000000384,,429.99999999999704
2019.10.28,239.99999999999577,208.00000000000819,,448.000000000004
2019.10.28,266.0000000000107,220.00000000000907,,486.0000000000198
2019.10.28,245.99999999999068,178.00000000000037,,423.999999999991
2019.10.28,232.99999999999432,165.9999999999995,,398.9999999999938
2019.10.28,231.0000000000034,199.00000000000472,,430.00000000000813
2019.10.28,259.9999999999936,185.00000000000182,,444.9999999999954
2019.10.29,239.00000000001143,181.00000000000892,,420.00000000002035
2019.10.29,242.00000000000887,176.0000000000095,,418.00000000001836
2019.10.29,249.99999999999466,189.00000000000583,,439.00000000000045
2019.10.29,255.00000000000523,210.00000000001017,,465.0000000000154
2019.10.29,255.00000000000523,233.00000000000543,,488.0000000000107
2019.10.29,239.99999999999577,248.00000000000378,,487.99999999999955
2019.10.29,221.00000000000452,243.00000000000432,,464.00000000000887
