date,EURCHF,EURNZD,AUDCAD,empty,sum
2018.04.23,-159.00000000002024,-299.99999999998914,-0.999999999995449,,-460.00000000000483
2018.04.23,-139.00000000000023,-316.0000000000052,97.00000000000264,,-358.00000000000273
2018.04.23,-172.0000000000166,-395.99999999999636,31.000000000003247,,-537.0000000000097
2018.04.23,-181.00000000000892,-453.99999999999886,112.99999999999643,,-522.0000000000113
2018.04.23,-167.00000000000603,-465.0000000000043,114.99999999999844,,-517.0000000000119
2018.04.23,-192.99999999999872,-526.9999999999886,68.00000000000139,,-651.999999999986
2018.04.23,-155.00000000001623,-573.9999999999857,70.99999999999883,,-658.0000000000031
2018.04.23,-148.00000000001478,-510.99999999999477,87.00000000000374,,-572.0000000000058
2018.04.23,-131.00000000001444,-412.9999999999967,80.00000000000229,,-464.00000000000887
2018.04.23,-140.0000000000068,-434.9999999999854,94.00000000000519,,-480.999999999987
2018.04.23,-129.00000000000134,-482.00000000000466,117.99999999999588,,-493.0000000000101
2018.04.23,-112.000000000001,-499.000000000005,146.00000000000168,,-465.0000000000043
2018.04.23,-114.99999999999844,-543.0000000000045,199.00000000000472,,-458.99999999999824
2018.04.23,-91.00000000001884,-536.9999999999875,195.9999999999962,,-432.0000000000102
2018.04.23,-70.0000000000145,-468.00000000000176,207.00000000000162,,-331.00000000001467
2018.04.23,-95.00000000000064,-472.00000000000574,207.99999999999707,,-359.0000000000093
2018.04.23,-98.0000000000203,-417.99999999998505,224.000000000002,,-292.00000000000335
2018.04.23,-84.0000000000174,-458.9999999999872,139.00000000000023,,-404.0000000000043
2018.04.23,-109.00000000000354,-461.0000000000003,129.00000000000134,,-441.0000000000025
2018.04.23,-98.0000000000203,-504.9999999999999,85.00000000000173,,-518.0000000000185
2018.04.23,-173.00000000000094,-781.9999999999939,-4.000000000004,,-958.9999999999987
2018.04.23,-186.0000000000195,-838.0000000000055,-7.9999999999968985,,-1032.0000000000218
2018.04.23,-102.00000000000209,-530.9999999999926,56.99999999999594,,-575.9999999999987
2018.04.23,-79.00000000000685,-478.0000000000006,56.99999999999594,,-500.00000000001154
2018.04.23,0.9999999999843467,-597.9999999999874,-21.00000000000435,,-618.0000000000074
2018.04.23,86.99999999999264,-699.9999999999895,4.000000000004,,-608.999999999993
2018.04.23,135.9999999999806,-729.9999999999862,-19.999999999997797,,-614.0000000000035
2018.04.23,204.99999999998852,-578.9999999999961,14.000000000002899,,-360.0000000000047
2018.04.23,278.00000000000045,-604.0000000000045,29.000000000001247,,-297.00000000000284
2018.04.23,223.99999999997976,-584.9999999999911,-34.000000000000696,,-395.00000000001205
2018.04.23,215.99999999999397,-689.9999999999907,-34.000000000000696,,-507.9999999999974
2018.04.23,212.99999999999653,-740.9999999999917,-4.999999999999449,,-532.9999999999947
2018.04.23,184.99999999999073,-724.9999999999978,80.00000000000229,,-460.0000000000048
2018.04.23,185.99999999999727,-817.9999999999854,46.00000000000159,,-585.9999999999866
2018.04.23,188.9999999999947,-831.000000000004,36.0000000000027,,-606.0000000000066
2018.04.23,176.99999999998272,-919.9999999999875,2.000000000002,,-741.0000000000027
2018.04.23,182.99999999999983,-880.9999999999984,0.0,,-697.9999999999986
2018.04.23,207.00000000000162,-883.9999999999959,-5.999999999994898,,-682.9999999999892
2018.04.23,185.99999999999727,-892.9999999999883,45.000000000006146,,-661.9999999999849
2018.04.23,140.99999999999113,-906.9999999999911,0.0,,-766.0
2018.04.23,139.00000000000023,-895.0000000000014,-7.0000000000014495,,-763.0000000000026
2018.04.23,146.00000000000168,-780.000000000003,-10.999999999994348,,-644.9999999999956
2018.04.23,204.99999999998852,-825.9999999999934,-27.999999999994696,,-648.9999999999995
2018.04.23,191.99999999999218,-851.9999999999861,-41.000000000002146,,-700.9999999999961
2018.04.23,204.99999999998852,-870.9999999999995,-58.000000000002494,,-724.0000000000135
2018.04.23,156.99999999998494,-825.9999999999934,-112.000000000001,,-781.0000000000094
2018.04.23,178.99999999999582,-902.0000000000028,-43.999999999999595,,-767.0000000000066
2018.04.23,187.99999999998818,-905.9999999999845,-21.999999999999797,,-739.9999999999961
2018.04.24,214.99999999998744,-865.0000000000047,-61.999999999995396,,-712.0000000000127
2018.04.24,213.99999999998087,-882.000000000005,-76.99999999999375,,-745.0000000000178
2018.04.24,200.99999999998454,-801.9999999999916,-76.99999999999375,,-678.0000000000008
2018.04.24,212.99999999999653,-777.9999999999898,-56.0000000000005,,-620.9999999999936
2018.04.24,214.99999999998744,-787.0000000000043,-63.00000000000195,,-635.0000000000188
2018.04.24,207.00000000000162,-862.9999999999916,-75.00000000000284,,-730.9999999999928
2018.04.24,210.99999999998343,-1062.9999999999918,-97.00000000000264,,-949.000000000011
2018.04.24,221.99999999998886,-1144.999999999996,-104.99999999999955,,-1028.0000000000066
2018.04.24,236.99999999999832,-1234.0000000000018,-187.00000000000384,,-1184.0000000000073
2018.04.24,234.00000000000088,-1500.9999999999968,-295.0000000000008,,-1561.9999999999968
2018.04.24,198.99999999999363,-1482.99999999999,-129.9999999999968,,-1413.9999999999932
2018.04.24,191.99999999999218,-1597.0000000000039,-109.00000000000354,,-1514.0000000000152
2018.04.24,196.99999999998053,-1685.0000000000032,-109.00000000000354,,-1597.0000000000264
2018.04.24,186.99999999998164,-1617.0000000000018,-92.99999999999864,,-1523.0000000000189
2018.04.24,192.99999999999872,-1615.9999999999952,-104.99999999999955,,-1527.9999999999961
2018.04.24,185.99999999999727,-1743.99999999999,-102.99999999999754,,-1660.9999999999902
2018.04.24,151.9999999999966,-1763.0000000000034,-112.99999999999643,,-1724.0000000000032
2018.04.24,160.99999999998892,-1727.9999999999961,-73.99999999999629,,-1641.0000000000036
2018.04.24,190.00000000000128,-1758.9999999999995,-107.99999999999699,,-1676.9999999999952
2018.04.24,217.0000000000005,-1876.9999999999955,-168.00000000000148,,-1827.9999999999964
2018.04.24,202.9999999999976,-1848.0000000000052,-188.9999999999947,,-1834.0000000000025
2018.04.24,272.99999999998994,-1737.999999999995,-136.00000000000279,,-1601.0000000000077
2018.04.24,302.9999999999866,-1600.0000000000014,-117.00000000000044,,-1414.0000000000152
2018.04.24,232.99999999999432,-1575.9999999999995,-127.99999999999478,,-1471.0
2018.04.24,232.99999999999432,-1456.9999999999973,-76.99999999999375,,-1300.9999999999968
2018.04.24,266.999999999995,-1480.999999999999,-97.00000000000264,,-1311.0000000000068
2018.04.24,236.99999999999832,-1554.9999999999952,-109.99999999999899,,-1427.999999999996
2018.04.24,159.99999999998238,-1573.0000000000023,-39.00000000000014,,-1452.0000000000202
2018.04.24,164.99999999999292,-1594.0000000000066,-63.99999999999739,,-1493.0000000000111
2018.04.24,176.99999999998272,-1601.9999999999923,-70.0000000000034,,-1495.000000000013
2018.04.24,176.99999999998272,-1557.9999999999927,-65.00000000000395,,-1446.0000000000139
2018.04.24,160.99999999998892,-1601.9999999999923,-124.99999999999733,,-1566.0000000000007
2018.04.24,62.99999999999084,-1702.0000000000034,-71.99999999999429,,-1711.0000000000068
2018.04.24,-98.0000000000203,-1802.999999999999,-136.00000000000279,,-2037.000000000022
2018.04.24,-125.00000000001954,-1734.9999999999977,-180.99999999999784,,-2041.000000000015
2018.04.24,-203.00000000001984,-1749.0000000000005,-322.9999999999955,,-2275.000000000016
2018.04.24,-190.00000000000128,-1851.0000000000027,-332.99999999999443,,-2373.9999999999986
2018.04.24,-261.0000000000001,-2010.0000000000007,-314.0000000000032,,-2585.000000000004
2018.04.24,-236.99999999999832,-2007.9999999999875,-305.99999999999517,,-2550.999999999981
2018.04.24,-106.00000000000608,-1988.9999999999964,-236.99999999999832,,-2332.0000000000005
