date,EURGBP,GBPJPY,EURCAD,EURNZD,empty,sum
2021.09.27,-84.99999999999064,-9.000000000014552,18.0000000000069,-89.99999999999008,,-165.99999999998838
2021.09.27,-56.99999999999594,49.99999999998295,124.00000000001299,85.00000000000173,,202.00000000000173
2021.09.27,-22.999999999995246,-176.9999999999925,65.00000000000395,146.00000000000168,,11.000000000017877
2021.09.27,-30.999999999992145,-223.0000000000132,97.9999999999981,145.00000000001734,,-10.99999999998991
2021.09.27,0.0,-118.99999999999977,107.00000000001265,79.00000000000685,,67.00000000001972
2021.09.27,-4.999999999999449,-177.99999999999727,80.00000000001339,73.00000000001194,,-29.999999999971408
2021.09.27,-39.999999999995595,-109.00000000000887,-68.00000000000139,-49.99999999999449,,-267.00000000000034
2021.09.27,-51.000000000001044,-150.00000000000568,-99.99999999998899,-153.00000000000313,,-453.99999999999886
2021.09.27,-18.999999999991246,-105.00000000001819,-302.9999999999866,-173.00000000000094,,-599.9999999999969
2021.09.27,-47.9999999999925,-123.99999999999523,-222.99999999999542,-237.99999999998266,,-632.9999999999659
2021.09.27,-14.999999999998348,21.99999999999136,-180.0000000000024,-158.99999999999804,,-332.0000000000074
2021.09.27,-18.999999999991246,31.00000000000591,-225.99999999999287,-219.99999999999798,,-433.9999999999762
2021.09.27,-31.999999999998696,45.99999999999227,-176.99999999998272,-137.9999999999937,,-300.99999999998283
2021.09.27,-35.999999999991594,31.00000000000591,-129.99999999998568,26.0000000000149,,-108.99999999995646
2021.09.27,-48.99999999999905,-13.00000000000523,-158.99999999999804,-72.99999999998974,,-293.99999999999204
2021.09.27,-53.999999999998494,25.999999999982037,-164.99999999999292,-58.99999999998684,,-251.99999999999622
2021.09.27,-46.999999999997044,-15.00000000001478,-149.9999999999835,6.000000000017103,,-205.9999999999782
2021.09.27,-84.99999999999064,-112.99999999999955,-258.99999999998704,-63.99999999999739,,-520.9999999999746
2021.09.27,-27.999999999994696,-26.00000000001046,-271.99999999998334,75.00000000000284,,-250.99999999998568
2021.09.27,-129.00000000000134,-175.00000000001137,-354.9999999999942,-76.99999999999375,,-736.0000000000007
2021.09.27,-173.9999999999964,-189.99999999999773,-473.99999999999665,-209.9999999999991,,-1047.9999999999898
2021.09.27,-284.9999999999908,-326.9999999999982,-420.9999999999825,-95.00000000000064,,-1127.999999999972
2021.09.27,-375.9999999999986,-599.000000000018,-344.99999999999534,-117.99999999999588,,-1438.0000000000077
2021.09.27,-451.9999999999969,-747.0000000000141,-292.00000000000335,-54.99999999998284,,-1545.9999999999973
2021.09.27,-351.99999999999676,-695.999999999998,-253.99999999999866,-73.99999999999629,,-1375.9999999999898
2021.09.27,-383.0,-774.0000000000009,-173.00000000000094,-17.999999999984695,,-1347.9999999999866
2021.09.27,-361.9999999999957,-781.0000000000059,-244.9999999999841,-28.999999999990145,,-1416.999999999976
2021.09.27,-301.9999999999912,-707.9999999999984,-127.99999999999478,148.00000000001478,,-989.9999999999695
2021.09.27,-404.99999999999983,-861.9999999999948,-167.9999999999904,90.00000000001229,,-1344.9999999999727
2021.09.27,-342.9999999999933,-742.999999999995,-176.99999999998272,171.00000000001003,,-1091.999999999961
2021.09.27,-363.99999999999767,-730.0000000000182,-63.99999999999739,53.00000000001415,,-1104.9999999999993
2021.09.27,-358.9999999999982,-757.000000000005,-17.000000000000348,-3.999999999981796,,-1136.9999999999854
2021.09.27,-389.99999999999034,-745.0000000000045,-99.99999999998899,-0.9999999999843467,,-1235.9999999999684
2021.09.27,-461.0000000000003,-818.000000000012,-224.000000000002,-222.99999999999542,,-1726.0000000000098
2021.09.27,-464.9999999999932,-828.000000000003,-329.99999999998585,-207.00000000000162,,-1829.9999999999836
2021.09.27,-409.99999999999926,-903.00000000002,-343.99999999998875,-120.99999999999334,,-1778.0000000000016
2021.09.27,-425.99999999999307,-882.000000000005,-297.9999999999983,-190.00000000000128,,-1795.9999999999977
2021.09.27,-429.99999999999704,-936.000000000007,-258.99999999998704,-92.99999999998754,,-1717.9999999999786
2021.09.27,-381.99999999999346,-855.0000000000182,-400.00000000000034,-192.99999999999872,,-1830.0000000000105
2021.09.27,-386.9999999999929,-915.9999999999968,-500.9999999999959,-126.99999999998823,,-1930.9999999999739
2021.09.27,-354.9999999999942,-843.0000000000177,-449.9999999999948,-81.9999999999821,,-1729.9999999999886
2021.09.27,-354.9999999999942,-867.0000000000186,-478.999999999985,-214.00000000000307,,-1915.000000000001
2021.09.27,-400.9999999999958,-966.0000000000082,-475.99999999998755,-228.99999999999034,,-2071.999999999982
2021.09.27,-422.9999999999956,-959.0000000000032,-553.0000000000035,-323.99999999999096,,-2258.999999999993
2021.09.27,-407.99999999999727,-908.0000000000155,-529.999999999986,-324.9999999999975,,-2170.9999999999964
2021.09.27,-401.99999999999125,-896.000000000015,-489.99999999999045,-241.99999999998667,,-2029.9999999999834
2021.09.27,-412.00000000000125,-926.0000000000161,-476.9999999999941,-215.99999999999397,,-2031.0000000000055
2021.09.27,-408.9999999999927,-796.999999999997,-506.9999999999908,-286.99999999999284,,-1999.9999999999732
2021.09.28,-441.99999999999795,-816.0000000000025,-532.9999999999835,-380.00000000000256,,-2170.999999999987
2021.09.28,-439.99999999999596,-817.0000000000073,-516.9999999999897,-319.0000000000026,,-2092.9999999999955
2021.09.28,-418.9999999999916,-846.0000000000036,-519.0000000000028,-248.00000000000378,,-2032.000000000002
2021.09.28,-410.9999999999947,-831.9999999999936,-563.9999999999867,-222.99999999999542,,-2029.9999999999704
2021.09.28,-420.9999999999936,-867.0000000000186,-530.9999999999926,-156.00000000000057,,-1975.0000000000055
2021.09.28,-402.9999999999978,-804.000000000002,-527.9999999999951,-102.99999999998644,,-1837.9999999999814
2021.09.28,-401.99999999999125,-801.9999999999925,-520.9999999999936,-55.99999999998939,,-1780.9999999999666
2021.09.28,-414.9999999999987,-842.000000000013,-539.0000000000006,-148.99999999999915,,-1945.0000000000114
2021.09.28,-401.99999999999125,-879.9999999999955,-587.9999999999885,-156.99999999998494,,-2026.9999999999604
2021.09.28,-420.9999999999936,-914.0000000000157,-669.9999999999928,-302.9999999999866,,-2307.999999999989
2021.09.28,-427.99999999999505,-944.9999999999932,-713.9999999999924,-325.99999999998187,,-2412.9999999999623
2021.09.28,-439.99999999999596,-1139.00000000001,-764.9999999999934,-377.9999999999894,,-2721.9999999999886
2021.09.28,-434.9999999999965,-1131.0000000000002,-790.9999999999861,-402.9999999999978,,-2759.9999999999804
2021.09.28,-449.9999999999948,-1200.9999999999934,-767.9999999999909,-370.999999999988,,-2789.9999999999673
2021.09.28,-452.99999999999227,-1182.0000000000164,-787.0000000000043,-470.9999999999992,,-2893.000000000012
2021.09.28,-463.9999999999977,-1219.9999999999989,-800.0000000000007,-441.99999999998687,,-2925.999999999984
2021.09.28,-434.9999999999965,-1230.0000000000182,-715.9999999999833,-371.99999999999454,,-2752.9999999999923
2021.09.28,-461.0000000000003,-1295.9999999999923,-802.9999999999982,-461.99999999998465,,-3021.9999999999754
2021.09.28,-461.99999999999574,-1254.000000000019,-778.9999999999964,-327.99999999999494,,-2823.000000000006
2021.09.28,-475.99999999999864,-1215.0000000000034,-679.9999999999917,53.999999999998494,,-2316.999999999995
2021.09.28,-410.9999999999947,-998.0000000000189,-632.9999999999947,182.99999999999983,,-1859.0000000000084
2021.09.28,-323.99999999999096,-936.000000000007,-571.9999999999948,252.0000000000078,,-1579.999999999985
2021.09.28,-285.9999999999974,-814.9999999999977,-498.9999999999828,364.00000000000875,,-1235.999999999969
2021.09.28,-331.999999999999,-931.0000000000116,-631.0000000000038,357.00000000000733,,-1537.0000000000068
2021.09.28,-312.00000000000114,-891.0000000000196,-625.9999999999932,511.000000000017,,-1317.9999999999968
2021.09.28,-171.99999999999437,-653.00000000002,-492.0000000000035,704.0000000000157,,-613.000000000002
2021.09.28,-45.99999999999049,-456.99999999999363,-479.99999999999153,734.0000000000124,,-248.99999999996328
2021.09.28,121.99999999999989,-349.9999999999943,-392.9999999999989,825.0000000000091,,204.0000000000157
2021.09.28,112.000000000001,-405.00000000000114,-424.99999999998647,714.0000000000147,,-3.9999999999719194
2021.09.28,182.99999999999983,-312.0000000000118,-438.9999999999894,741.9999999999982,,173.99999999999682
2021.09.28,292.9999999999988,-195.99999999999795,-444.9999999999843,839.0000000000119,,491.0000000000285
2021.09.28,469.0000000000083,115.99999999998545,-218.99999999999142,829.0000000000131,,1195.0000000000155
2021.09.28,411.0000000000058,121.99999999998568,-370.00000000000364,618.0000000000074,,780.9999999999952
