date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2018.08.13,-82.99999999999974,-4.000000000004,-168.99999999999693,-36.999999999998145,-275.000000000003,-262.00000000000665,-296.0000000000065,-153.00000000000313,-151.00000000000114,-14.999999999998348,-184.99999999999073,-56.99999999999594,-107.00000000001265,-108.00000000001918,0.0,-162.00000000000614,-126.99999999999534,-107.99999999999699,-169.99999999999238,,-2469.000000000027
2018.08.13,-44.99999999999504,55.000000000005045,-147.99999999999613,-33.00000000001635,-215.00000000000963,-204.00000000000418,-301.00000000000193,-153.99999999999858,-147.99999999999258,-4.999999999999449,-210.99999999998343,-92.99999999998754,-59.99999999999339,-108.00000000001918,108.00000000000409,-185.00000000000227,-216.99999999999875,-119.99999999999788,-183.99999999999528,,-2267.9999999999823
2018.08.13,-27.999999999994696,100.99999999999554,-319.0000000000026,73.99999999999629,-360.0000000000048,-371.00000000001023,-433.00000000000693,-243.00000000000432,-200.00000000000017,2.000000000002,-251.99999999998556,-112.000000000001,-127.99999999999478,-96.00000000000719,148.00000000001035,-379.99999999999545,-322.00000000000273,-119.00000000000244,-173.9999999999964,,-3212.000000000005
2018.08.13,-17.000000000000348,252.0000000000078,-207.00000000000784,102.00000000000209,-285.00000000000193,-323.0000000000066,-406.0000000000059,-208.00000000000819,-231.99999999999886,27.999999999994696,-218.99999999999142,-5.999999999994898,-103.99999999999298,10.999999999983245,217.00000000001296,-308.9999999999975,-370.00000000000455,-125.99999999999278,-259.9999999999936,,-2461.9999999999964
2018.08.13,-24.000000000001798,258.99999999998704,-242.00000000000443,163.00000000000205,-391.9999999999924,-446.9999999999974,-430.0000000000068,-306.00000000000625,-273.9999999999965,53.999999999998494,-202.9999999999976,-69.9999999999923,-178.00000000001148,-30.0000000000189,291.000000000011,-411.00000000000136,-393.99999999999125,-175.99999999999838,-243.99999999999977,,-3054.000000000018
2018.08.13,56.0000000000005,165.9999999999995,-265.00000000000057,96.99999999999153,-408.00000000000836,-480.00000000001376,-358.0000000000041,-307.0000000000017,-274.9999999999919,71.99999999999429,-170.99999999998784,-83.9999999999952,-164.00000000000858,-12.000000000012001,262.00000000000045,-394.00000000000546,-379.0000000000049,-166.99999999999494,-242.99999999999324,,-3054.000000000036
2018.08.13,103.00000000000864,99.99999999998899,-289.0000000000015,31.000000000003247,-347.9999999999928,-449.0000000000105,-320.0000000000074,-253.0000000000032,-235.99999999999176,90.0000000000012,-127.99999999999478,-19.999999999997797,-153.00000000000313,66.99999999999484,233.0000000000041,-305.0000000000068,-320.99999999999795,-117.99999999999588,-202.9999999999976,,-2519.0000000000005
2018.08.13,100.00000000000009,69.00000000000794,-266.9999999999959,25.999999999992696,-320.00000000000915,-421.0000000000047,-288.0000000000109,-190.00000000000128,-247.99999999999267,43.999999999999595,-78.00000000000028,93.00000000000975,-103.00000000000864,126.99999999998823,126.00000000000477,-222.99999999999898,-246.9999999999999,-19.00000000000235,-230.99999999999233,,-2050.000000000014
2018.08.13,70.99999999999883,58.000000000002494,-76.00000000000762,21.999999999988695,-273.9999999999965,-297.0000000000139,-145.00000000001023,-153.99999999999858,-273.9999999999965,-52.000000000007596,-109.00000000000354,119.00000000000244,-8.999999999992347,46.999999999997044,59.00000000001171,-61.00000000000705,-240.99999999999966,-24.999999999997247,-285.00000000000193,,-1626.000000000031
2018.08.13,19.00000000000235,22.999999999995246,40.99999999999682,-6.000000000017103,-205.99999999999508,-251.00000000000122,-36.000000000001364,-97.9999999999981,-243.99999999999977,-14.000000000002899,-104.99999999999955,180.0000000000024,1.999999999990898,108.99999999998133,-125.0,69.99999999999318,-134.00000000000034,35.00000000000725,-287.9999999999994,,-1028.0000000000452
2018.08.13,-7.0000000000014495,38.0000000000047,141.9999999999959,-5.000000000010552,-178.00000000001148,-173.00000000000094,-37.00000000000614,-74.00000000000739,-219.99999999999798,-9.999999999998899,-153.9999999999875,195.00000000001182,-22.0000000000109,80.99999999999774,-137.99999999999102,105.00000000000398,-102.00000000000387,9.999999999998899,-291.99999999999227,,-841.0000000000074
2018.08.13,-48.99999999999905,87.99999999999919,167.99999999999216,-57.00000000001815,-123.00000000000644,-137.9999999999937,-52.00000000000671,-38.0000000000047,-186.99999999999272,0.0,-195.9999999999962,214.00000000000307,-69.9999999999923,123.99999999999079,-179.9999999999926,128.0000000000001,-78.00000000000296,-5.999999999994898,-287.9999999999994,,-740.0000000000146
2018.08.13,-56.99999999999594,96.99999999999153,228.9999999999992,-48.000000000003595,-116.00000000000499,-116.00000000000499,-9.000000000000341,8.999999999992347,-153.99999999999858,5.999999999994898,-185.99999999999727,267.0000000000172,-68.00000000000139,176.99999999998272,-181.99999999998795,203.00000000000296,-18.999999999991246,23.00000000000635,-302.0000000000023,,-246.00000000000136
2018.08.13,-31.999999999998696,146.00000000000168,131.9999999999908,12.999999999996348,-200.00000000000017,-191.00000000000784,-75.00000000000284,-108.00000000000809,-168.00000000000148,-8.000000000008,-190.00000000000128,146.00000000000168,-46.999999999997044,34.000000000000696,-109.99999999999943,54.000000000002046,-60.000000000002274,-57.99999999999139,-232.99999999999432,,-955.0000000000196
