date,GBPUSD,EURCHF,GBPJPY,GBPCAD,CADJPY,AUDJPY,empty,sum
2017.10.02,-100.99999999999554,-164.99999999999292,-18.000000000000682,-120.99999999999334,-87.0000000000033,-52.99999999999727,,-544.9999999999831
2017.10.02,-107.99999999999699,-160.00000000000458,-8.000000000009777,-160.00000000000458,-155.00000000000114,-52.99999999999727,,-644.0000000000143
2017.10.02,-326.0000000000041,-161.99999999999548,87.99999999999386,-76.0000000000094,-275.0000000000057,-217.9999999999893,,-969.00000000001
2017.10.02,-317.9999999999961,-163.00000000000205,468.9999999999941,147.00000000000824,-272.99999999999613,-254.99999999999545,,-392.9999999999874
2017.10.02,-286.00000000000847,-154.0000000000097,436.9999999999834,79.00000000000685,-314.00000000000716,-254.99999999999545,,-493.0000000000306
2017.10.02,-279.00000000000705,-129.00000000000134,412.00000000000614,75.00000000000284,-311.9999999999976,-250.0,,-482.99999999999704
2017.10.02,-262.00000000000665,-119.00000000000244,329.00000000000773,116.00000000000499,-302.0000000000067,-241.99999999999022,,-479.9999999999933
2017.10.02,-208.00000000000819,-73.00000000001194,360.99999999999,62.000000000006494,-323.99999999999807,-328.9999999999935,,-511.00000000001523
2017.10.02,-83.00000000001084,-100.99999999999554,425.9999999999877,-14.000000000002899,-364.0000000000043,-348.99999999998954,,-485.0000000000154
2017.10.02,8.999999999992347,-130.0000000000079,346.00000000000364,-19.999999999997797,-364.0000000000043,-305.9999999999974,,-465.0000000000114
2017.10.02,14.999999999987246,-45.000000000006146,335.00000000000796,-32.999999999994145,-304.00000000000205,-198.99999999999807,,-231.00000000000517
2017.10.02,-19.999999999997797,-35.00000000000725,382.99999999998136,2.999999999997449,-320.0000000000074,-149.0000000000009,,-138.00000000003456
2017.10.02,0.0,-36.0000000000138,401.9999999999868,38.99999999998904,-308.9999999999975,-135.99999999999568,,-40.00000000003115
2017.10.02,-26.0000000000149,-56.99999999999594,360.99999999999,-5.999999999994898,-301.00000000000193,-143.99999999999125,,-173.00000000000892
2017.10.02,-56.000000000011596,-48.000000000003595,406.0000000000059,38.0000000000047,-319.0000000000026,-179.00000000000205,,-158.0000000000092
2017.10.02,-53.999999999998494,-45.000000000006146,408.9999999999918,69.9999999999923,-290.9999999999968,-197.9999999999933,,-109.00000000001069
2017.10.02,-26.999999999999247,-72.0000000000054,403.99999999999636,70.99999999999883,-311.00000000000705,-217.9999999999893,,-153.0000000000058
2017.10.02,65.00000000000395,-48.000000000003595,349.9999999999943,29.999999999996696,-293.00000000000637,-158.99999999999181,,-55.00000000000682
2017.10.02,52.99999999999194,-34.000000000000696,340.0000000000034,14.000000000002899,-307.00000000000216,-167.0000000000016,,-101.0000000000062
2017.10.02,85.99999999998609,-28.000000000005798,286.00000000000136,-36.999999999998145,-296.99999999999704,-156.99999999999648,,-147.00000000001
