date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2018.08.13,-158.99999999999804,-144.99999999999514,-144.99999999999514,0.0,-29.999999999996696,-66.99999999999484,0.0,0.0,-39.00000000000014,-101.00000000000664,-78.00000000000028,-8.000000000009777,-5.000000000010552,-278.00000000000045,-76.0000000000094,-163.0000000000109,-39.00000000000148,-58.000000000006935,-36.0000000000027,-21.999999999999797,,-1449.0000000000389
2018.08.13,-53.999999999998494,-194.0000000000053,-144.99999999999514,40.99999999999682,-175.99999999999838,42.999999999993044,90.99999999999665,170.0000000000017,78.00000000000028,0.999999999995449,-53.999999999998494,135.99999999999568,-55.000000000005045,-102.00000000000209,-110.99999999999443,-236.0000000000042,102.00000000000387,54.000000000002046,-18.0000000000069,9.999999999998899,,-419.0000000000239
2018.08.13,-121.00000000000443,-289.0000000000059,-238.0000000000049,67.00000000000728,-154.99999999999403,69.00000000000794,156.00000000000057,69.00000000000261,89.00000000000574,57.99999999999139,-88.99999999999464,181.99999999998795,5.999999999994898,-224.000000000002,-82.99999999998863,-393.0000000000007,123.00000000000466,112.99999999999955,-29.000000000001247,43.999999999999595,,-644.9999999999943
2018.08.13,-16.0000000000049,-282.9999999999888,-279.99999999999136,124.00000000000944,-174.99999999999181,217.0000000000005,273.9999999999965,301.00000000000193,123.00000000000644,117.99999999999588,-73.99999999999629,399.0000000000009,102.99999999998644,-187.00000000000384,53.999999999998494,-322.00000000000273,185.00000000000227,201.99999999999818,36.999999999998145,129.9999999999968,,930.0000000000123
2018.08.13,-70.99999999999883,-391.000000000008,-397.99999999998727,162.00000000000614,-234.99999999998522,212.99999999999653,276.9999999999939,308.00000000000693,180.0000000000024,178.00000000000037,-113.99999999999189,449.99999999998863,85.99999999998609,-55.000000000005045,55.000000000005045,-382.000000000005,281.0000000000059,292.99999999999216,90.0000000000012,168.00000000000148,,1095.0000000000055
2018.08.13,-136.99999999999824,-323.0000000000066,-347.9999999999928,177.0000000000067,-198.99999999999363,310.9999999999946,371.99999999999454,240.0000000000091,229.00000000000142,219.99999999999798,-105.99999999999498,377.9999999999859,58.000000000002494,-36.999999999998145,45.000000000006146,-368.9999999999998,248.99999999999523,263.9999999999958,75.9999999999983,161.99999999999548,,1261.9999999999995
2018.08.13,-191.00000000000784,-214.00000000000307,-278.00000000000045,177.99999999999727,-130.99999999999224,276.00000000000955,364.00000000000875,214.00000000001285,164.00000000000858,161.00000000000003,-148.99999999999915,306.99999999998795,22.999999999995246,-200.00000000000017,78.00000000000028,-323.0000000000075,144.99999999999602,174.99999999999716,-4.000000000004,91.99999999999208,,686.9999999999912
2018.08.13,-187.00000000000384,-164.00000000000858,-215.99999999999397,58.000000000006935,-143.99999999998857,205.00000000001074,242.00000000000887,124.00000000000944,84.0000000000063,161.00000000000003,-117.00000000000044,106.99999999999932,-4.000000000004,-236.99999999999832,-53.999999999998494,-308.00000000000693,-13.00000000000523,156.99999999999648,-60.99999999999994,88.99999999999464,,-277.9999999999755
2018.08.13,-139.00000000000023,-157.00000000000713,-129.99999999998568,-49.99999999999716,-90.99999999999665,188.00000000001037,165.9999999999995,17.000000000010118,78.00000000000028,190.00000000000128,-70.99999999999883,-42.00000000000159,-16.000000000016,-313.00000000000773,-147.99999999999258,-154.00000000001057,-75.9999999999934,96.9999999999942,-65.99999999999939,181.9999999999933,,-534.999999999998
2018.08.13,-121.00000000000443,-126.99999999998823,-127.99999999999478,-256.9999999999908,-92.00000000000318,106.00000000000608,107.99999999999699,-144.99999999999602,-25.999999999992696,146.99999999999713,-78.00000000000028,-304.00000000000205,-36.0000000000138,-398.00000000000944,-141.99999999999767,-67.00000000000728,-322.00000000000273,-76.99999999999818,-147.00000000000824,169.99999999999238,,-1936.0000000000173
