date,USDCHF,EURUSD,EURGBP,empty,sum
2015.04.20,66.99999999999484,42.0000000000087,-7.0000000000014495,,102.00000000000209
2015.04.20,71.99999999999429,18.0000000000069,-26.000000000003798,,63.9999999999974
2015.04.20,-80.00000000000229,-124.99999999999733,-58.99999999999794,,-263.99999999999756
2015.04.20,-126.99999999999933,-154.99999999999403,-41.9999999999976,,-323.99999999999096
2015.04.20,-7.0000000000014495,-45.99999999999049,-44.99999999999504,,-97.99999999998698
2015.04.20,0.0,-11.999999999989797,-16.0000000000049,,-27.999999999994696
2015.04.20,0.0,19.00000000001345,-36.999999999998145,,-17.999999999984695
2015.04.20,-26.999999999999247,-13.999999999980695,-48.99999999999905,,-89.999999999979
2015.04.20,17.000000000000348,36.0000000000138,-60.00000000000449,,-6.999999999990344
2015.04.20,-140.0000000000068,-160.99999999998892,-114.00000000000298,,-414.99999999999864
2015.04.20,-100.00000000000009,-95.999999999985,-111.00000000000554,,-306.9999999999906
2015.04.20,-134.0000000000008,-124.99999999999733,-104.00000000000409,,-363.0000000000022
2015.04.20,-114.00000000000298,-81.9999999999821,-83.9999999999952,,-279.9999999999803
2015.04.20,-208.00000000000819,-222.99999999999542,-126.99999999999933,,-558.000000000003
2015.04.20,-142.00000000000878,-165.9999999999995,-121.99999999999989,,-430.0000000000082
2015.04.20,-236.00000000000287,-331.999999999999,-177.00000000000495,,-745.0000000000068
2015.04.20,-226.00000000000398,-324.9999999999975,-178.99999999999582,,-729.9999999999973
2015.04.20,-197.99999999999818,-300.99999999999574,-172.00000000000549,,-670.9999999999994
2015.04.20,-136.00000000000279,-192.99999999999872,-80.99999999999774,,-409.9999999999992
2015.04.20,107.99999999999699,-162.99999999997982,-48.000000000003595,,-102.99999999998643
2015.04.20,88.99999999999464,-290.9999999999968,-94.00000000000519,,-296.00000000000733
2015.04.20,101.99999999999099,-285.99999999998624,-170.99999999999892,,-354.9999999999942
2015.04.20,-43.999999999999595,-298.9999999999826,-231.99999999999886,,-574.9999999999811
2015.04.20,-289.0000000000059,-561.9999999999958,-309.99999999999915,,-1161.000000000001
2015.04.20,-558.000000000003,-729.9999999999862,-258.9999999999981,,-1546.9999999999873
2015.04.20,-539.0000000000006,-580.999999999987,-221.99999999999997,,-1341.9999999999877
2015.04.20,-506.0000000000064,-489.99999999999045,-214.00000000000307,,-1210.0
2015.04.20,-817.000000000001,-831.9999999999883,-333.0000000000055,,-1981.9999999999948
2015.04.20,-677.0000000000053,-695.0000000000011,-312.00000000000114,,-1684.0000000000075
