date,USDCHF,EURUSD,EURGBP,empty,sum
2015.04.20,0.0,0.0,-36.999999999998145,,-36.999999999998145
2015.04.20,39.999999999995595,-7.0000000000014495,-39.00000000000014,,-6.000000000005997
2015.04.20,-94.00000000000519,-125.99999999998168,-60.99999999999994,,-280.9999999999868
2015.04.20,-130.0000000000079,-154.99999999999403,-63.00000000000195,,-348.00000000000387
2015.04.20,-182.99999999999983,-204.99999999998852,-78.99999999999574,,-466.9999999999841
2015.04.20,-50.0000000000056,-88.99999999998354,-48.000000000003595,,-186.99999999999272
2015.04.20,-75.00000000000284,-83.9999999999952,-60.99999999999994,,-219.99999999999798
2015.04.20,-26.999999999999247,-17.999999999984695,-60.99999999999994,,-105.99999999998388
2015.04.20,-70.0000000000034,-17.000000000000348,-63.00000000000195,,-150.00000000000568
2015.04.20,-168.00000000000148,-173.00000000000094,-121.99999999999989,,-463.0000000000023
2015.04.20,-164.00000000000858,-173.99999999998528,-124.99999999999733,,-462.9999999999912
2015.04.20,-148.99999999999915,-129.00000000000134,-117.99999999999588,,-395.99999999999636
2015.04.20,-141.00000000000225,-136.99999999998712,-107.99999999999699,,-385.99999999998636
2015.04.20,-224.000000000002,-224.99999999998633,-129.00000000000134,,-577.9999999999897
2015.04.20,-217.0000000000005,-236.99999999999832,-141.00000000000225,,-595.0000000000011
2015.04.20,-269.00000000000813,-381.99999999999346,-199.00000000000472,,-850.0000000000064
2015.04.20,-317.0000000000006,-424.99999999998647,-204.99999999999963,,-946.9999999999867
2015.04.20,-265.0000000000041,-364.9999999999931,-204.00000000000418,,-834.0000000000015
2015.04.20,-253.99999999999866,-344.99999999999534,-195.00000000000074,,-793.9999999999948
2015.04.20,-164.00000000000858,-253.99999999999866,-104.00000000000409,,-522.0000000000114
2015.04.20,-43.999999999999595,-395.99999999999636,-153.00000000000313,,-592.9999999999991
2015.04.20,0.999999999995449,-332.9999999999833,-178.99999999999582,,-510.99999999998363
2015.04.20,-81.00000000000884,-341.99999999999784,-280.9999999999979,,-704.0000000000045
2015.04.20,-307.0000000000017,-609.9999999999994,-321.0000000000046,,-1238.0000000000057
2015.04.20,-594.0000000000057,-748.9999999999997,-312.00000000000114,,-1655.0000000000066
2015.04.20,-604.0000000000045,-752.9999999999815,-280.00000000000244,,-1636.9999999999884
2015.04.20,-606.0000000000065,-629.9999999999973,-290.9999999999968,,-1527.0000000000005
2015.04.20,-856.0000000000013,-861.999999999985,-383.0,,-2100.9999999999864
2015.04.20,-848.0000000000043,-844.0000000000003,-351.0000000000013,,-2043.000000000006
2015.04.20,-795.0000000000013,-863.9999999999981,-349.99999999999477,,-2008.999999999994
2015.04.20,-830.0000000000085,-968.9999999999976,-338.00000000000495,,-2137.000000000011
2015.04.20,-614.9999999999989,-781.9999999999939,-221.99999999999997,,-1618.9999999999927
2015.04.20,-490.00000000000153,-781.9999999999939,-219.99999999999798,,-1491.9999999999934
2015.04.20,-470.00000000000375,-848.9999999999886,-234.99999999999633,,-1553.9999999999886
2015.04.20,-351.0000000000013,-814.999999999988,-214.00000000000307,,-1379.9999999999923
2015.04.20,-360.0000000000048,-670.9999999999993,-146.00000000000168,,-1177.0000000000057
2015.04.20,-404.99999999999983,-568.9999999999973,-158.0000000000026,,-1131.9999999999995
