,names,week,needed_features,accuracy
0,USDCHF,10,['GBPCHF'],80.0
1,AUDUSD,15,"['GBPAUD', 'AUDCAD', 'AUDJPY', 'EURAUD', 'EURCAD', 'EURGBP', 'GBPCAD']",100.0
2,NZDUSD,10,['GBPAUD'],100.0
3,GBPCHF,10,"['EURUSD', 'USDJPY']",80.0
4,EURCHF,20,"['EURGBP', 'NZDJPY']",100.0
5,CADCHF,10,['EURGBP'],80.0
6,AUDCHF,10,['EURGBP'],100.0
7,NZDCHF,10,['GBPAUD'],100.0
8,GBPCAD,20,"['EURAUD', 'EURCAD', 'EURCHF', 'GBPCAD', 'CADJPY', 'AUDCHF']",100.0
9,GBPAUD,10,"['EURGBP', 'AUDCAD']",80.0
10,EURJPY,10,"['EURGBP', 'GBPJPY']",80.0
11,EURAUD,10,['USDCHF'],80.0
12,EURNZD,10,['GBPAUD'],100.0
13,CADJPY,10,['EURGBP'],80.0
14,AUDJPY,10,"['EURGBP', 'GBPJPY']",80.0
15,NZDJPY,10,"['EURGBP', 'AUDCAD', 'GBPAUD']",100.0
16,AUDCAD,10,"['AUDCAD', 'GBPAUD']",80.0
17,NZDCAD,10,"['AUDUSD', 'NZDJPY', 'USDCHF']",100.0
18,AUDNZD,10,"['AUDUSD', 'NZDCHF', 'EURUSD', 'USDJPY', 'USDCAD', 'NZDUSD', 'NZDCAD', 'EURNZD']",100.0
