date,EURUSD,USDCAD,AUDUSD,EURCHF,AUDCHF,AUDCAD,NZDCAD,empty,sum
2019.11.18,-11.00000000000545,-25.00000000000835,-36.999999999998145,-222.99999999999542,-117.99999999999588,-68.99999999999685,-116.00000000000499,,-599.0000000000051
2019.11.18,-15.00000000000945,-4.000000000004,-36.999999999998145,-195.9999999999962,-111.99999999998988,-65.00000000000395,-109.00000000000354,,-538.0000000000051
2019.11.18,-26.999999999999247,-11.00000000000545,-39.999999999995595,-185.99999999999727,-108.99999999999244,-65.00000000000395,-70.99999999999883,,-508.99999999999284
2019.11.18,-35.00000000000725,-12.999999999996348,-48.99999999999905,-151.9999999999966,-88.99999999999464,-75.9999999999983,-73.00000000000084,,-486.999999999993
2019.11.18,-53.999999999998494,12.999999999996348,-51.000000000001044,-184.00000000000637,-102.99999999999754,-83.9999999999952,-78.00000000000028,,-541.0000000000025
2019.11.18,-58.000000000002494,-19.999999999997797,-81.9999999999932,-181.9999999999933,-124.99999999999733,-117.00000000000044,-104.99999999999955,,-688.9999999999841
2019.11.18,-65.00000000000395,-28.999999999990145,-69.9999999999923,-205.99999999999508,-127.99999999999478,-98.99999999999353,-72.0000000000054,,-668.9999999999752
2019.11.18,-76.0000000000094,-45.000000000006146,-61.999999999995396,-246.99999999999721,-134.99999999999625,-58.99999999999794,-38.0000000000047,,-662.000000000007
2019.11.18,-99.00000000000463,-72.0000000000054,-78.99999999999574,-266.0000000000107,-151.9999999999966,-71.99999999999429,-21.00000000000435,,-761.0000000000117
2019.11.18,-113.00000000000753,-55.000000000005045,-63.99999999999739,-283.000000000011,-136.99999999999824,-59.99999999999339,-26.000000000003798,,-738.0000000000163
2019.11.18,-120.99999999999334,-55.99999999998939,-68.00000000000139,-289.0000000000059,-141.99999999999767,-70.0000000000034,-60.99999999999994,,-806.9999999999911
2019.11.18,-130.0000000000079,-68.00000000000139,-58.99999999999794,-295.0000000000008,-131.99999999999878,-49.99999999999449,-63.00000000000195,,-797.0000000000032
2019.11.18,-134.00000000001188,-52.000000000007596,-18.999999999991246,-283.99999999999534,-77.99999999998919,-9.00000000000345,-61.999999999995396,,-637.9999999999941
2019.11.18,-110.99999999999443,-43.999999999999595,4.999999999999449,-278.00000000000045,-68.99999999999685,26.999999999999247,-36.0000000000027,,-505.9999999999952
2019.11.18,-113.00000000000753,-42.0000000000087,4.000000000004,-302.0000000000023,-76.99999999999375,24.999999999997247,-33.000000000005244,,-538.0000000000161
2019.11.18,-117.00000000001154,-49.00000000001015,-5.999999999994898,-320.9999999999935,-97.9999999999981,19.999999999997797,-26.999999999999247,,-598.0000000000095
2019.11.18,-110.99999999999443,-56.99999999999594,-0.999999999995449,-337.0000000000095,-115.99999999999389,24.000000000001798,-24.000000000001798,,-621.9999999999892
2019.11.18,-130.0000000000079,-113.99999999999189,-52.99999999999194,-368.00000000001273,-172.99999999998983,-10.999999999994348,-46.00000000000159,,-894.9999999999902
2019.11.18,-168.0000000000126,-123.99999999999079,-80.99999999999774,-392.00000000001455,-184.99999999999073,-41.000000000002146,-100.99999999999554,,-1092.000000000004
2019.11.18,-133.00000000000534,-112.000000000001,-53.999999999998494,-302.0000000000023,-129.9999999999968,-17.000000000000348,-94.00000000000519,,-842.0000000000094
2019.11.18,-151.00000000001222,-100.99999999999554,-80.99999999999774,-373.00000000000114,-170.99999999999892,-49.99999999999449,-150.00000000000568,,-1077.0000000000057
2019.11.18,-144.0000000000108,-79.99999999999119,-52.99999999999194,-375.9999999999986,-163.99999999999747,-34.99999999999615,-124.99999999999733,,-976.9999999999834
2019.11.18,-165.9999999999995,-69.9999999999923,-39.999999999995595,-312.00000000000114,-112.99999999999643,-31.999999999998696,-141.00000000000225,,-873.999999999986
2019.11.18,-164.00000000000858,-69.00000000000794,-41.000000000002146,-395.99999999999636,-157.99999999999147,-24.999999999997247,-102.99999999999754,,-956.0000000000013
2019.11.18,-160.00000000000458,-76.0000000000094,-39.999999999995595,-422.00000000001125,-177.99999999998929,-14.000000000002899,-104.00000000000409,,-994.000000000017
