,names,week,needed_features,accuracy
0,GBPUSD,10,"['CHFJPY', 'AUDJPY']",80.0
1,EURUSD,10,['USDCHF'],100.0
2,USDCAD,50,"['EURGBP', 'EURCAD', 'EURNZD', 'CHFJPY', 'EURAUD', 'NZDCHF', 'EURCHF']",80.0
3,AUDUSD,10,['USDCHF'],100.0
4,NZDUSD,15,['EURGBP'],80.0
5,GBPCHF,10,['NZDJPY'],80.0
6,EURCHF,20,"['NZDCAD', 'EURNZD']",80.0
7,CHFJPY,10,['AUDNZD'],80.0
8,AUDCHF,10,"['USDJPY', 'CADJPY']",80.0
9,EURGBP,10,['NZDJPY'],80.0
10,GBPJPY,15,"['USDJPY', 'EURGBP']",80.0
11,GBPAUD,20,"['USDJPY', 'CHFJPY', 'AUDJPY', 'EURCHF', 'EURUSD', 'AUDUSD', 'AUDCAD']",80.0
12,EURJPY,10,['USDCHF'],100.0
13,CADJPY,10,['EURCHF'],100.0
14,AUDJPY,10,['AUDNZD'],80.0
15,AUDCAD,15,['EURCAD'],80.0
16,NZDCAD,30,"['AUDCHF', 'USDJPY']",80.0
17,AUDNZD,10,"['EURNZD', 'NZDCHF', 'USDJPY', 'NZDJPY', 'EURAUD']",80.0
