date,USDCHF,EURUSD,USDJPY,EURCHF,CHFJPY,CADCHF,NZDCHF,GBPJPY,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,empty,sum
2021.03.22,-78.00000000000028,-73.99999999999629,-223.99999999998954,-15.00000000000945,-45.99999999999227,-60.00000000000449,-20.999999999993246,-108.00000000000409,-92.00000000000318,-150.99999999999002,-127.99999999999478,-224.00000000000375,-155.9999999999917,-251.99999999999534,-48.99999999999905,,-1677.9999999999677
2021.03.22,-73.00000000000084,15.00000000000945,-262.999999999991,-18.0000000000069,260.0000000000051,-63.99999999999739,65.00000000000395,263.00000000000523,-29.00000000001235,21.00000000000435,-93.00000000000975,-271.0000000000008,195.0000000000074,-299.99999999999716,-68.00000000000139,,-359.99999999998204
2021.03.22,-80.99999999999774,15.00000000000945,-229.99999999998977,26.999999999999247,246.00000000000932,-111.00000000000554,102.00000000000209,288.99999999998727,-60.99999999999994,3.0000000000196536,-126.0000000000039,-280.9999999999917,201.99999999999818,-319.0000000000026,-70.0000000000034,,-394.9999999999694
2021.03.22,-112.000000000001,-11.999999999989797,-259.00000000000034,34.000000000000696,217.00000000001296,-129.00000000000134,97.00000000000264,191.0000000000025,-137.00000000000932,-19.999999999997797,-110.99999999999443,-295.0000000000017,189.99999999999773,-323.99999999999807,-63.00000000000195,,-732.9999999999793
2021.03.22,-92.99999999999864,5.999999999994898,-220.99999999998943,28.999999999990145,226.0000000000133,-124.99999999999733,102.99999999999754,222.0000000000084,-121.00000000001555,-19.999999999997797,-211.00000000000563,-275.99999999999625,194.00000000000261,-350.9999999999991,-129.9999999999968,,-767.9999999999895
2021.03.22,-93.99999999999409,11.999999999989797,-243.99999999999977,48.99999999998794,228.00000000000864,-112.99999999999643,104.00000000000409,216.00000000000819,-169.00000000001913,-12.999999999996348,-137.00000000000932,-287.9999999999967,189.99999999999773,-334.0000000000032,-90.0000000000012,,-683.0000000000198
2021.03.22,-170.99999999999892,-78.00000000000028,-251.99999999999534,46.999999999997044,115.99999999999966,-126.99999999999933,45.000000000006146,32.00000000001069,-193.00000000002092,-15.999999999993797,-25.999999999992696,-271.99999999999136,2.0000000000095497,-272.00000000000557,-29.000000000001247,,-1193.9999999999761
2021.03.22,-151.9999999999966,-48.000000000003595,-283.9999999999918,37.99999999998249,162.00000000000614,-124.99999999999733,46.999999999997044,75.9999999999934,-234.00000000000088,-17.999999999984695,48.99999999998794,-283.9999999999918,17.000000000010118,-245.00000000000455,4.999999999999449,,-995.9999999999947
2021.03.22,-92.99999999999864,15.00000000000945,-217.9999999999893,20.999999999982144,215.0000000000034,-121.99999999999989,73.00000000000084,139.00000000001,-233.00000000001654,-48.99999999998794,-15.00000000000945,-269.999999999996,81.00000000000307,-240.99999999999966,4.999999999999449,,-691.9999999999891
2021.03.22,-57.99999999999139,35.00000000000725,-182.99999999999272,28.999999999990145,199.00000000001228,-133.00000000000534,41.000000000002146,67.00000000000728,-264.0000000000198,-57.99999999998029,-5.000000000010552,-286.00000000000136,85.99999999999852,-239.99999999999488,26.000000000003798,,-743.999999999975
2021.03.22,-29.000000000001247,86.99999999999264,-106.99999999999932,38.99999999998904,173.00000000000182,-126.99999999999933,62.000000000006494,75.9999999999934,-255.00000000000523,-45.99999999999049,18.0000000000069,-246.9999999999999,72.00000000000273,-198.0000000000075,17.000000000000348,,-465.00000000000966
2021.03.22,-22.999999999995246,112.000000000001,-125.0,27.999999999983594,201.00000000000762,-155.00000000000514,55.000000000005045,138.00000000000523,-265.0000000000041,-73.99999999999629,4.999999999988347,-295.0000000000017,131.00000000000023,-239.00000000000432,23.00000000000635,,-483.0000000000094
