date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCAD,NZDJPY,empty,sum
2015.08.17,-60.00000000000449,-45.99999999999049,-120.00000000000455,-30.0000000000189,-55.000000000005045,-29.99999999997449,-152.9999999999916,,-493.99999999998954
2015.08.17,-85.99999999999719,-61.99999999998429,-103.00000000000864,-37.00000000002035,24.000000000001798,16.000000000016,-36.000000000001364,,-283.999999999994
2015.08.17,-134.99999999999625,-102.00000000000209,-92.00000000001296,-89.00000000000574,-6.0000000000060005,-34.000000000000696,28.000000000005798,,-430.00000000001796
2015.08.17,-128.00000000000588,-113.99999999999189,-112.99999999999955,-83.00000000001084,-9.00000000000345,12.000000000034206,45.000000000001705,,-389.9999999999757
2015.08.17,-146.99999999999713,-190.99999999998562,-114.00000000000432,-79.00000000000685,-42.0000000000087,-44.99999999998394,106.99999999999932,,-510.99999999998715
2015.08.17,-141.99999999999767,-228.99999999999034,-148.00000000001035,-159.00000000002024,-53.999999999998494,-147.99999999999258,91.00000000000819,,-789.0000000000016
2015.08.17,-224.9999999999974,-217.99999999998488,-233.0000000000041,-203.00000000001984,-80.00000000000229,-141.99999999999767,79.9999999999983,,-1021.0000000000078
2015.08.17,-219.00000000000253,-212.99999999999653,-209.00000000000318,-216.00000000001617,-84.0000000000063,-191.99999999997,15.000000000000568,,-1117.999999999994
2015.08.17,-200.00000000000017,-208.99999999999253,-185.00000000000227,-182.99999999999983,-75.00000000000284,-209.9999999999991,28.000000000005798,,-1033.999999999991
2015.08.17,-211.00000000000563,-191.99999999999218,-183.00000000000693,-129.00000000000134,-28.000000000005798,-144.99999999997294,118.99999999999977,,-768.9999999999851
2015.08.17,-192.99999999999872,-209.9999999999991,-208.00000000001262,-193.00000000002092,-43.00000000000415,-160.99999999998892,76.00000000000762,,-932.0000000000167
2015.08.17,-202.9999999999976,-219.99999999999798,-204.00000000000773,-170.00000000000347,-43.999999999999595,-157.99999999996928,52.00000000000671,,-946.999999999969
2015.08.17,-211.00000000000563,-238.0000000000049,-191.0000000000025,-148.00000000001478,25.999999999992696,-175.99999999999838,121.00000000000932,,-817.0000000000241
2015.08.17,-214.00000000000307,-275.000000000003,-205.0000000000125,-197.00000000000273,7.9999999999968985,-228.99999999999034,103.9999999999992,,-1008.0000000000156
2015.08.17,-250.00000000000577,-323.99999999999096,-197.00000000000273,-275.000000000003,-14.000000000002899,-246.99999999997502,94.99999999999886,,-1211.9999999999816
2015.08.17,-241.99999999999778,-286.99999999999284,-185.00000000000227,-260.0000000000158,0.0,-217.0000000000005,91.99999999999875,,-1099.0000000000105
2015.08.17,-214.99999999999852,-248.99999999998812,-168.00000000000637,-231.0000000000034,-11.00000000000545,-370.999999999988,97.00000000000841,,-1147.9999999999814
2015.08.17,-178.00000000000037,-208.99999999999253,-198.0000000000075,-316.0000000000052,8.999999999992347,-457.9999999999807,167.0000000000016,,-1182.9999999999925
2015.08.17,-204.00000000000418,-211.99999999998997,-203.00000000000296,-314.00000000001427,-3.0000000000085514,-770.9999999999884,251.00000000000477,,-1456.0000000000034
