date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.11.15,-91.00000000000774,0.0,0.0,0.0,-111.00000000001664,-63.00000000000195,-102.99999999999754,-307.99999999999716,0.0,0.0,-120.00000000000898,-165.00000000000404,-17.999999999995797,-44.00000000001114,-116.00000000000499,-160.00000000000458,-154.99999999999403,0.0,-153.99999999999636,-175.99999999999838,-197.00000000000273,-63.99999999999739,,-2045.0000000000396
2021.11.15,-102.00000000000209,32.999999999994145,14.000000000002899,43.00000000000637,-158.0000000000137,-58.99999999999794,-87.99999999999919,-310.9999999999946,42.0000000000087,72.0000000000054,-119.00000000000244,-139.99999999999568,0.0,7.999999999981355,-178.99999999999582,-170.00000000000347,-76.0000000000094,3.0000000000001137,-128.99999999999068,-179.99999999999127,-179.00000000000693,-25.999999999992696,,-1700.9999999999973
2021.11.15,-114.00000000000298,73.00000000001194,11.00000000000545,12.000000000000455,-153.00000000000313,-126.99999999999933,-121.00000000000443,-296.9999999999917,39.999999999995595,51.99999999999649,-192.00000000000327,-178.00000000000037,19.999999999997797,-4.9999999999954525,-148.99999999999915,-251.00000000000122,-97.9999999999981,31.999999999996476,-220.99999999998943,-236.99999999999832,-219.00000000000253,100.0000000000112,,-2021.9999999999743
2021.11.15,-107.00000000000153,78.00000000000028,28.000000000005798,73.0000000000075,-130.0000000000079,-106.00000000000608,-122.99999999999534,-286.00000000000847,41.000000000002146,107.00000000000153,-171.00000000001003,-177.00000000000495,24.999999999997247,37.00000000000614,-109.99999999998789,-214.00000000000307,-97.9999999999981,112.99999999999955,-215.99999999999397,-230.99999999999233,-224.000000000002,86.0000000000083,,-1604.9999999999832
2021.11.15,-119.00000000000244,79.99999999999119,2.0000000000131024,17.000000000010118,-201.00000000000674,-96.00000000000719,-80.99999999999774,-313.99999999999204,42.0000000000087,68.99999999999685,-157.00000000000713,-144.99999999999514,33.000000000005244,-7.000000000005002,-201.99999999999108,-174.00000000000747,-15.999999999993797,6.000000000000227,-146.0000000000008,-201.99999999999108,-182.00000000000438,117.00000000001154,,-1675.9999999999652
2021.11.15,-96.00000000000719,78.00000000000028,-12.999999999996348,4.0000000000048885,-206.00000000001728,-106.00000000000608,-92.99999999999864,-280.9999999999979,31.999999999987594,56.0000000000005,-135.00000000000733,-126.0000000000039,29.000000000001247,-7.000000000005002,-207.00000000000162,-153.00000000000313,17.000000000000348,4.0000000000048885,-149.0000000000009,-243.99999999999977,-200.00000000000017,144.0000000000108,,-1652.0000000000346
2021.11.15,-65.99999999999939,117.00000000001154,-8.999999999992347,-33.999999999991815,-197.00000000000273,-106.00000000000608,-68.99999999999685,-270.99999999999903,9.999999999998899,38.0000000000047,-130.0000000000079,-104.99999999999955,31.000000000003247,-27.999999999991587,-190.00000000000128,-153.00000000000313,73.99999999999629,-1.9999999999953388,-137.99999999999102,-249.99999999999466,-182.99999999999983,134.00000000001188,,-1526.9999999999457
2021.11.15,-38.0000000000047,168.0000000000126,-144.99999999999514,-158.00000000000125,-165.00000000001512,-177.00000000000495,-134.0000000000008,-245.99999999999068,-36.999999999998145,-36.0000000000027,-114.00000000000298,-82.99999999999974,30.000000000007798,-24.00000000000091,-296.0000000000074,-119.00000000000244,112.000000000001,-60.99999999999284,-70.99999999999795,-297.9999999999983,-229.99999999999687,171.00000000001003,,-1950.9999999999823
2021.11.15,60.99999999999994,262.999999999991,-184.99999999999073,-137.00000000000045,-90.00000000001229,-214.00000000000307,-165.9999999999995,-211.99999999998997,-42.0000000000087,-39.999999999995595,-116.00000000000499,-73.99999999999629,33.000000000005244,18.000000000000682,-299.99999999998914,-185.00000000001293,51.000000000001044,-25.000000000005684,-114.99999999999488,-310.9999999999946,-234.99999999999633,172.0000000000166,,-1848.9999999999802
2021.11.15,87.99999999999919,235.99999999999176,-143.99999999998857,-88.99999999999864,-43.00000000001525,-192.99999999999872,-144.99999999999514,-158.99999999999804,-51.000000000001044,-0.999999999995449,-87.00000000000374,-51.000000000001044,38.0000000000047,50.99999999998772,-190.99999999998562,-165.00000000001512,79.99999999999119,49.99999999999716,-110.99999999999,-266.999999999995,-187.00000000000384,148.99999999999915,,-1192.0000000000143
