date,USDJPY,EURCHF,CHFJPY,EURGBP,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.19,-27.000000000001023,-58.99999999998684,-90.00000000000341,87.99999999999919,-223.00000000001762,-97.00000000000841,-113.99999999999189,6.000000000017103,-54.99999999999261,-87.99999999999386,-54.00000000000959,-128.99999999999022,,-841.9999999999792
2021.04.19,-27.000000000001023,-69.9999999999923,-49.000000000006594,92.00000000000318,-208.00000000000819,-87.99999999999386,-136.99999999998712,-30.999999999981043,-42.999999999992156,-66.99999999999307,-40.00000000000669,-100.99999999999554,,-768.9999999999544
2021.04.19,-61.00000000000705,-166.99999999998383,3.9999999999906777,79.00000000000685,-328.00000000001717,-82.99999999999841,-141.99999999999767,34.000000000000696,-69.99999999999318,-134.00000000000034,-91.00000000000774,-210.99999999999451,,-1170.0000000000016
2021.04.19,-43.99999999999693,-171.99999999999437,9.000000000000341,82.00000000000429,-379.0000000000182,-78.00000000000296,-175.99999999999838,-7.0000000000014495,-45.99999999999227,-115.99999999999966,-72.0000000000054,-215.99999999999397,,-1214.999999999999
2021.04.19,22.00000000000557,-150.99999999999002,75.9999999999934,117.00000000000044,-279.00000000000705,25.999999999982037,-161.99999999999548,-43.999999999999595,13.00000000000523,-40.99999999999682,-27.00000000001035,-188.9999999999947,,-639.0000000000074
2021.04.19,4.9999999999954525,-142.99999999998204,57.999999999992724,141.00000000000225,-257.0000000000183,7.000000000005002,-184.99999999999073,-139.00000000000023,13.00000000000523,-6.999999999990791,25.999999999992696,-151.9999999999966,,-632.9999999999853
2021.04.19,-13.999999999995794,-121.99999999999989,13.999999999995794,106.00000000000608,-252.0000000000078,-9.000000000014552,-109.99999999998789,36.999999999998145,-40.99999999999682,-99.99999999999432,11.999999999989797,-204.99999999999963,,-684.0000000000069
2021.04.19,28.999999999996362,-85.99999999998609,91.99999999999875,102.00000000000209,-202.00000000001327,116.99999999999022,-62.99999999999084,22.0000000000109,17.000000000010118,-15.999999999991132,30.999999999992145,-165.9999999999995,,-122.99999999998023
2021.04.19,25.99999999999625,-59.99999999999339,159.9999999999966,40.00000000000669,-283.000000000011,222.99999999998477,-25.999999999992696,148.00000000001478,64.99999999999773,-9.999999999990905,18.999999999991246,-209.9999999999991,,92.00000000000091
2021.04.19,81.99999999999363,-25.999999999992696,256.9999999999908,-27.999999999994696,-277.00000000001614,367.999999999995,92.00000000000318,357.00000000000733,94.0000000000083,-21.99999999999136,-50.0000000000056,-249.99999999999466,,597.0000000000031
2021.04.19,112.99999999999955,-34.99999999998504,244.99999999999034,-24.999999999997247,-258.0000000000027,349.9999999999943,107.99999999999699,370.00000000000364,69.00000000000261,-37.9999999999967,-95.00000000000064,-247.99999999999267,,556.0000000000123
2021.04.19,105.00000000000398,-20.999999999982144,198.99999999999807,-57.99999999999139,-318.00000000001825,310.0000000000023,114.99999999999844,381.0000000000091,43.00000000000637,-67.99999999999784,-109.00000000000354,-250.9999999999901,,328.0000000000349
2021.04.19,105.00000000000398,-66.99999999999484,207.9999999999984,-56.99999999999594,-369.0000000000193,266.9999999999959,70.0000000000145,301.0000000000179,40.00000000000625,-54.000000000002046,-114.00000000000298,-233.99999999998977,,96.00000000003206
2021.04.19,84.99999999999375,-54.99999999998284,173.00000000000182,-45.99999999999049,-336.00000000000296,243.99999999999977,73.99999999999629,263.99999999999756,19.000000000005457,-54.000000000002046,-110.00000000001009,-211.99999999998997,,46.000000000016286
2021.04.19,67.99999999999784,-51.99999999998539,131.9999999999908,-97.9999999999981,-428.00000000000614,204.00000000000773,86.0000000000083,421.0000000000047,-12.000000000000455,-152.00000000000102,-178.00000000000037,-289.9999999999903,,-298.9999999999724
2021.04.19,63.99999999999295,-83.9999999999952,152.9999999999916,-136.99999999999824,-501.0000000000181,192.00000000000728,95.00000000000064,375.0000000000142,-25.99999999999625,-138.9999999999958,-157.00000000000713,-263.99999999999756,,-429.0000000000016
2021.04.19,58.9999999999975,-98.99999999998244,155.00000000000114,-128.99999999999022,-531.0000000000148,173.00000000000182,53.999999999998494,351.0000000000124,-13.999999999995794,-134.00000000000034,-115.00000000000954,-270.99999999999903,,-500.99999999998084
2021.04.19,209.00000000000318,-87.99999999999919,234.99999999999943,-100.00000000000009,-491.0000000000192,272.99999999999613,39.00000000001125,414.00000000000324,61.00000000000705,-106.99999999999932,-155.00000000000514,-311.99999999999005,,-21.999999999992667
2021.04.19,179.00000000000205,-102.99999999998644,204.9999999999983,-81.9999999999932,-461.0000000000003,228.00000000000864,34.000000000000696,429.00000000001273,33.00000000000125,-138.9999999999958,-182.99999999999983,-323.99999999999096,,-183.99999999994287
2021.04.19,165.99999999999682,-116.99999999998934,125.0,-36.999999999998145,-492.0000000000035,122.99999999999045,-78.99999999998464,347.0000000000084,27.000000000001023,-164.00000000000148,-194.0000000000053,-348.9999999999993,,-643.999999999985
2021.04.19,262.00000000000045,-170.00000000000347,235.99999999999,14.000000000002899,-424.00000000000216,180.00000000000682,-106.99999999999044,402.9999999999978,82.99999999999841,-153.99999999999636,-221.00000000000452,-393.9999999999944,,-291.999999999995
2021.04.19,506.0000000000002,-127.99999999999478,78.00000000000296,143.00000000000423,-487.99999999999955,50.99999999998772,-387.000000000004,285.00000000000193,161.00000000000136,-173.00000000000182,-363.0000000000022,-497.99999999999847,,-813.0000000000024
