date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2016.06.20,-141.99999999999767,-134.99999999999625,-611.9999999999948,-534.9999999999966,-487.99999999999955,-31.000000000003247,-302.9999999999866,-122.99999999999045,-133.00000000000534,-69.9999999999923,-7.9999999999968985,-58.000000000002494,-85.00000000000173,0.0,0.0,-98.99999999999353,-103.00000000000864,,-2924.999999999966
2016.06.20,128.00000000000588,-169.99999999998127,-670.9999999999923,-459.0000000000094,-419.9999999999982,228.00000000000597,261.0000000000001,-265.99999999999113,-36.999999999998145,148.99999999999915,-15.999999999993797,-125.99999999998168,-43.999999999999595,39.999999999995595,807.0000000000022,-17.999999999995797,-30.000000000007798,,-643.9999999999401
2016.06.20,223.00000000000654,-320.9999999999935,-686.9999999999976,-461.0000000000003,-400.00000000000034,194.0000000000053,274.00000000001864,-444.9999999999932,-124.99999999999733,68.00000000000139,-51.000000000001044,-159.99999999998238,-43.999999999999595,21.00000000000435,472.999999999999,12.000000000000899,-163.00000000000205,,-1591.999999999931
2016.06.20,162.0000000000066,-163.00000000000205,-700.9999999999934,-472.9999999999901,-365.0000000000042,286.99999999999284,246.00000000001288,-298.0000000000018,-146.00000000000168,123.00000000000644,-7.0000000000014495,-4.999999999988347,320.00000000000915,53.999999999998494,533.9999999999918,60.99999999999994,-38.0000000000047,,-408.9999999999699
2016.06.20,66.00000000001049,117.00000000001154,-688.999999999993,-472.00000000000574,-387.99999999999943,310.9999999999946,242.00000000000887,-274.0000000000009,-265.99999999999955,116.00000000000499,21.999999999999797,284.00000000001756,466.9999999999952,124.99999999999733,460.9999999999985,14.000000000002899,110.99999999999443,,247.00000000003774
2016.06.20,-47.9999999999925,160.00000000000458,-677.9999999999973,-522.0000000000002,-458.9999999999983,313.00000000000773,226.99999999999943,-174.99999999999716,-256.99999999999613,111.00000000000554,39.00000000000014,424.00000000000216,784.0000000000069,276.9999999999939,471.00000000000364,-37.99999999999359,117.99999999999588,,747.0000000000448
2016.06.20,-145.9999999999906,640.0000000000183,-653.9999999999964,-425.0000000000087,-474.00000000000773,571.9999999999948,165.00000000001512,54.000000000002046,-236.00000000000287,78.00000000000028,216.0000000000051,1051.0000000000018,1063.0000000000139,422.9999999999956,703.000000000003,-125.99999999999278,228.99999999999034,,3133.0000000000414
2016.06.20,-150.99999999999002,880.0000000000141,-731.9999999999993,-483.99999999999557,-548.9999999999995,709.0000000000041,184.00000000000637,250.0,-187.9999999999993,89.00000000000574,282.0000000000045,1307.999999999998,1134.0000000000127,476.0000000000098,885.0000000000051,-205.99999999999508,221.99999999999997,,4109.000000000082
2016.06.20,-129.9999999999968,946.0000000000024,-739.9999999999949,-492.9999999999879,-506.0000000000064,798.0000000000098,169.00000000001913,251.00000000000477,-184.00000000000637,92.00000000000318,343.9999999999999,1266.0000000000116,1287.000000000016,436.00000000001415,871.9999999999999,-106.99999999999044,194.99999999998963,,4496.000000000088
2016.06.20,-135.99999999999167,972.0000000000173,-679.000000000002,-506.9999999999908,-465.9999999999998,800.0000000000007,175.00000000001404,170.0000000000017,-251.99999999999667,117.00000000000044,346.0000000000019,1259.00000000001,1336.0000000000039,412.9999999999967,757.000000000005,-33.9999999999896,210.99999999999451,,4482.0000000000755
2016.06.20,-140.99999999999113,963.0000000000027,-533.9999999999918,-551.9999999999969,-522.0000000000002,790.0000000000018,177.00000000000495,126.00000000000477,-200.99999999999562,185.00000000000182,331.0000000000035,1241.0000000000032,1270.0000000000155,435.0000000000076,777.000000000001,-69.9999999999923,296.9999999999917,,4572.000000000071
2016.06.20,-168.99999999999693,1130.0000000000089,-560.9999999999928,-547.999999999993,-567.0000000000064,940.9999999999918,201.00000000000674,186.00000000000705,-150.00000000000568,267.00000000000614,395.0000000000009,1419.999999999999,1388.0000000000114,445.0000000000065,882.9999999999956,-150.99999999999002,412.9999999999967,,5523.0000000000455
2016.06.20,-216.99999999998943,1199.0000000000168,-554.000000000002,-550.000000000006,-541.0000000000026,922.0000000000006,202.00000000001327,201.00000000000762,-180.0000000000024,229.99999999999687,379.0000000000071,1519.0000000000036,1451.0000000000023,483.99999999999557,849.0000000000038,-111.99999999998988,415.99999999999415,,5698.00000000005
2016.06.20,-218.99999999999142,1175.000000000015,-506.0000000000002,-561.9999999999958,-586.0000000000088,870.9999999999995,212.00000000001216,183.00000000000693,-184.00000000000637,236.00000000000287,363.0000000000022,1463.0000000000143,1439.0000000000125,563.0000000000024,802.9999999999973,-154.99999999999403,435.9999999999919,,5532.000000000061
2016.06.20,-222.99999999999542,1232.000000000011,-524.0000000000009,-574.9999999999922,-579.0000000000073,947.000000000009,302.0000000000023,218.00000000000352,-141.00000000000225,297.00000000000284,334.00000000000097,1502.0000000000034,1445.0000000000073,646.0000000000132,908.9999999999918,-145.9999999999906,483.99999999999557,,6128.000000000051
