date,GBPUSD,USDCAD,AUDUSD,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,empty,sum
2017.04.24,-75.00000000000284,-36.999999999998145,-34.99999999999615,-100.99999999999554,-176.99999999999383,-246.00000000000176,-90.99999999999665,-43.00000000000637,-43.00000000001525,-95.999999999985,-150.00000000000568,-294.00000000001114,0.0,-322.00000000000273,-114.99999999999844,,-1825.0000000000095
2017.04.24,-38.99999999998904,192.99999999999872,-18.999999999991246,-92.99999999999864,-218.99999999999142,-283.99999999999534,-24.999999999997247,90.00000000000341,201.99999999999108,-146.99999999998602,-14.000000000002899,-325.00000000000284,182.99999999999272,-317.0000000000073,-73.99999999999629,,-887.9999999999724
2017.04.24,-168.99999999999693,167.00000000000603,-305.99999999999517,-102.99999999999754,-81.9999999999932,-153.99999999999858,-7.0000000000014495,298.0000000000018,79.99999999999119,-180.0000000000024,-213.00000000001873,-368.9999999999998,254.99999999999545,-537.9999999999967,-73.99999999999629,,-1395.0000000000023
2017.04.24,-157.99999999999147,226.99999999999943,-256.99999999999613,-63.99999999999739,-8.999999999992347,-178.00000000000037,2.999999999997449,652.9999999999916,128.99999999997914,-171.99999999999437,-243.99999999999977,-457.00000000000784,597.999999999999,-585.9999999999985,-107.99999999999699,,-623.0000000000086
2017.04.24,-107.99999999999699,208.99999999999253,-150.99999999999002,-58.99999999999794,-41.9999999999976,-214.99999999999852,-9.999999999998899,563.999999999993,131.99999999999878,-214.00000000000307,139.00000000000023,-409.000000000006,536.0000000000014,-417.0000000000016,-93.99999999999409,,-138.99999999999886
2017.04.24,-41.000000000002146,222.99999999999542,-225.99999999999287,19.999999999997797,-23.999999999990695,-253.0000000000032,172.00000000000549,549.0000000000066,274.9999999999808,-292.00000000000335,229.99999999999687,-466.99999999999875,600.9999999999991,-466.99999999999875,-103.99999999999298,,195.9999999999993
2017.04.24,-113.99999999999189,198.99999999999363,-135.99999999999167,41.9999999999976,-246.99999999999721,-405.9999999999952,161.00000000000003,655.0000000000011,100.99999999999554,-646.9999999999976,295.99999999998516,-506.0000000000002,590.999999999994,-468.0000000000035,-131.99999999999878,,-611.000000000009
2017.04.24,-143.99999999998857,180.0000000000024,-75.9999999999983,114.00000000000298,-233.99999999998977,-386.9999999999929,251.00000000000122,687.9999999999882,126.99999999998823,-685.0000000000023,632.9999999999947,-493.0000000000092,497.99999999999045,-460.9999999999985,-122.99999999999534,,-112.00000000000682
2017.04.24,-296.0000000000074,265.0000000000041,-201.99999999999108,97.00000000000264,-181.9999999999933,-322.9999999999955,153.99999999999858,740.0000000000091,-58.000000000002494,-573.0000000000013,273.9999999999965,-457.9999999999984,494.99999999999034,-591.9999999999987,-117.99999999999588,,-776.9999999999827
2017.04.24,-268.9999999999859,302.0000000000023,-211.99999999998997,153.00000000000313,-234.99999999999633,-353.0000000000033,202.0000000000022,912.0000000000061,27.999999999983594,-592.9999999999991,392.9999999999989,-513.0000000000052,673.0000000000018,-551.0000000000019,-56.0000000000005,,-118.99999999998418
2017.04.24,-404.9999999999887,333.9999999999899,-180.99999999999784,233.00000000000543,-351.99999999999676,-464.9999999999932,241.00000000000233,938.999999999993,-84.0000000000174,-747.9999999999931,474.999999999981,-534.000000000006,615.9999999999997,-570.999999999998,-46.999999999997044,,-549.0000000000167
