date,USDCHF,USDCAD,NZDUSD,NZDJPY,empty,sum
2016.02.22,0.0,-82.00000000000429,-29.000000000001247,-56.99999999998795,,-167.9999999999935
2016.02.22,73.99999999999629,45.99999999999049,-34.000000000000696,-43.99999999999693,,41.99999999998916
2016.02.22,161.99999999999548,65.00000000000395,112.99999999999643,125.0,,464.99999999999585
2016.02.22,207.00000000000162,90.99999999999665,160.00000000000458,200.00000000000284,,658.0000000000057
2016.02.22,185.00000000000182,15.999999999993797,53.00000000000304,-16.999999999995907,,237.00000000000276
2016.02.22,195.00000000000074,48.000000000003595,56.0000000000005,-137.99999999999102,,161.0000000000138
2016.02.22,255.00000000000523,-93.00000000000975,46.999999999997044,-204.9999999999983,,3.9999999999942304
2016.02.22,197.00000000000273,-178.00000000001148,-112.99999999999643,-325.9999999999934,,-419.9999999999986
2016.02.22,200.00000000000017,-174.00000000000747,-104.00000000000409,-289.99999999999204,,-368.0000000000034
2016.02.22,258.9999999999981,-116.00000000000499,-109.00000000000354,-327.99999999998875,,-293.99999999999915
2016.02.22,270.99999999999903,-212.99999999999653,-134.99999999999625,-390.00000000000057,,-466.9999999999943
2016.02.22,261.99999999999557,-260.0000000000158,-115.99999999999389,-387.999999999991,,-502.0000000000051
2016.02.22,265.0000000000041,-262.00000000000665,-105.99999999999498,-347.999999999999,,-450.99999999999653
2016.02.22,282.0000000000045,-278.00000000000045,-121.99999999999989,-352.99999999999443,,-470.9999999999903
2016.02.22,265.99999999999955,-314.00000000001427,-227.99999999999488,-518.9999999999912,,-795.0000000000009
2016.02.22,248.99999999999923,-334.9999999999964,-248.99999999999923,-493.9999999999998,,-828.9999999999961
2016.02.22,253.0000000000032,-307.00000000001285,-212.00000000000108,-439.9999999999977,,-706.0000000000084
2016.02.22,253.0000000000032,-377.0000000000051,-224.000000000002,-438.99999999999295,,-786.9999999999968
2016.02.22,236.00000000000287,-323.0000000000066,-200.99999999999562,-355.99999999999454,,-643.9999999999939
2016.02.22,322.9999999999955,-243.99999999999977,-234.00000000000088,-417.99999999999216,,-572.9999999999973
2016.02.22,358.9999999999982,-502.00000000000244,-361.0000000000002,-665.9999999999968,,-1170.0000000000014
2016.02.22,270.99999999999903,-504.9999999999999,-349.99999999999477,-623.9999999999952,,-1207.999999999991
2016.02.22,278.9999999999959,-324.9999999999975,-270.0000000000036,-461.9999999999891,,-777.9999999999943
2016.02.22,380.00000000000256,-180.0000000000024,-234.00000000000088,-554.9999999999926,,-588.9999999999933
2016.02.22,455.0000000000054,-192.99999999999872,-256.0000000000007,-727.9999999999944,,-721.9999999999884
2016.02.22,578.9999999999961,-112.000000000001,-265.0000000000041,-661.9999999999919,,-460.0000000000009
2016.02.22,617.9999999999964,-185.00000000001293,-234.00000000000088,-747.9999999999905,,-549.000000000008
2016.02.22,661.9999999999959,-243.99999999999977,-222.99999999999542,-751.9999999999953,,-556.9999999999947
2016.02.22,792.9999999999993,-195.00000000001182,-210.99999999999451,-693.9999999999884,,-306.99999999999545
2016.02.22,902.9999999999983,-361.9999999999957,-226.00000000000398,-673.9999999999924,,-358.99999999999375
2016.02.22,875.0000000000035,-695.0000000000011,-405.9999999999952,-871.9999999999999,,-1097.9999999999927
2016.02.22,946.0000000000024,-866.9999999999956,-580.9999999999982,-1050.9999999999877,,-1552.999999999979
2016.02.22,1005.9999999999958,-885.0000000000025,-705.9999999999956,-1181.999999999988,,-1766.9999999999902
2016.02.22,917.9999999999966,-910.0000000000108,-736.0000000000033,-1191.9999999999932,,-1920.0000000000107
2016.02.22,877.0000000000056,-1123.0000000000073,-731.0000000000039,-1194.9999999999932,,-2171.9999999999986
2016.02.22,868.9999999999975,-1127.0000000000114,-753.9999999999991,-1102.9999999999945,,-2115.0000000000073
2016.02.22,946.9999999999978,-944.9999999999958,-732.9999999999948,-1120.999999999995,,-1851.9999999999877
2016.02.22,965.0000000000048,-917.9999999999966,-797.0000000000033,-1213.9999999999986,,-1963.9999999999936
2016.02.22,995.9999999999969,-1007.0000000000024,-795.0000000000013,-1294.9999999999875,,-2100.999999999994
