date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2015.01.26,-173.9999999999964,-34.000000000000696,-66.00000000001049,-5.000000000010552,-0.999999999995449,-129.00000000000134,-110.99999999999443,-132.000000000005,-0.999999999995449,-169.9999999999875,-158.0000000000137,-237.99999999999955,-246.9999999999999,-15.000000000000568,0.0,-157.99999999999147,,-1639.0000000000023
2015.01.26,-201.99999999999108,29.999999999996696,7.999999999985796,-46.999999999997044,-65.00000000000395,-58.000000000002494,-46.999999999997044,-151.9999999999868,23.00000000000635,56.000000000011596,-171.00000000001003,-224.99999999999432,-267.0000000000101,-218.9999999999941,209.00000000000364,30.0000000000189,,-1096.9999999999638
2015.01.26,-142.99999999999312,-95.999999999985,8.999999999992347,-49.00000000001015,-141.00000000000225,-147.00000000000824,-293.99999999999426,-128.99999999999068,75.9999999999983,-359.9999999999852,-313.00000000000773,-128.00000000001432,-158.00000000000125,-207.9999999999984,126.99999999999933,141.00000000001333,,-1812.9999999999873
2015.01.26,-251.99999999999667,7.0000000000014495,68.00000000000139,-182.99999999999983,-53.999999999998494,-121.99999999999989,-343.00000000000443,13.00000000000523,41.000000000002146,-632.000000000005,-329.00000000000153,187.99999999998818,-14.000000000010004,2.0000000000095497,139.99999999999568,40.0000000000178,,-1429.9999999999945
2015.01.26,-156.00000000000057,-197.00000000000273,-512.0000000000014,-181.00000000000892,-226.00000000000398,-346.0000000000019,-110.99999999999443,-584.0000000000032,-209.00000000000364,-383.99999999998613,-463.9999999999977,-866.9999999999902,-302.0000000000067,-460.9999999999985,19.999999999997797,195.00000000001182,,-4784.99999999999
2015.01.26,103.00000000000864,-66.99999999999484,-339.0000000000004,-148.99999999999915,-148.99999999999915,-405.9999999999952,-200.00000000000017,-677.9999999999973,-126.0000000000039,46.999999999997044,-329.00000000000153,-616.0000000000139,-305.0000000000068,-342.9999999999893,9.00000000000345,185.00000000001293,,-3362.99999999998
2015.01.26,188.00000000001037,-17.999999999984695,-402.9999999999978,-148.99999999999915,-227.99999999999488,-590.0000000000016,-251.00000000000122,-709.9999999999795,-219.00000000000253,-7.000000000005002,-337.0000000000095,-667.0000000000016,-165.00000000000625,-345.9999999999894,-131.00000000000333,175.99999999999838,,-3856.999999999968
2015.01.26,165.00000000000404,28.000000000005798,-296.0000000000074,-72.0000000000054,-180.99999999999784,-605.0000000000111,-324.9999999999975,-775.0000000000057,-143.00000000000423,145.99999999998658,-187.00000000000384,-659.9999999999966,-286.00000000000136,-370.9999999999951,-33.000000000005244,148.00000000001478,,-3447.00000000002
2015.01.26,174.00000000000747,39.00000000001125,-238.0000000000049,-31.000000000003247,-190.00000000000128,-594.0000000000057,-309.0000000000037,-825.9999999999934,-117.00000000000044,157.0000000000107,-114.99999999999844,-550.0000000000114,-303.0000000000115,-388.9999999999958,-26.000000000003798,155.00000000001623,,-3162.9999999999873
2015.01.26,-166.99999999999494,28.000000000005798,-217.0000000000005,-87.00000000001484,-217.99999999999596,-405.0000000000109,-175.99999999999838,-560.0000000000023,-107.00000000000153,-102.00000000000387,-154.99999999999403,-435.0000000000023,-233.0000000000041,-332.9999999999984,-29.999999999996696,29.00000000001235,,-3168.000000000001
2015.01.26,-137.9999999999937,80.99999999999774,-214.00000000000307,-124.00000000001299,-39.00000000000014,-255.99999999998957,-90.99999999999665,-270.9999999999866,-132.99999999999423,-194.99999999999318,-180.0000000000024,-421.99999999999704,-121.00000000000932,-84.99999999999375,-73.00000000000084,4.000000000004,,-2256.999999999972
