,names,week,needed_features,accuracy
0,USDCHF,10,['USDCHF'],80.0
1,GBPUSD,15,"['AUDNZD', 'NZDJPY']",80.0
2,EURUSD,10,['EURUSD'],80.0
3,AUDUSD,10,"['GBPAUD', 'GBPUSD']",80.0
4,NZDUSD,10,"['GBPAUD', 'GBPUSD']",100.0
5,GBPCHF,10,['AUDNZD'],80.0
6,AUDCHF,10,"['USDCHF', 'EURGBP']",100.0
7,NZDCHF,10,"['GBPAUD', 'GBPUSD']",100.0
8,EURGBP,20,"['AUDNZD', 'EURAUD', 'USDCAD']",80.0
9,GBPJPY,10,"['EURGBP', 'GBPCHF', 'EURCAD']",80.0
10,GBPCAD,10,"['USDCHF', 'EURAUD', 'EURCAD']",100.0
11,GBPAUD,10,['AUDCAD'],80.0
12,EURJPY,10,"['EURGBP', 'GBPCHF', 'GBPJPY', 'GBPUSD', 'CADCHF']",100.0
13,EURCAD,10,['USDCHF'],80.0
14,EURAUD,10,['USDCHF'],80.0
15,EURNZD,10,"['GBPAUD', 'GBPUSD']",100.0
16,CADJPY,10,"['USDCHF', 'EURGBP']",80.0
17,AUDJPY,10,"['EURGBP', 'GBPJPY']",100.0
18,NZDJPY,10,"['EURGBP', 'AUDCAD', 'GBPCHF']",80.0
19,AUDCAD,10,"['AUDCAD', 'GBPAUD', 'USDJPY']",80.0
20,NZDCAD,10,"['USDCHF', 'NZDJPY']",100.0
21,AUDNZD,15,"['EURUSD', 'USDJPY', 'USDCAD']",100.0
