date,GBPUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,EURJPY,EURNZD,AUDJPY,NZDJPY,AUDCAD,empty,sum
2021.02.08,-72.99999999998974,67.99999999999784,-21.999999999999797,-70.99999999999883,-63.00000000000239,-48.99999999999905,-92.99999999999864,-34.99999999999659,-20.999999999982144,-87.0000000000033,-105.00000000000398,-91.00000000000774,,-641.9999999999843
2021.02.08,-86.99999999999264,70.99999999999795,-24.999999999997247,-46.00000000000159,-158.00000000000125,-64.99999999999284,-117.00000000000044,-102.00000000000387,68.00000000000139,-97.99999999999898,-111.99999999999477,-65.99999999999939,,-736.9999999999837
2021.02.08,-148.99999999999915,108.99999999999466,-93.99999999999409,-175.00000000000293,-177.0000000000067,-157.99999999999147,-239.99999999999577,-152.9999999999916,-133.99999999998968,-187.00000000001182,-254.99999999999545,-167.00000000000603,,-1779.99999999999
2021.02.08,-208.99999999999253,93.99999999999409,-124.00000000000189,-253.0000000000032,-182.00000000000216,-178.99999999999582,-300.99999999999574,-179.9999999999926,-230.9999999999812,-202.0000000000124,-323.99999999999807,-204.99999999999963,,-2295.9999999999814
2021.02.08,-209.9999999999991,164.99999999999204,-97.9999999999981,-221.00000000000452,-198.0000000000075,-192.99999999999872,-303.9999999999932,-209.99999999999375,-214.99999999998744,-228.00000000000864,-337.0000000000033,-165.00000000000404,,-2214.0000000000064
2021.02.08,-90.99999999999665,230.99999999999454,-24.999999999997247,-167.00000000000603,-165.00000000000625,-191.99999999999218,-318.99999999999153,-174.99999999999716,-257.99999999998045,-206.00000000000307,-331.00000000000307,-146.00000000000168,,-1843.9999999999807
2021.02.08,-80.99999999999774,213.99999999999864,-43.999999999999595,-143.9999999999997,-139.00000000001,-211.99999999998997,-304.9999999999997,-149.99999999999147,-201.99999999999108,-211.00000000001273,-295.0000000000017,-126.99999999999933,,-1695.9999999999943
2021.02.08,-153.00000000000313,180.99999999999739,-122.99999999999534,-212.99999999999653,-180.99999999999739,-237.99999999999378,-322.9999999999955,-176.9999999999925,-274.9999999999808,-270.00000000001023,-343.9999999999941,-208.00000000000819,,-2323.99999999997
2021.02.08,-83.9999999999952,200.9999999999934,-41.000000000002146,-121.00000000000443,-145.00000000001023,-198.99999999999363,-271.9999999999945,-146.99999999999136,-135.9999999999806,-201.00000000000762,-262.00000000000045,-158.99999999999804,,-1565.9999999999848
2021.02.08,-132.99999999998312,156.99999999999648,-83.9999999999952,-151.9999999999966,-121.00000000000932,-223.99999999999088,-283.99999999999534,-131.00000000000023,-158.99999999999804,-212.0000000000033,-263.00000000000523,-190.00000000000128,,-1795.999999999982
2021.02.08,-121.99999999999989,149.99999999999147,-54.999999999993946,-121.00000000000443,-159.9999999999966,-169.99999999999238,-230.99999999999233,-123.99999999999523,-80.99999999999774,-173.00000000000182,-222.99999999999898,-165.00000000000404,,-1474.999999999986
2021.02.08,-161.99999999999548,161.00000000000136,-92.00000000000318,-136.99999999999824,-164.00000000000148,-205.99999999999508,-247.99999999999267,-153.99999999999636,-93.99999999999409,-221.00000000000364,-246.9999999999999,-197.99999999999818,,-1761.9999999999768
2021.02.08,-163.9999999999864,186.9999999999976,-104.99999999999955,-145.00000000000622,-195.0000000000074,-221.99999999999997,-256.99999999999613,-173.00000000000182,-137.9999999999937,-259.00000000000034,-277.000000000001,-200.00000000000017,,-1947.9999999999952
2021.02.08,-86.99999999999264,219.99999999999886,-56.99999999999594,-112.99999999999643,-219.99999999999886,-181.9999999999933,-235.99999999999176,-186.9999999999976,-93.99999999999409,-230.00000000000398,-268.0000000000007,-165.00000000000404,,-1618.9999999999704
2021.02.08,-158.99999999999804,185.99999999999284,-107.00000000000153,-170.99999999999892,-225.00000000000853,-200.00000000000017,-261.99999999999557,-221.9999999999942,-127.99999999999478,-259.00000000000034,-302.99999999999727,-191.00000000000784,,-2041.000000000004
2021.02.08,-127.99999999999478,200.9999999999934,-87.99999999999919,-151.9999999999966,-206.00000000000307,-201.99999999999108,-262.999999999991,-183.9999999999975,-157.99999999999147,-245.00000000000455,-292.99999999999216,-186.00000000000838,,-1903.9999999999766
2021.02.08,-95.00000000000064,218.00000000000352,-75.9999999999983,-104.00000000000409,-231.99999999999932,-190.99999999999673,-215.99999999999397,-182.00000000000216,-73.99999999999629,-249.00000000000944,-253.0000000000001,-192.99999999999872,,-1646.999999999996
2021.02.08,-127.99999999999478,197.00000000000273,-93.99999999999409,-136.00000000000279,-210.00000000000796,-204.99999999999963,-244.99999999999523,-201.99999999999818,-88.99999999998354,-252.00000000000955,-274.9999999999915,-213.00000000000762,,-1851.9999999999823
2021.02.08,-146.99999999998602,201.99999999999818,-93.99999999999409,-172.00000000000549,-219.0000000000083,-203.99999999999307,-275.99999999999847,-200.00000000000284,-190.99999999998562,-257.000000000005,-316.99999999999307,-197.00000000000273,,-2071.9999999999764
2021.02.08,-184.99999999999073,180.99999999999739,-95.00000000000064,-162.0000000000066,-183.00000000000693,-210.99999999999451,-273.9999999999965,-204.9999999999983,-124.99999999999733,-243.99999999999977,-289.99999999999204,-184.00000000000637,,-1976.9999999999923
2021.02.08,33.00000000001635,271.0000000000008,7.9999999999968985,-60.99999999999994,-164.00000000000148,-188.9999999999947,-246.00000000000176,-203.99999999999352,-17.999999999984695,-202.0000000000124,-243.99999999999977,-168.00000000000148,,-1183.9999999999757
2021.02.08,58.000000000002494,316.99999999999307,-4.999999999999449,-96.00000000000719,-265.00000000000057,-169.99999999999238,-254.99999999999412,-262.999999999991,-113.99999999999189,-250.0,-319.9999999999932,-139.00000000000023,,-1501.9999999999743
2021.02.08,121.00000000001555,296.99999999999704,68.00000000000139,-26.999999999999247,-197.00000000000273,-132.99999999999423,-215.99999999999397,-197.00000000000273,-2.999999999997449,-159.00000000000603,-231.99999999999932,-75.00000000000284,,-752.9999999999847
2021.02.08,100.0000000000112,305.9999999999974,7.9999999999968985,-95.00000000000064,-165.00000000000625,-209.9999999999991,-301.9999999999912,-218.9999999999941,-146.00000000000168,-225.00000000000853,-308.9999999999975,-128.00000000000588,,-1384.9999999999995
2021.02.08,259.0000000000092,343.9999999999941,112.000000000001,2.000000000002,-206.00000000000307,-117.99999999999588,-214.99999999999852,-251.00000000000477,59.000000000009045,-147.00000000000557,-234.99999999999943,-52.000000000007596,,-447.9999999999995
2021.02.08,256.00000000001177,329.9999999999983,97.9999999999981,-9.999999999998899,-262.00000000000045,-88.99999999999464,-185.00000000000182,-293.99999999999693,118.00000000001809,-152.00000000000102,-236.99999999999477,-58.99999999999794,,-485.9999999999603
2021.02.08,201.00000000000674,316.0000000000025,43.00000000000415,-36.0000000000027,-243.0000000000092,-140.99999999999113,-210.99999999999451,-278.99999999999636,58.000000000002494,-198.0000000000075,-254.0000000000049,-75.9999999999983,,-819.9999999999887
2021.02.08,336.00000000000296,325.00000000000284,104.99999999999955,44.99999999999504,-225.9999999999991,-97.9999999999981,-152.99999999999204,-259.00000000000034,202.00000000001327,-137.00000000000045,-174.99999999999716,-21.999999999999797,,-56.99999999997331
2021.02.08,314.99999999999864,319.9999999999932,121.99999999999989,65.99999999999939,-162.9999999999967,-118.99999999999133,-166.99999999999494,-185.00000000000227,163.00000000000205,-118.00000000000921,-149.99999999999147,-43.00000000000415,,41.00000000000307
2021.02.08,267.0000000000172,251.99999999999534,39.00000000000014,24.999999999997247,1.9999999999953388,-249.99999999999466,-251.99999999999667,-137.00000000000045,109.00000000000354,-157.0000000000107,-146.0000000000008,-126.0000000000039,,-373.9999999999984
2021.02.08,279.00000000000705,277.9999999999916,29.999999999996696,24.000000000001798,-30.000000000001137,-251.99999999999667,-249.99999999999466,-129.0000000000049,58.000000000002494,-183.00000000000693,-162.9999999999967,-128.00000000000588,,-466.0000000000073
2021.02.08,218.00000000000708,179.00000000000205,-61.999999999995396,-84.0000000000063,-88.99999999999864,-235.99999999999176,-256.0000000000007,-168.99999999999693,14.000000000002899,-203.00000000000296,-207.9999999999984,-208.00000000000819,,-1103.9999999999873
2021.02.08,51.000000000001044,87.0000000000033,-107.00000000000153,-153.00000000000313,-112.99999999999955,-200.00000000000017,-244.99999999999523,-141.9999999999959,-31.999999999987594,-178.00000000001148,-212.0000000000033,-214.00000000000307,,-1457.9999999999968
2021.02.08,-95.00000000000064,69.00000000000261,-295.0000000000008,-290.9999999999968,-195.0000000000074,-311.99999999999005,-317.9999999999961,-230.99999999999454,-213.99999999998087,-367.00000000000443,-347.999999999999,-336.00000000000296,,-2932.999999999971
2021.02.08,-279.99999999999136,-75.00000000000284,-422.00000000000017,-426.9999999999996,-85.99999999999852,-396.9999999999918,-409.99999999999926,-87.99999999999386,-480.99999999999807,-391.00000000000534,-384.00000000000034,-477.0000000000052,,-3917.9999999999864
2021.02.08,-224.99999999998633,-103.00000000000864,-436.9999999999985,-412.9999999999967,15.999999999991132,-452.99999999999227,-437.999999999994,79.00000000000773,-627.9999999999841,-381.0000000000002,-350.9999999999991,-547.0000000000086,,-3880.9999999999695
2021.02.08,-142.99999999998204,-79.00000000000773,-346.9999999999973,-346.9999999999973,16.999999999995907,-387.99999999999943,-390.0000000000015,126.00000000000477,-567.9999999999907,-309.0000000000117,-295.0000000000017,-526.9999999999997,,-3249.999999999988
2021.02.08,-207.00000000000162,-105.00000000000398,-344.99999999999534,-363.99999999999767,-15.000000000000568,-350.9999999999902,-373.00000000000114,102.00000000000387,-534.9999999999966,-286.00000000000136,-295.99999999999227,-462.0000000000068,,-3236.9999999999836
2021.02.08,-241.00000000000233,-82.99999999999841,-383.99999999999545,-380.00000000000256,-36.000000000001364,-386.9999999999929,-387.99999999999943,52.99999999999727,-544.9999999999955,-344.0000000000083,-328.00000000000296,-470.00000000000375,,-3533.0000000000055
2021.02.08,-245.99999999999068,-114.00000000000432,-368.00000000000165,-385.000000000002,-6.000000000000227,-366.9999999999951,-390.99999999999693,85.99999999999852,-556.0000000000009,-301.00000000000193,-310.99999999999284,-434.000000000001,,-3392.9999999999886
2021.02.08,-231.99999999998778,-90.00000000000341,-314.99999999999864,-355.0000000000053,-37.00000000000614,-317.9999999999961,-356.9999999999962,43.00000000000637,-453.99999999999886,-264.00000000001,-293.99999999999693,-367.0000000000062,,-3039.999999999999
2021.02.08,-224.99999999998633,-88.99999999999864,-324.00000000000205,-351.99999999999676,-28.999999999996362,-330.9999999999924,-361.0000000000002,25.99999999999625,-432.9999999999945,-276.00000000001046,-292.99999999999216,-380.00000000000256,,-3066.999999999977
2021.02.08,-246.99999999999721,-70.99999999999795,-353.99999999999875,-373.00000000000114,-39.00000000000148,-363.99999999999767,-384.9999999999909,-15.999999999991132,-455.99999999998977,-322.00000000000273,-325.9999999999934,-375.0000000000031,,-3327.999999999965
2021.02.08,-264.9999999999819,-78.00000000000296,-378.00000000000057,-389.000000000006,-46.00000000000648,-378.00000000000057,-392.9999999999989,-45.99999999999227,-439.99999999999596,-340.0000000000034,-340.0000000000034,-384.00000000000654,,-3476.999999999999
