date,GBPUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,EURJPY,EURNZD,AUDJPY,NZDJPY,AUDCAD,empty,sum
2021.02.08,-136.00000000000279,0.0,-65.99999999999939,-92.99999999999864,-100.99999999999909,-134.0000000000008,-158.99999999999804,-45.000000000001705,-146.00000000000168,-103.00000000000864,-134.00000000000034,-141.00000000000225,,-1258.0000000000134
2021.02.08,-149.9999999999835,64.99999999999773,-70.99999999999883,-95.00000000000064,-243.99999999999977,-127.99999999999478,-161.00000000000003,-165.99999999999682,-45.99999999999049,-169.00000000001114,-168.99999999999693,-153.99999999999858,,-1487.9999999999736
2021.02.08,-227.99999999998377,64.99999999999773,-124.99999999999733,-216.0000000000051,-234.99999999999943,-171.99999999999437,-264.999999999993,-259.9999999999909,-169.99999999998127,-212.0000000000033,-289.0000000000015,-187.9999999999993,,-2294.9999999999513
2021.02.08,-227.99999999998377,75.9999999999934,-158.0000000000026,-273.9999999999965,-201.99999999999818,-204.99999999999963,-317.0000000000006,-189.99999999999773,-265.99999999998846,-230.00000000000398,-337.99999999999386,-218.00000000000708,,-2549.999999999979
2021.02.08,-242.99999999999324,43.99999999999693,-141.00000000000225,-265.0000000000041,-237.00000000000898,-215.99999999999397,-317.9999999999961,-242.00000000000443,-253.99999999999866,-261.0000000000099,-355.000000000004,-209.9999999999991,,-2698.0000000000177
2021.02.08,-222.99999999999542,162.9999999999967,-102.99999999999754,-226.99999999999943,-219.0000000000083,-221.99999999999997,-339.99999999999585,-240.99999999999966,-295.0000000000008,-248.00000000000466,-361.99999999999477,-200.00000000000017,,-2517.0
2021.02.08,-147.99999999999258,183.9999999999975,-66.99999999999484,-184.00000000000637,-183.9999999999975,-226.99999999999943,-324.9999999999975,-201.99999999999818,-269.9999999999925,-228.00000000000864,-347.999999999999,-169.00000000000804,,-2167.9999999999973
2021.02.08,-156.99999999998494,179.00000000000205,-122.99999999999534,-214.99999999999852,-182.00000000000216,-239.99999999999577,-324.9999999999975,-179.9999999999926,-288.99999999998374,-271.0000000000008,-346.00000000000364,-211.00000000000563,,-2359.9999999999586
2021.02.08,-154.99999999999403,176.9999999999925,-126.99999999999933,-216.0000000000051,-180.99999999999739,-256.0000000000007,-329.999999999997,-176.9999999999925,-287.9999999999994,-279.0000000000106,-346.00000000000364,-226.00000000000398,,-2404.0000000000114
2021.02.08,-139.00000000000023,155.00000000000114,-90.0000000000012,-158.99999999999804,-164.00000000000148,-227.99999999999488,-297.9999999999983,-179.00000000000205,-195.9999999999962,-240.0000000000091,-299.99999999999716,-196.00000000000728,,-2034.0000000000045
