date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,GBPJPY,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.05.17,-60.000000000015596,0.0,-123.00000000000644,-131.00000000000333,-268.0000000000007,-201.99999999999818,-76.99999999999818,-141.00000000000534,-203.00000000000296,-238.9999999999901,,-1444.000000000021
2021.05.17,-48.000000000003595,32.999999999994145,-116.00000000000499,-202.0000000000022,-250.0,-78.00000000000296,-72.00000000000273,-120.00000000000455,-158.99999999999181,-280.9999999999917,,-1293.0000000000105
2021.05.17,-99.00000000000463,-2.0000000000131024,-184.00000000000637,-246.00000000000176,-378.0000000000001,-301.9999999999925,-240.0000000000091,-246.9999999999999,-308.9999999999975,-359.99999999999943,,-2367.0000000000246
2021.05.17,-77.00000000001594,28.999999999990145,-173.00000000000094,-216.0000000000051,-375.99999999999056,-300.9999999999877,-251.00000000000477,-242.00000000000443,-310.0000000000023,-343.9999999999941,,-2261.0000000000155
2021.05.17,-91.00000000001884,73.99999999999629,-175.00000000000293,-213.00000000000762,-399.0000000000009,-325.9999999999934,-270.9999999999866,-219.99999999999886,-331.99999999999363,-349.9999999999943,,-2303.000000000001
2021.05.17,-102.00000000000209,63.99999999999739,-177.00000000000495,-213.00000000000762,-436.9999999999976,-356.9999999999993,-316.0000000000025,-243.99999999999977,-325.9999999999934,-348.99999999998954,,-2456.9999999999995
2021.05.17,-69.00000000000794,85.00000000000173,-131.99999999999878,-170.00000000000347,-450.00000000000284,-359.9999999999852,-318.9999999999884,-265.00000000000057,-304.9999999999926,-337.99999999999386,,-2322.999999999972
2021.05.17,35.999999999991594,141.99999999999767,17.999999999995797,-85.00000000000173,-405.9999999999917,-308.9999999999975,-240.0000000000091,-240.0000000000091,-176.00000000000193,-273.9999999999867,,-1534.0000000000127
2021.05.17,53.999999999998494,166.99999999998383,0.0,-85.00000000000173,-370.9999999999951,-233.0000000000041,-167.0000000000016,-190.00000000001194,-158.99999999999181,-239.99999999999488,,-1224.0000000000189
2021.05.17,32.999999999994145,136.99999999998712,-4.999999999999449,-75.00000000000284,-289.0000000000015,-150.99999999998204,-97.99999999998477,-154.00000000001057,-120.99999999999511,-176.9999999999925,,-899.9999999999875
2021.05.17,93.99999999999409,232.99999999999432,70.99999999999883,-69.00000000000794,-268.99999999999125,-94.99999999999886,-66.0000000000025,-81.00000000000307,-45.000000000001705,-176.9999999999925,,-404.0000000000106
2021.05.17,60.99999999999994,183.99999999998417,48.99999999999905,-23.00000000000635,-256.0000000000002,-117.999999999995,-76.99999999999818,-97.99999999999898,-60.000000000002274,-128.0000000000001,,-466.00000000001796
2021.05.17,6.999999999979245,187.99999999998818,19.00000000000235,0.999999999995449,-237.99999999999955,-98.99999999998954,-45.99999999999227,-92.00000000001296,-33.999999999991815,-57.999999999992724,,-352.00000000001364
2021.05.17,29.999999999996696,222.99999999999542,74.99999999999174,56.0000000000005,-268.99999999999125,-127.9999999999859,-54.000000000002046,-76.00000000000762,-9.000000000000341,-10.99999999999568,,-162.99999999999847
2021.05.17,38.99999999998904,207.00000000000162,112.99999999999643,73.99999999999629,-286.9999999999919,-189.99999999999773,-79.00000000000773,-117.00000000000443,-12.999999999991019,-35.99999999998715,,-288.9999999999966
2021.05.17,36.999999999998145,175.99999999999838,93.99999999999409,78.00000000000028,-284.9999999999966,-183.9999999999975,-81.99999999999363,-135.00000000000512,-15.999999999991132,-24.999999999991473,,-341.99999999998454
2021.05.17,59.99999999999339,125.99999999998168,76.99999999999375,56.0000000000005,-284.9999999999966,-157.99999999998704,-68.9999999999884,-172.00000000001125,-43.99999999999693,-56.99999999998795,,-465.9999999999988
2021.05.17,66.99999999999484,139.9999999999846,80.00000000000229,61.999999999995396,-228.9999999999992,-118.99999999999977,-25.999999999982037,-134.00000000000034,-7.999999999995566,-24.999999999991473,,-191.9999999999913
2021.05.17,-69.00000000000794,75.00000000000284,44.99999999999504,2.999999999997449,-206.00000000000307,-91.99999999998454,28.999999999996362,-103.00000000000864,24.00000000000091,-12.999999999991019,,-307.0000000000026
2021.05.17,-188.00000000001037,-2.0000000000131024,-17.000000000000348,-48.99999999999905,-200.9999999999934,-170.99999999999227,36.000000000001364,-130.00000000000966,-12.000000000000455,-42.999999999992156,,-777.0000000000094
2021.05.17,-252.0000000000078,-1.0000000000065512,-17.000000000000348,-26.000000000003798,-221.00000000000364,-221.99999999998,3.0000000000143245,-115.99999999999966,-3.0000000000001137,-0.999999999990564,,-855.9999999999781
2021.05.17,-208.00000000000819,92.99999999998754,80.00000000000229,79.99999999999119,-230.00000000000398,-245.9999999999809,-8.99999999998613,-77.00000000001239,75.00000000000284,78.00000000000296,,-364.0000000000048
2021.05.17,-90.00000000001229,92.00000000000318,82.99999999999974,127.99999999999478,-170.0000000000017,-128.99999999999068,-40.99999999999682,-140.00000000000057,46.999999999997044,87.0000000000033,,-133.00000000000398
2021.05.17,-146.00000000000168,54.99999999998284,35.999999999991594,81.9999999999932,-212.99999999999386,-174.99999999998295,-97.99999999998477,-121.99999999999989,34.000000000006025,69.00000000000261,,-477.9999999999868
2021.05.17,-147.00000000000824,61.99999999998429,29.000000000001247,74.99999999999174,-236.99999999999477,-133.99999999998613,-67.00000000000728,-90.00000000000341,30.000000000001137,82.00000000000784,,-397.0000000000136
2021.05.17,-103.00000000000864,28.999999999990145,53.999999999998494,125.99999999999278,-325.9999999999934,-102.00000000000387,-133.99999999998613,-108.00000000000409,60.000000000002274,141.00000000000534,,-363.00000000000716
2021.05.17,-203.00000000001984,18.999999999991246,34.000000000000696,101.99999999999099,-320.99999999999795,-98.99999999998954,-132.99999999998136,-94.0000000000083,64.99999999999773,161.00000000000136,,-469.000000000015
2021.05.17,-219.00000000001364,32.999999999994145,51.99999999999649,131.99999999999878,-280.9999999999917,-84.00000000000318,-168.99999999998272,-41.00000000001103,153.99999999999636,242.00000000000443,,-181.00000000001205
