date,USDCAD,EURJPY,empty,sum
2019.09.30,-82.00000000000429,-39.00000000000148,,-121.00000000000577
2019.09.30,-52.99999999999194,33.00000000000125,,-19.999999999990692
2019.09.30,-48.000000000003595,4.0000000000048885,,-43.99999999999871
2019.09.30,-70.99999999999883,-49.99999999999716,,-120.99999999999599
2019.09.30,-58.000000000002494,-39.99999999999204,,-97.99999999999454
2019.09.30,-75.00000000000284,-22.999999999996135,,-97.99999999999898
2019.09.30,-59.99999999999339,-30.000000000001137,,-89.99999999999453
2019.09.30,-95.00000000000064,-121.99999999999989,,-217.0000000000005
2019.09.30,-144.99999999999514,-118.99999999999977,,-263.9999999999949
2019.09.30,-127.00000000001043,-126.00000000000477,,-253.0000000000152
2019.09.30,-70.99999999999883,-118.99999999999977,,-189.9999999999986
2019.09.30,-83.9999999999952,-159.00000000000603,,-243.00000000000122
2019.09.30,-78.00000000000028,-132.99999999999557,,-210.99999999999585
2019.09.30,-66.99999999999484,-128.0000000000001,,-194.99999999999494
2019.09.30,-72.0000000000054,-115.99999999999966,,-188.00000000000506
2019.09.30,-46.999999999997044,-158.00000000000125,,-204.9999999999983
2019.09.30,-45.000000000006146,-182.00000000000216,,-227.0000000000083
2019.09.30,-53.999999999998494,-251.00000000000477,,-305.0000000000033
2019.09.30,-85.00000000000173,-248.00000000000466,,-333.00000000000637
2019.09.30,-24.000000000001798,-203.00000000000296,,-227.00000000000475
2019.09.30,-63.99999999999739,-204.9999999999983,,-268.9999999999957
2019.09.30,11.999999999989797,-180.99999999999739,,-169.0000000000076
2019.09.30,-72.0000000000054,-189.99999999999773,,-262.0000000000031
2019.09.30,-96.99999999999153,-186.9999999999976,,-283.99999999998914
2019.09.30,-130.99999999999224,-176.9999999999925,,-307.99999999998477
2019.09.30,-150.99999999999002,-213.99999999999864,,-364.99999999998863
2019.09.30,-140.0000000000068,-224.00000000000375,,-364.0000000000106
2019.09.30,-165.9999999999995,-248.00000000000466,,-414.00000000000415
2019.09.30,-180.0000000000024,-400.99999999999625,,-580.9999999999986
2019.09.30,-157.99999999999147,-358.0000000000041,,-515.9999999999956
2019.09.30,-259.0000000000092,-560.9999999999928,,-820.000000000002
2019.09.30,-276.9999999999939,-493.9999999999998,,-770.9999999999936
2019.09.30,-234.00000000000088,-438.99999999999295,,-672.9999999999939
2019.09.30,-248.00000000000378,-393.0000000000007,,-641.0000000000044
2019.09.30,-137.9999999999937,-352.00000000000387,,-489.99999999999756
2019.09.30,-120.99999999999334,-397.99999999999613,,-518.9999999999894
2019.09.30,-131.99999999999878,-331.99999999999363,,-463.9999999999924
2019.09.30,-140.99999999999113,-266.9999999999959,,-407.99999999998704
2019.09.30,-151.9999999999966,-254.0000000000049,,-406.0000000000015
2019.09.30,-139.00000000000023,-197.9999999999933,,-336.9999999999935
2019.09.30,-103.99999999999298,-204.9999999999983,,-308.99999999999125
2019.09.30,-141.99999999999767,-308.9999999999975,,-450.99999999999517
2019.09.30,-123.99999999999079,-292.99999999999216,,-416.99999999998295
2019.09.30,-103.00000000000864,-293.99999999999693,,-397.00000000000557
2019.09.30,-59.99999999999339,-301.9999999999925,,-361.9999999999859
2019.09.30,-163.00000000000205,-283.00000000000125,,-446.0000000000033
2019.09.30,-188.9999999999947,-293.99999999999693,,-482.99999999999164
2019.09.30,-154.99999999999403,-331.99999999999363,,-486.99999999998766
2019.10.01,-106.00000000000608,-388.00000000000523,,-494.0000000000113
2019.10.01,-92.00000000000318,-349.00000000000375,,-441.00000000000693
2019.10.01,-96.00000000000719,-355.000000000004,,-451.00000000001114
2019.10.01,-100.0000000000112,-335.9999999999985,,-436.0000000000097
2019.10.01,-109.00000000000354,-340.0000000000034,,-449.00000000000693
2019.10.01,-116.00000000000499,-328.9999999999935,,-444.9999999999985
2019.10.01,-107.99999999999699,-341.99999999999875,,-449.99999999999574
2019.10.01,-78.00000000000028,-317.99999999999784,,-395.9999999999981
2019.10.01,-85.00000000000173,-323.99999999999807,,-408.9999999999998
2019.10.01,-161.99999999999548,-328.00000000000296,,-489.9999999999984
2019.10.01,-197.00000000000273,-287.00000000000614,,-484.00000000000887
2019.10.01,-191.00000000000784,-316.0000000000025,,-507.00000000001035
