date,USDCHF,GBPUSD,EURUSD,USDJPY,NZDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.05.11,-29.999999999996696,-17.000000000000348,-6.000000000017103,0.0,-53.00000000000304,-60.99999999999994,-18.999999999991246,-65.00000000000395,-58.000000000002494,-16.999999999995907,-14.999999999986358,-26.0000000000149,-645.999999999991,-18.000000000000682,0.0,-39.99999999999204,0.0,-23.999999999990695,-32.999999999994145,,-1127.9999999999804
2015.05.11,-46.00000000000159,8.000000000008,-9.000000000014552,53.999999999987836,142.99999999999312,-19.999999999997797,19.999999999997797,-65.00000000000395,178.99999999999582,129.99999999999545,33.00000000001546,-29.00000000001235,-719.000000000003,96.00000000000364,61.00000000000705,145.00000000001023,52.99999999999194,201.00000000000674,339.0000000000004,,573.9999999999803
2015.05.11,-58.99999999999794,-86.0000000000083,-27.00000000002145,73.99999999999807,89.99999999999008,-58.000000000002494,-5.999999999994898,-14.999999999998348,122.99999999999534,68.9999999999884,62.00000000001182,-9.000000000014552,-570.9999999999882,96.00000000000364,130.00000000000966,76.99999999999818,125.99999999999278,137.00000000000932,269.00000000000813,,421.99999999997925
2015.05.11,-2.999999999997449,-106.00000000000608,-74.0000000000185,111.99999999999477,214.99999999999852,-75.00000000000284,-7.0000000000014495,-46.999999999997044,226.00000000000398,48.00000000000182,38.000000000010914,0.0,-929.000000000002,96.00000000000364,94.0000000000083,192.99999999999784,73.00000000000084,292.00000000000335,452.00000000000796,,598.0000000000065
2015.05.11,21.999999999999797,-167.9999999999904,-86.0000000000083,128.99999999999068,305.99999999999517,-89.00000000000574,-5.999999999994898,-39.00000000000014,280.9999999999979,50.00000000001137,30.000000000001137,5.999999999994898,-824.9999999999868,96.00000000000364,99.00000000000375,293.99999999999693,90.0000000000012,347.0000000000084,507.9999999999973,,1045.000000000016
2015.05.11,0.0,-192.99999999999872,-86.0000000000083,112.99999999999955,270.99999999999903,-140.0000000000068,11.00000000000545,-9.00000000000345,248.99999999999923,-19.000000000005457,27.000000000015234,-16.000000000016,-811.0000000000061,96.00000000000364,132.000000000005,246.00000000000932,132.99999999999423,322.00000000000006,526.0000000000042,,851.9999999999901
2015.05.11,-100.00000000000009,-120.99999999999334,-63.000000000013046,37.9999999999967,249.99999999999466,-177.00000000000495,-82.00000000000429,-55.000000000005045,282.0000000000045,-10.99999999999568,-7.999999999981355,-53.00000000001415,-878.000000000001,74.00000000001228,136.0000000000099,289.0000000000015,129.9999999999968,358.0000000000028,575.9999999999987,,585.000000000005
2015.05.11,-32.999999999994145,-276.9999999999939,-352.000000000019,47.99999999998761,306.9999999999906,-147.99999999999258,-170.00000000000347,-29.999999999996696,331.0000000000035,-233.0000000000041,-352.9999999999802,-261.0000000000001,-1025.9999999999936,-15.000000000000568,-10.99999999999568,353.00000000000864,87.99999999999919,414.00000000000324,640.0000000000183,,-727.9999999999626
2015.05.11,95.00000000000064,-353.0000000000033,-484.00000000001774,60.99999999999284,392.9999999999989,-52.000000000007596,-182.99999999999983,-39.999999999995595,261.0000000000001,-200.9999999999934,-437.9999999999882,-387.000000000004,-679.9999999999917,-4.9999999999954525,-51.9999999999925,406.0000000000059,-21.999999999999797,423.0000000000067,531.0000000000148,,-726.9999999999698
2015.05.11,165.00000000000404,-287.9999999999994,-484.00000000001774,100.99999999999909,387.99999999999943,58.000000000002494,-156.00000000000057,-82.00000000000429,263.99999999999756,-111.99999999999477,-421.99999999999704,-377.0000000000051,-646.9999999999976,18.000000000000682,-158.00000000000125,423.0000000000018,-97.00000000000264,446.00000000000193,440.00000000001813,,-519.9999999999955
